source.name	sequenceID	length	pubmed_id	serotype	genotype	isolate_data.country	isolate_data.collection_year	isolate_data.sampled_host_sci_name
ncbi-curated	AY713475	10614	-	1	1I	Myanmar	-	-
ncbi-curated	AY713476	10614	-	1	1I	Myanmar	-	-
ncbi-curated	AY726549	10614	-	1	1I	Myanmar	-	-
ncbi-curated	AY726550	10614	-	1	1I	Myanmar	-	-
ncbi-curated	AY726551	10614	-	1	1I	Myanmar	-	-
ncbi-curated	AY726553	10614	-	1	1I	Myanmar	-	-
ncbi-curated	AY726554	10735	-	1	1I	Myanmar	-	-
ncbi-curated	AY726555	10726	-	1	1I	Myanmar	-	-
ncbi-curated	AY762084	10733	-	1	1VI	-	-	-
ncbi-curated	AY776328	10485	-	2	2II	Taiwan	-	-
ncbi-curated	AY776329	10490	-	3	-	Taiwan	-	-
ncbi-curated	AY776330	10353	-	4	-	Taiwan	-	-
ncbi-curated	AY835999	10727	-	1	1I	China: Cixi	-	Homo sapiens
ncbi-curated	AY858035	10723	-	2	2II	Indonesia: Jakarta	-	Homo sapiens
ncbi-curated	AY858036	10723	-	2	2II	Indonesia: Jakarta	-	Homo sapiens
ncbi-curated	AY858038	10707	-	3	-	Indonesia: Jakarta	-	Homo sapiens
ncbi-curated	AY858040	10706	-	3	3I	Indonesia: Jakarta	-	Homo sapiens
ncbi-curated	AY858041	10707	-	3	3I	Indonesia: Jakarta	-	Homo sapiens
ncbi-curated	AY858042	10707	-	3	3I	Indonesia: Jakarta	-	Homo sapiens
ncbi-curated	AY858043	10706	-	3	3I	Indonesia: Jakarta	-	Homo sapiens
ncbi-curated	AY858044	10707	-	3	3I	Indonesia: Jakarta	-	Homo sapiens
ncbi-curated	AY858045	10707	-	3	3I	Indonesia: Jakarta	-	Homo sapiens
ncbi-curated	AY858046	10707	-	3	3I	Indonesia: Jakarta	-	Homo sapiens
ncbi-curated	AY858047	10688	-	3	3I	Indonesia: Jakarta	-	Homo sapiens
ncbi-curated	AY858048	10707	-	3	3I	Indonesia: Jakarta	-	Homo sapiens
ncbi-curated	AY858049	10114	-	4	-	Indonesia: Jakarta	-	Homo sapiens
ncbi-curated	AY858050	10516	-	4	-	Indonesia: Jakarta	-	Homo sapiens
ncbi-curated	AY858983	7455	-	1	-	Indonesia: Jakarta	-	Homo sapiens
ncbi-curated	AY947539	10643	-	4	4I	-	-	Homo sapiens
ncbi-curated	CS477263	10735	-	1	1II	-	-	-
ncbi-curated	CS477264	10735	-	1	1II	-	-	-
ncbi-curated	CS477265	10735	-	1	1II	-	-	-
ncbi-curated	CS477302	10723	-	2	-	-	-	-
ncbi-curated	CS477304	10723	-	2	-	-	-	-
ncbi-curated	CS477305	10699	-	3	3V	-	-	-
ncbi-curated	CS477306	10648	-	4	4II	-	-	-
ncbi-curated	CS479165	10723	-	2	-	-	-	-
ncbi-curated	CS479167	10723	-	2	-	-	-	-
ncbi-curated	CS479202	10723	-	2	-	-	-	-
ncbi-curated	CS479203	10735	-	1	1II	-	-	-
ncbi-curated	CS479204	10735	-	1	1II	-	-	-
ncbi-curated	CS479205	10699	-	3	3V	-	-	-
ncbi-curated	CS479206	10648	-	4	4II	-	-	-
ncbi-curated	CS805342	10707	-	3	3III	-	-	-
ncbi-curated	CS805343	10735	-	1	1II	-	-	-
ncbi-curated	CS805344	10723	-	2	-	-	-	-
ncbi-curated	CS805345	10699	-	3	3V	-	-	-
ncbi-curated	CS805346	10648	-	4	4II	-	-	-
ncbi-curated	CS805347	10735	-	1	1II	-	-	-
ncbi-curated	CS805348	10723	-	2	-	-	-	-
ncbi-curated	DI191091	10735	-	1	1II	-	-	-
ncbi-curated	DI191092	10723	-	2	-	-	-	-
ncbi-curated	DI195805	10735	-	3	-	-	-	-
ncbi-curated	DI401605	10735	-	1	1II	-	-	-
ncbi-curated	DI401606	10735	-	1	1II	-	-	-
ncbi-curated	DI401607	10735	-	1	1II	-	-	-
ncbi-curated	DI401644	10723	-	2	-	-	-	-
ncbi-curated	DI401645	10723	-	2	-	-	-	-
ncbi-curated	DI401646	10699	-	3	3V	-	-	-
ncbi-curated	DI401647	10648	-	4	4II	-	-	-
ncbi-curated	DI402998	10723	-	2	-	-	-	-
ncbi-curated	DI402999	10723	-	2	-	-	-	-
ncbi-curated	DI403032	10723	-	2	-	-	-	-
ncbi-curated	DI403033	10735	-	1	1II	-	-	-
ncbi-curated	DI403034	10735	-	1	1II	-	-	-
ncbi-curated	DI403035	10699	-	3	3V	-	-	-
ncbi-curated	DI403036	10648	-	4	4II	-	-	-
ncbi-curated	DL138662	10703	-	2	2I	-	-	-
ncbi-curated	DM140252	10735	-	1	1II	-	-	-
ncbi-curated	DM140253	10735	-	1	1II	-	-	-
ncbi-curated	DM140254	10735	-	1	1II	-	-	-
ncbi-curated	DM140291	10723	-	2	-	-	-	-
ncbi-curated	DM140292	10723	-	2	-	-	-	-
ncbi-curated	DM140293	10699	-	3	3V	-	-	-
ncbi-curated	DM140294	10648	-	4	4II	-	-	-
ncbi-curated	DM140295	10723	-	2	-	-	-	-
ncbi-curated	DM140296	10723	-	2	-	-	-	-
ncbi-curated	DM140331	10723	-	2	-	-	-	-
ncbi-curated	DM140332	10735	-	1	1II	-	-	-
ncbi-curated	DM140333	10735	-	1	1II	-	-	-
ncbi-curated	DM140334	10699	-	3	3V	-	-	-
ncbi-curated	DM140335	10648	-	4	4II	-	-	-
ncbi-curated	DQ193572	10735	-	1	1I	China: Fujian	-	-
ncbi-curated	DQ285558	10689	-	1	1IV	Reunion	2004	Homo sapiens
ncbi-curated	DQ285560	10696	-	1	1IV	Reunion	2004	Homo sapiens
ncbi-curated	DQ285561	10662	-	1	1IV	Seychelles	2004	Homo sapiens
ncbi-curated	DQ401689	10707	-	3	3II	Bangladesh	-	-
ncbi-curated	DQ401690	10707	-	3	-	Indonesia	-	-
ncbi-curated	DQ401691	10707	-	3	3II	Bangladesh	-	-
ncbi-curated	DQ401692	10707	-	3	3II	Bangladesh	-	-
ncbi-curated	DQ401693	10707	-	3	3II	Bangladesh	-	-
ncbi-curated	DQ401694	10707	-	3	-	Indonesia	-	-
ncbi-curated	DQ401695	10707	-	3	-	Philippines	-	-
ncbi-curated	DQ448231	10670	-	2	2II	India	2001	Homo sapiens
ncbi-curated	DQ645540	10671	-	2	2II	Taiwan	-	-
ncbi-curated	DQ645541	10616	-	2	2II	Taiwan	-	-
ncbi-curated	DQ645542	10616	-	2	2II	Taiwan	-	-
ncbi-curated	DQ645543	10671	-	2	2II	Taiwan	-	-
ncbi-curated	DQ645544	10671	-	2	2II	Taiwan	-	-
ncbi-curated	DQ645545	10616	-	2	2II	Taiwan	-	-
ncbi-curated	DQ645546	10671	-	2	2II	Taiwan	-	-
ncbi-curated	DQ645547	10671	-	2	2II	Taiwan	-	-
ncbi-curated	DQ645548	10644	-	2	2II	Taiwan	-	-
ncbi-curated	DQ645549	10671	-	2	2II	Taiwan	-	-
ncbi-curated	DQ645550	10671	-	2	2II	Taiwan	-	-
ncbi-curated	DQ645551	10671	-	2	2II	Taiwan	-	-
ncbi-curated	DQ645552	10671	-	2	2II	Taiwan	-	-
ncbi-curated	DQ645553	10671	-	2	2II	Taiwan	-	-
ncbi-curated	DQ645554	10616	-	2	2II	Taiwan	-	-
ncbi-curated	DQ645555	10616	-	2	2II	Taiwan	-	-
ncbi-curated	DQ645556	10671	-	2	2II	Taiwan	-	-
ncbi-curated	DQ863638	10707	-	3	-	Thailand: Bangkok	1973	Homo sapiens
ncbi-curated	EF051521	10723	-	2	2II	China: Zhongshan	2001	-
ncbi-curated	EF122231	10735	-	1	-	French Guiana	-	-
ncbi-curated	EF122232	10735	-	1	-	French Guiana	-	-
ncbi-curated	EF629366	10707	-	3	3III	Brazil	-	-
ncbi-curated	EF629367	10707	-	3	3III	Brazil	-	-
ncbi-curated	EF629368	10603	-	3	3III	Brazil	-	-
ncbi-curated	EF629369	10707	-	3	3III	Brazil	-	-
ncbi-curated	EF629373	10324	-	3	3V	Brazil	-	-
ncbi-curated	EF643017	10707	-	3	3III	Brazil	-	Homo sapiens
ncbi-curated	EU249490	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU249491	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU249492	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU249493	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU249494	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU249495	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU280167	10735	-	1	1I	China: Guangzhou	-	Homo sapiens
ncbi-curated	EU359009	10723	-	2	2II	China	-	Homo sapiens
ncbi-curated	EU367962	10707	-	3	3II	China	-	Homo sapiens
ncbi-curated	EU482444	10679	-	2	2III	Nicaragua: Managua	2006	Homo sapiens
ncbi-curated	EU482445	10669	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482446	10678	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482447	10678	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482448	10678	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482449	10678	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482450	10678	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482451	10678	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482452	10664	-	3	3II	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482453	10653	-	3	3II	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482454	10663	-	3	3II	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482455	10653	-	3	3II	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482456	10648	-	3	3II	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482457	10663	-	3	3II	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482458	10653	-	3	3II	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482459	10653	-	3	3II	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482460	10636	-	3	3II	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482461	10649	-	3	3II	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482462	10653	-	3	3II	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482463	10678	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482464	10678	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482465	10678	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482466	10678	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482467	10678	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482468	10678	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482469	10668	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482470	10678	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482471	10678	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482472	10678	-	2	-	Viet Nam: south	2004	Homo sapiens
ncbi-curated	EU482473	10678	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482474	10678	-	2	-	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482475	10678	-	2	-	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482476	10690	-	1	1I	Viet Nam: south	2003	Homo sapiens
ncbi-curated	EU482477	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482478	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482479	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482480	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482481	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482482	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482483	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482484	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482485	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482486	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482487	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482488	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482489	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482490	10675	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482491	10684	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482492	10688	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482493	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482494	10684	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482495	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482496	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482497	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482498	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482499	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482500	10685	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482501	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482502	10686	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482503	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482504	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482505	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482506	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482507	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482508	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482509	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482510	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482511	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482512	10684	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482513	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482514	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482515	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482516	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482517	10690	-	1	1I	Viet Nam: south	2007	Homo sapiens
ncbi-curated	EU482518	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482519	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482520	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482521	10688	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482522	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482523	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482524	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482525	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482526	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482527	10688	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482528	10689	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482529	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482530	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482531	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482532	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482533	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482534	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482535	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482536	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482537	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482538	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482539	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482540	10690	-	1	1I	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482541	10678	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482542	10678	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482543	10668	-	2	-	Viet Nam: south	2006	Homo sapiens
ncbi-curated	EU482544	10678	-	2	2III	USA: Puerto Rico	2006	Homo sapiens
ncbi-curated	EU482545	10678	-	2	2III	USA: Puerto Rico	1998	Homo sapiens
ncbi-curated	EU482546	10678	-	2	2III	USA: Puerto Rico	1998	Homo sapiens
ncbi-curated	EU482547	10678	-	2	2III	USA: Puerto Rico	1998	Homo sapiens
ncbi-curated	EU482548	10620	-	2	2III	USA: Puerto Rico	2006	Homo sapiens
ncbi-curated	EU482549	10679	-	2	2III	USA: Puerto Rico	2006	Homo sapiens
ncbi-curated	EU482550	10678	-	2	2III	USA: Puerto Rico	1998	Homo sapiens
ncbi-curated	EU482551	10678	-	2	2III	USA: Puerto Rico	2006	Homo sapiens
ncbi-curated	EU482552	10678	-	2	2III	USA: Puerto Rico	2006	Homo sapiens
ncbi-curated	EU482553	10678	-	2	2III	USA: Puerto Rico	2006	Homo sapiens
ncbi-curated	EU482554	10639	-	2	2III	USA: Puerto Rico	1998	Homo sapiens
ncbi-curated	EU482555	10648	-	3	3III	USA: Puerto Rico	2006	Homo sapiens
ncbi-curated	EU482556	10679	-	2	2III	USA: Puerto Rico	2005	Homo sapiens
ncbi-curated	EU482557	10639	-	2	2III	USA: Puerto Rico	1999	Homo sapiens
ncbi-curated	EU482558	10648	-	3	3III	USA: Puerto Rico	1998	Homo sapiens
ncbi-curated	EU482559	10648	-	3	3III	USA: Puerto Rico	1998	Homo sapiens
ncbi-curated	EU482560	10678	-	2	2III	USA: Puerto Rico	1998	Homo sapiens
ncbi-curated	EU482561	10677	-	2	2III	USA: Puerto Rico	1996	Homo sapiens
ncbi-curated	EU482562	10680	-	2	2III	USA: Puerto Rico	1989	Homo sapiens
ncbi-curated	EU482563	10648	-	3	3III	USA: Puerto Rico	1998	Homo sapiens
ncbi-curated	EU482564	10648	-	3	3III	USA: Puerto Rico	2003	Homo sapiens
ncbi-curated	EU482565	10678	-	2	2III	USA: Puerto Rico	1998	Homo sapiens
ncbi-curated	EU482566	10648	-	3	3III	USA: Puerto Rico	1998	Homo sapiens
ncbi-curated	EU482568	10678	-	2	2III	USA: Puerto Rico	1986	Homo sapiens
ncbi-curated	EU482569	10678	-	2	2III	USA: Puerto Rico	1987	Homo sapiens
ncbi-curated	EU482570	10678	-	2	2III	USA: Puerto Rico	1987	Homo sapiens
ncbi-curated	EU482571	10678	-	2	2III	USA: Puerto Rico	1987	Homo sapiens
ncbi-curated	EU482572	10649	-	2	2III	USA: Puerto Rico	1987	Homo sapiens
ncbi-curated	EU482573	10660	-	2	2III	USA: Puerto Rico	1987	Homo sapiens
ncbi-curated	EU482574	10678	-	2	2III	USA: Puerto Rico	1987	Homo sapiens
ncbi-curated	EU482575	10667	-	2	2III	USA: Puerto Rico	1987	Homo sapiens
ncbi-curated	EU482576	10678	-	2	2III	USA: Puerto Rico	1987	Homo sapiens
ncbi-curated	EU482577	10678	-	2	2III	USA: Puerto Rico	1987	Homo sapiens
ncbi-curated	EU482578	10678	-	2	2III	USA: Puerto Rico	1988	Homo sapiens
ncbi-curated	EU482579	10678	-	2	2III	USA: Puerto Rico	1988	Homo sapiens
ncbi-curated	EU482580	10678	-	2	2III	USA: Puerto Rico	1989	Homo sapiens
ncbi-curated	EU482581	10679	-	2	2III	USA: Puerto Rico	1989	Homo sapiens
ncbi-curated	EU482583	10678	-	2	2III	USA: Puerto Rico	1989	Homo sapiens
ncbi-curated	EU482584	10662	-	2	2III	USA: Puerto Rico	1989	Homo sapiens
ncbi-curated	EU482585	10678	-	2	2III	USA: Puerto Rico	1989	Homo sapiens
ncbi-curated	EU482586	10678	-	2	2III	USA: Puerto Rico	1990	Homo sapiens
ncbi-curated	EU482587	10678	-	2	2III	USA: Puerto Rico	1990	Homo sapiens
ncbi-curated	EU482588	10678	-	2	2III	USA: Puerto Rico	1990	Homo sapiens
ncbi-curated	EU482589	10678	-	2	2III	USA: Puerto Rico	1993	Homo sapiens
ncbi-curated	EU482590	10678	-	2	2III	USA: Puerto Rico	1990	Homo sapiens
ncbi-curated	EU482591	10690	-	1	1V	USA: Puerto Rico	2006	Homo sapiens
ncbi-curated	EU482592	10690	-	1	1V	USA: Puerto Rico	1998	Homo sapiens
ncbi-curated	EU482593	10678	-	2	2III	USA: Puerto Rico	2001	Homo sapiens
ncbi-curated	EU482594	10678	-	2	2III	USA: Puerto Rico	1992	Homo sapiens
ncbi-curated	EU482595	10663	-	3	3III	USA: Puerto Rico	2003	Homo sapiens
ncbi-curated	EU482596	10663	-	3	3III	USA: Puerto Rico	1998	Homo sapiens
ncbi-curated	EU482597	10679	-	2	2III	Nicaragua: Managua	2005	Homo sapiens
ncbi-curated	EU482598	10679	-	2	2III	Nicaragua: Managua	2005	Homo sapiens
ncbi-curated	EU482599	10679	-	2	2III	Nicaragua: Managua	2005	Homo sapiens
ncbi-curated	EU482600	10679	-	2	2III	Nicaragua: Managua	2005	Homo sapiens
ncbi-curated	EU482601	10680	-	2	2III	Nicaragua: Managua	2007	Homo sapiens
ncbi-curated	EU482602	10679	-	2	2III	Nicaragua: Managua	2005	Homo sapiens
ncbi-curated	EU482603	10679	-	2	2III	Nicaragua: Managua	2007	Homo sapiens
ncbi-curated	EU482604	10678	-	2	2III	Venezuela: Aragua	2007	Homo sapiens
ncbi-curated	EU482605	10679	-	2	2III	Venezuela: Aragua	2007	Homo sapiens
ncbi-curated	EU482606	10668	-	2	2III	Venezuela: Aragua	2007	Homo sapiens
ncbi-curated	EU482607	10679	-	2	2III	Venezuela: Aragua	2007	Homo sapiens
ncbi-curated	EU482608	10662	-	2	2III	Venezuela: Aragua	2007	Homo sapiens
ncbi-curated	EU482609	10690	-	1	1V	Venezuela: Aragua	2007	Homo sapiens
ncbi-curated	EU482610	10690	-	1	1V	Venezuela: Aragua	2007	Homo sapiens
ncbi-curated	EU482611	10690	-	1	1V	Venezuela: Aragua	2007	Homo sapiens
ncbi-curated	EU482612	10649	-	3	3III	Venezuela: DF/Caracas	2001	Homo sapiens
ncbi-curated	EU482613	10648	-	3	3III	Venezuela: DF/Caracas	2001	Homo sapiens
ncbi-curated	EU482614	10648	-	3	3III	Venezuela: DF/Caracas	2001	Homo sapiens
ncbi-curated	EU482615	10690	-	1	1V	Nicaragua: Managua	2005	Homo sapiens
ncbi-curated	EU482616	10756	-	1	1V	Nicaragua: Managua	2005	Homo sapiens
ncbi-curated	EU482617	10690	-	1	1V	Nicaragua: Managua	2005	Homo sapiens
ncbi-curated	EU482618	10690	-	1	1V	Nicaragua: Managua	2005	Homo sapiens
ncbi-curated	EU482619	10690	-	1	1V	Nicaragua: Managua	2005	Homo sapiens
ncbi-curated	EU482620	10680	-	2	2III	Nicaragua: Managua	2006	Homo sapiens
ncbi-curated	EU482621	10680	-	2	2III	Nicaragua: Managua	2007	Homo sapiens
ncbi-curated	EU482622	10679	-	2	2III	Nicaragua: Managua	2007	Homo sapiens
ncbi-curated	EU482623	10681	-	2	2III	Nicaragua: Managua	2007	Homo sapiens
ncbi-curated	EU482624	10680	-	2	2III	Nicaragua: Managua	2007	Homo sapiens
ncbi-curated	EU482625	10680	-	2	2III	Nicaragua: Managua	2007	Homo sapiens
ncbi-curated	EU482626	10679	-	2	2III	Nicaragua: Managua	2007	Homo sapiens
ncbi-curated	EU482627	10680	-	2	2III	Nicaragua: Managua	2007	Homo sapiens
ncbi-curated	EU482628	10680	-	2	2III	Nicaragua: Managua	2007	Homo sapiens
ncbi-curated	EU482629	10679	-	2	2III	Nicaragua: Managua	2007	Homo sapiens
ncbi-curated	EU482630	10680	-	2	2III	Nicaragua: Managua	2007	Homo sapiens
ncbi-curated	EU482631	10679	-	2	2III	Nicaragua: Managua	2005	Homo sapiens
ncbi-curated	EU482632	10679	-	2	2III	Nicaragua: Managua	2005	Homo sapiens
ncbi-curated	EU482633	10678	-	2	2III	Nicaragua: Managua	2006	Homo sapiens
ncbi-curated	EU482634	10680	-	2	2III	Nicaragua: Managua	2006	Homo sapiens
ncbi-curated	EU482635	10679	-	2	2III	Nicaragua: Managua	2005	Homo sapiens
ncbi-curated	EU482636	10679	-	2	2III	Nicaragua: Managua	2005	Homo sapiens
ncbi-curated	EU482637	10678	-	2	2III	Nicaragua: Managua	2005	Homo sapiens
ncbi-curated	EU482638	10680	-	2	2III	Nicaragua: Managua	2007	Homo sapiens
