taxon	sequenceID	source.name	genotype	major_lineage	minor_lineage	isolate	country	collection_year
alignment/AL_UNC_DENV3/member/ncbi-refseqs/LT996904	LT996904	ncbi-refseqs	3III	3III_A	3III_A.2	1708603	Malaysia	2007
alignment/AL_UNC_DENV3/member/ncbi-refseqs/LT996906	LT996906	ncbi-refseqs	3III	3III_A	3III_A.2	2044396	Malaysia	2008
alignment/AL_UNC_DENV3/member/ncbi-refseqs/LT996909	LT996909	ncbi-refseqs	3III	3III_A	3III_A.2	2849608	Malaysia	2010
alignment/AL_UNC_DENV3/member/ncbi-refseqs/LT996910	LT996910	ncbi-refseqs	3III	3III_A	3III_A.2	2933228	Malaysia	2010
alignment/AL_UNC_DENV3/member/ncbi-refseqs/LT996911	LT996911	ncbi-refseqs	3III	3III_A	3III_A.2	3116826	Malaysia	2010
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MK858150	MK858150	ncbi-refseqs	3III	3III_B	3III_B.3	FT_J92_S12_R2	India	2016
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MK858152	MK858152	ncbi-refseqs	3III	3III_B	3III_B.3	FT_DNS1_494_S54_R3	India	2016
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MN018379	MN018379	ncbi-refseqs	3I	3I_C	3I_C	D151448	China: Guangdong Province	2015
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MN018388	MN018388	ncbi-refseqs	3I	3I_A	3I_A.2	D17641	China: Guangdong Province	2017
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MN018389	MN018389	ncbi-refseqs	3I	3I_C	3I_C	D17011	China: Guangdong Province	2017
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MN448968	MN448968	ncbi-refseqs	3II	3II_A	3II_A.3	KDC1215A_11/08/2012	Thailand	2012
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MN448993	MN448993	ncbi-refseqs	3II	3II_A	3II_A.3	KDH0317A_11/08/2012	Thailand	2012
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MN922035	MN922035	ncbi-refseqs	3I	3I_A	3I_A.2	19XN15780	China	2019
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MN922037	MN922037	ncbi-refseqs	3I	3I_C	3I_C	19XN19964	China	2019
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MN922039	MN922039	ncbi-refseqs	3I	3I_A	3I_A.1	19XN50670	China	2019
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MT921574	MT921574	ncbi-refseqs	3I	3I_C	3I_C	Phil2017	Australia: Queensland	2017
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW288025	MW288025	ncbi-refseqs	3III	3III_B	3III_B.2	SHC0271 / DENV-3 / 2018	Senegal	2018
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW288026	MW288026	ncbi-refseqs	3III	3III_B	3III_B.2	SHC0406 / DENV-3 / 2018	Senegal	2018
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW288028	MW288028	ncbi-refseqs	3III	3III_B	3III_B.2	SHC0455 / DENV-3 / 2018	Senegal	2018
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW288033	MW288033	ncbi-refseqs	3III	3III_B	3III_B.2	SHC0517 / DENV-3 / 2018	Senegal	2018
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW288037	MW288037	ncbi-refseqs	3III	3III_B	3III_B.2	SHC0522 / DENV-3 / 2018	Senegal	2018
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW295815	MW295815	ncbi-refseqs	3I	3I_A	3I_A.1	20XN39552_D3_Myanmar	China: Guangzhou	2020
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW396469	MW396469	ncbi-refseqs	3I	3I_A	3I_A.2	IN068	Bangladesh	2019
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW720889	MW720889	ncbi-refseqs	3I	3I_A	3I_A.1	GZ8H/2019151/2019/III	China	2019
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW720891	MW720891	ncbi-refseqs	3I	3I_C	3I_C	GZ8H/2019184/2019/III	China	2019
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW945429	MW945429	ncbi-refseqs	3II	3II_A	3II_A.1	DENV3/VIETNAM/2006/BID-V1329	Viet Nam	2006
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW945430	MW945430	ncbi-refseqs	3II	3II_A	3II_A.1	DENV3/VIETNAM/2007/BID-V1817	Viet Nam	2007
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW946610	MW946610	ncbi-refseqs	3II	3II_A	3II_A.3	00266/12	Thailand	2012
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW946618	MW946618	ncbi-refseqs	3II	3II_B	3II_B	02051/06	Thailand	2006
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW946639	MW946639	ncbi-refseqs	3II	3II_B	3II_B	01933/06	Thailand	2006
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW946651	MW946651	ncbi-refseqs	3II	3II_A	3II_A.2	03058/97	Thailand	1997
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW946687	MW946687	ncbi-refseqs	3II	3II_A	3II_A.2	01455/00	Thailand	2000
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW946689	MW946689	ncbi-refseqs	3II	3II_A	3II_A.3	00541/11	Thailand	2011
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW946691	MW946691	ncbi-refseqs	3I	3I_B	3I_B	29472-L11422-I	Fiji	1992
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW946761	MW946761	ncbi-refseqs	3II	3II_A	3II_A.2	00246/00	Thailand	2000
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW946767	MW946767	ncbi-refseqs	3III	3III_B	3III_B.1	00588/06	Thailand	2006
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW946771	MW946771	ncbi-refseqs	3II	3II_B	3II_B	06070/98	Thailand	1998
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW946815	MW946815	ncbi-refseqs	3III	3III_B	3III_B.1	02678/06	Thailand	2006
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW946848	MW946848	ncbi-refseqs	3II	3II_A	3II_A.3	00497/11	Thailand	2011
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW946849	MW946849	ncbi-refseqs	3II	3II_B	3II_B	04946/98	Thailand	1998
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW946892	MW946892	ncbi-refseqs	3II	3II_A	3II_A.2	01442/00	Thailand	2000
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW946918	MW946918	ncbi-refseqs	3III	3III_C	3III_C.2	BID-V4753	Nicaragua	2009
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MW946933	MW946933	ncbi-refseqs	3II	3II_B	3II_B	01369/06	Thailand	2006
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MZ008468	MZ008468	ncbi-refseqs	3III	3III_C	3III_C.2	D3/NI/4834_11A1/2014	Nicaragua	2014
alignment/AL_UNC_DENV3/member/ncbi-refseqs/MZ008476	MZ008476	ncbi-refseqs	3III	3III_C	3III_C.2	D3/NI/336_11A1/2014	Nicaragua	2014
alignment/AL_UNC_DENV3/member/ncbi-refseqs/ON123660	ON123660	ncbi-refseqs	3III	3III_B	3III_B.3	THSTI-TRC-DENV3-04	India	2018
alignment/AL_UNC_DENV3/member/ncbi-refseqs/ON123665	ON123665	ncbi-refseqs	3III	3III_B	3III_B.3	THSTI-TRC-DENV3-06	India	2018
alignment/AL_UNC_DENV3/member/ncbi-refseqs/ON890832	ON890832	ncbi-refseqs	3I	3I_A	3I_A.1	19XN50670_D3_CHN	China: Guangzhou	2019
alignment/AL_UNC_DENV3/member/ncbi-refseqs/ON908236	ON908236	ncbi-refseqs	3I	3I_A	3I_A.1	19XN50670	China	2019
alignment/AL_UNC_DENV3/member/ncbi-refseqs/OQ339138	OQ339138	ncbi-refseqs	3III	3III_B	3III_B.3	THSTI-TRC-DENV3-11	India	2022
