taxon	sequenceID	source.name	genotype	major_lineage	minor_lineage	isolate	country	collection_year
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KF744399	KF744399	ncbi-refseqs	2IV	2IV	2IV	98-CI-15	Philippines	1998
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KF744402	KF744402	ncbi-refseqs	2IV	2IV	2IV	00-St-68B	Philippines	2000
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KF744408	KF744408	ncbi-refseqs	2IV	2IV	2IV	05-RBD-204	Philippines	2005
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KF955366	KF955366	ncbi-refseqs	2III	2III_D	2III_D.1.1	DENV-2/NI/BID-V1218/2007	Nicaragua	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KM279530	KM279530	ncbi-refseqs	2II	2II_E	2II_E.1	DC597Y12	Singapore	2012
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KM279534	KM279534	ncbi-refseqs	2II	2II_E	2II_E.1	DC620Y12	Singapore	2012
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KM279541	KM279541	ncbi-refseqs	2II	2II_E	2II_E.1	DC643Y12	Singapore	2012
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KM279545	KM279545	ncbi-refseqs	2II	2II_E	2II_E.1	DC652Y12	Singapore	2012
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KM279554	KM279554	ncbi-refseqs	2II	2II_E	2II_E.1	DC687Y12	Singapore	2012
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KT187556	KT187556	ncbi-refseqs	2II	2II_D	2II_D.1	DENV2/CN/GZDF595/2014	China: Guangdong	2014
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KU365903	KU365903	ncbi-refseqs	2II	2II_D	2II_D.3	D2/Taiwan/700TN1509a	Taiwan	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KX225486	KX225486	ncbi-refseqs	2II	2II_D	2II_D.1	GZ8_19/S/Haizhu/2014/DEV2	China	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KX380810	KX380810	ncbi-refseqs	2II	2II_F	2II_F.2.2	D2/SG/CT12/2012	Singapore	2012
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KX380822	KX380822	ncbi-refseqs	2II	2II_F	2II_F.2.2	D2/SG/CT28/2012	Singapore	2012
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KX380830	KX380830	ncbi-refseqs	2II	2II_F	2II_F.2.2	D2/SG/CT38/2013	Singapore	2013
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KX380832	KX380832	ncbi-refseqs	2II	2II_F	2II_F.2.2	D2/SG/CT40/2013	Singapore	2013
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KX380833	KX380833	ncbi-refseqs	2II	2II_F	2II_F.2.2	D2/SG/CT41/2013	Singapore	2013
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KX655787	KX655787	ncbi-refseqs	2II	2II_D	2II_D.1	GZ8_15/S/GZ/2014/DEV2	China	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KY474308	KY474308	ncbi-refseqs	2III	2III_D	2III_D.3	TD-00048-S	Ecuador: Machala	2014
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KY474315	KY474315	ncbi-refseqs	2III	2III_D	2III_D.3	00147-P	Ecuador: Machala	2014
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KY474326	KY474326	ncbi-refseqs	2III	2III_D	2III_D.3	TD-00078-P	Ecuador: Machala	2014
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KY474329	KY474329	ncbi-refseqs	2III	2III_D	2III_D.3	00149-P	Ecuador: Machala	2014
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KY586668	KY586668	ncbi-refseqs	2V	2V_C	2V_C	Ser2_Thailand_nonBKK_Seq46	Thailand	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KY586677	KY586677	ncbi-refseqs	2V	2V_D	2V_D	Ser2_Thailand_nonBKK_Seq47	Thailand	2002
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KY586678	KY586678	ncbi-refseqs	2V	2V_D	2V_D	Ser2_Thailand_nonBKK_Seq48	Thailand	2002
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KY586679	KY586679	ncbi-refseqs	2V	2V_D	2V_D	Ser2_Thailand_Bangkok_Seq85	Thailand	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KY586690	KY586690	ncbi-refseqs	2V	2V_B	2V_B	Ser2_Thailand_nonBKK_Seq49	Thailand	1999
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KY586691	KY586691	ncbi-refseqs	2V	2V_B	2V_B	Ser2_Thailand_Bangkok_Seq96	Thailand	1998
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KY586692	KY586692	ncbi-refseqs	2V	2V_B	2V_B	Ser2_Thailand_Bangkok_Seq97	Thailand	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MF156233	MF156233	ncbi-refseqs	2II	2II_A	2II_A.1	XSBN01	China	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MF156234	MF156234	ncbi-refseqs	2II	2II_A	2II_A.1	XSBN02	China	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MF156235	MF156235	ncbi-refseqs	2II	2II_A	2II_A.1	XSBN03	China	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MF156242	MF156242	ncbi-refseqs	2II	2II_A	2II_A.1	XSBN10	China	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MF156248	MF156248	ncbi-refseqs	2II	2II_A	2II_A.1	XSBN16	China	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MG599616	MG599616	ncbi-refseqs	2II	2II_C	2II_C.2	1421	Taiwan	2002
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MG599621	MG599621	ncbi-refseqs	2II	2II_C	2II_C.2	1949	Taiwan	2002
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MG599623	MG599623	ncbi-refseqs	2II	2II_C	2II_C.2	2132	Taiwan	2002
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MG599631	MG599631	ncbi-refseqs	2II	2II_C	2II_C.2	2747	Taiwan	2002
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MG599632	MG599632	ncbi-refseqs	2II	2II_C	2II_C.2	2784	Taiwan	2002
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MG779199	MG779199	ncbi-refseqs	2II	2II_A	2II_A.2.2	Mal_014	Kenya	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MH069495	MH069495	ncbi-refseqs	2III	2III_D	2III_D.2	DENV-2/VE/IDAMS/921099	Venezuela: Carabobo	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MH069496	MH069496	ncbi-refseqs	2III	2III_D	2III_D.2	DENV-2/VE/IDAMS/921096	Venezuela: Carabobo	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MH069498	MH069498	ncbi-refseqs	2III	2III_D	2III_D.2	DENV-2/VE/IDAMS/910121	Venezuela: Carabobo	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MH110571	MH110571	ncbi-refseqs	2II	2II_F	2II_F.1	D2/CN/HZ-1536/2017	China: Hangzhou	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MH827526	MH827526	ncbi-refseqs	2II	2II_E	2II_E.2	D2/China/GDsw/D15024/2015(New_Guinea)	China	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MH827527	MH827527	ncbi-refseqs	2II	2II_D	2II_D.3	D2/China/GDsg/GD15023/2015(Indonesia)	China	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MH827534	MH827534	ncbi-refseqs	2II	2II_D	2II_D.3	D2/China/GDsz/D15328/2015(Taiwan)	China	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MH827544	MH827544	ncbi-refseqs	2II	2II_E	2II_E.2	D2/China/GDzs/GD16161/2016(New_Guinea)	China	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MK564487	MK564487	ncbi-refseqs	2II	2II_D	2II_D.2	GZ18XN20984	China: Guangzhou	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MK783204	MK783204	ncbi-refseqs	2II	2II_D	2II_D.2	GZ8H/162	China	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MK783206	MK783206	ncbi-refseqs	2II	2II_A	2II_A.2.1	GZ8H/213	China	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MK783207	MK783207	ncbi-refseqs	2II	2II_A	2II_A.2.1	GZ8H/279	China	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MK783208	MK783208	ncbi-refseqs	2II	2II_A	2II_A.2.1	GZ8H/36	China	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MK783209	MK783209	ncbi-refseqs	2II	2II_A	2II_A.2.1	GZ8H/21	China	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MK783210	MK783210	ncbi-refseqs	2II	2II_A	2II_A.2.1	GZ8H/31	China	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN018349	MN018349	ncbi-refseqs	2II	2II_D	2II_D.3	D15023	China: Guangdong Province	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN018351	MN018351	ncbi-refseqs	2II	2II_E	2II_E.2	D15024	China: Guangdong Province	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN018352	MN018352	ncbi-refseqs	2II	2II_D	2II_D.3	D15328	China: Guangdong Province	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN018357	MN018357	ncbi-refseqs	2II	2II_F	2II_F.2	D14003	China: Guangdong Province	2014
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN018363	MN018363	ncbi-refseqs	2II	2II_E	2II_E.2	D16161	China: Guangdong Province	2016
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN335244	MN335244	ncbi-refseqs	2II	2II_A	2II_A.2.2	AFI_MDH_243	Kenya	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN335245	MN335245	ncbi-refseqs	2II	2II_A	2II_A.2.2	AFI_MDH_240	Kenya	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN335246	MN335246	ncbi-refseqs	2II	2II_A	2II_A.2.2	AFI_MDH_244	Kenya	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN335247	MN335247	ncbi-refseqs	2II	2II_A	2II_A.2.2	AFI_MDH_232	Kenya	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN448850	MN448850	ncbi-refseqs	2V	2V_A	2V_A.4	KDC0858A_TN_09/22/2011	Thailand	2011
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN448851	MN448851	ncbi-refseqs	2V	2V_A	2V_A.4	KDC0860A2_TN_09/22/2011	Thailand	2011
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN448856	MN448856	ncbi-refseqs	2V	2V_A	2V_A.3	KDC0684A2_KT_07/13/2011	Thailand	2011
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN448857	MN448857	ncbi-refseqs	2V	2V_A	2V_A.4	KDH0178A_NC_08/30/2011	Thailand	2011
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN448866	MN448866	ncbi-refseqs	2V	2V_A	2V_A.3	KDH0130A_ST_06/13/2011	Thailand	2011
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN448870	MN448870	ncbi-refseqs	2V	2V_A	2V_A.3	KDH0070A_ST_09/16/2010	Thailand	2010
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN448874	MN448874	ncbi-refseqs	2V	2V_A	2V_A.4	KDH0191A_TN_09/22/2011	Thailand	2011
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN448883	MN448883	ncbi-refseqs	2V	2V_A	2V_A.4	KDC0864A_TN_09/22/2011	Thailand	2011
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN448887	MN448887	ncbi-refseqs	2V	2V_A	2V_A.3	KDH0153A_KT_07/13/2011	Thailand	2011
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN448920	MN448920	ncbi-refseqs	2V	2V_A	2V_A.3	363_TM_2010	Thailand	2011
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN462635	MN462635	ncbi-refseqs	2III	2III_D	2III_D.3	00255-P_12915-2015_05_19	Ecuador	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN923112	MN923112	ncbi-refseqs	2II	2II_F	2II_F.2	19XN22305	China	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MN944002	MN944002	ncbi-refseqs	2II	2II_C	2II_C.1	19XN16107	China: Guangzhou	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MT921571	MT921571	ncbi-refseqs	2II	2II_E	2II_E.2	PNG 2015b	Australia: Queensland	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MT981011	MT981011	ncbi-refseqs	2II	2II_B	2II_B	2018/SN/CNR49422	Senegal	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MW512380	MW512380	ncbi-refseqs	2II	2II_C	2II_C.1	SG(EHI)D2/25959Y12	Singapore	2012
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MW721459	MW721459	ncbi-refseqs	2II	2II_D	2II_D.2	GZ8H/2019001/2018/II	China	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MW721463	MW721463	ncbi-refseqs	2II	2II_D	2II_D.1	GZ8H/2019049/2014/II	China	2014
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MW721464	MW721464	ncbi-refseqs	2II	2II_D	2II_D.1	GZ8H/2019057/2014/II	China	2014
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MW730820	MW730820	ncbi-refseqs	2II	2II_F	2II_F.2.1	SeqB97_DENV2_CONSENSUS	Nepal	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MW730825	MW730825	ncbi-refseqs	2II	2II_F	2II_F.2.1	SeqB107_DENV2_CONSENSUS	Nepal	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MW730826	MW730826	ncbi-refseqs	2II	2II_F	2II_F.2.1	SeqB62_DENV2_CONSENSUS	Nepal	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MW730827	MW730827	ncbi-refseqs	2II	2II_F	2II_F.2.1	SeqB160_DENV2_CONSENSUS	Nepal	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MW730831	MW730831	ncbi-refseqs	2II	2II_F	2II_F.2.1	SeqL13_DENV2_CONSENSUS	Nepal	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MW945434	MW945434	ncbi-refseqs	2III	2III_A	2III_A.1	DENV2/VIETNAM/2003/AC21	Viet Nam	2003
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MW946257	MW946257	ncbi-refseqs	2V	2V_B	2V_B	03066/97	Thailand	1997
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MW946279	MW946279	ncbi-refseqs	2V	2V_C	2V_C	04089/01	Thailand	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MW946436	MW946436	ncbi-refseqs	2V	2V_C	2V_C	02164/00	Thailand	2000
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MW946457	MW946457	ncbi-refseqs	2V	2V_C	2V_C	05512/99	Thailand	1999
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MW946483	MW946483	ncbi-refseqs	2V	2V_D	2V_D	05819/01	Thailand	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MW946492	MW946492	ncbi-refseqs	2V	2V_D	2V_D	00035/02	Thailand	2002
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MW946529	MW946529	ncbi-refseqs	2V	2V_C	2V_C	01005/02	Thailand	2002
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MW946592	MW946592	ncbi-refseqs	2V	2V_B	2V_B	02206/97	Thailand	1997
alignment/AL_UNC_DENV2/member/ncbi-refseqs/MZ773408	MZ773408	ncbi-refseqs	2III	2III_D	2III_D.2	AFI009	Colombia	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OL414719	OL414719	ncbi-refseqs	2V	2V_A	2V_A.2	100-0156_2019-07-25	Cambodia	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OL414720	OL414720	ncbi-refseqs	2V	2V_A	2V_A.2	100-0068_2019-07-25	Cambodia	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OL414721	OL414721	ncbi-refseqs	2V	2V_A	2V_A.2	100-0067_2019-07-25	Cambodia	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OL414733	OL414733	ncbi-refseqs	2II	2II_F	2II_F.1.1	109-0350_2020-08-10	Cambodia	2020
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OL414743	OL414743	ncbi-refseqs	2V	2V_A	2V_A.2	100-0072_2019-04-04	Cambodia	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OL414744	OL414744	ncbi-refseqs	2V	2V_A	2V_A.2	100-0039_2019-07-15	Cambodia	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OL414752	OL414752	ncbi-refseqs	2II	2II_F	2II_F.1.1	109-0334_2020-07-29	Cambodia	2020
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OL414753	OL414753	ncbi-refseqs	2II	2II_F	2II_F.1.1	109-0352_2020-08-09	Cambodia	2020
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OL414756	OL414756	ncbi-refseqs	2II	2II_F	2II_F.1.1	109-0377_2020-08-29	Cambodia	2020
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OL414758	OL414758	ncbi-refseqs	2II	2II_F	2II_F.1.1	109-0408_2020-09-23	Cambodia	2020
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OM368351	OM368351	ncbi-refseqs	2II	2II_F	2II_F.2	19XN23153_D2	China: Guangzhou	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON231304	ON231304	ncbi-refseqs	2II	2II_B	2II_B	310395	Senegal	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON231306	ON231306	ncbi-refseqs	2II	2II_B	2II_B	310402	Senegal	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON231307	ON231307	ncbi-refseqs	2II	2II_B	2II_B	310403	Senegal	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON231308	ON231308	ncbi-refseqs	2II	2II_B	2II_B	310405	Senegal	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON634700	ON634700	ncbi-refseqs	2III	2III_C	2III_C.1.1	NS10083	Brazil: Sao Paulo, Sorocaba	2021
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON634705	ON634705	ncbi-refseqs	2III	2III_C	2III_C.1.1	NS6480	Brazil: Sao Paulo, Pindamonhangaba	2020
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON634716	ON634716	ncbi-refseqs	2III	2III_C	2III_C.1.1	NS8187	Brazil: Sao Paulo, Lorena	2020
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON634733	ON634733	ncbi-refseqs	2III	2III_C	2III_C.1.1	NS9510	Brazil: Sao Paulo, Itabera	2021
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON634734	ON634734	ncbi-refseqs	2III	2III_C	2III_C.1.1	NS9745	Brazil: Sao Paulo, Itu	2021
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON634742	ON634742	ncbi-refseqs	2II	2II_F	2II_F.1.2	NS11015	Brazil: Sao Paulo, Piracicaba	2022
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON634743	ON634743	ncbi-refseqs	2II	2II_F	2II_F.1.2	NS11299	Brazil: Sao Paulo, Sao Jose dos Campos	2022
