taxon	sequenceID	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	combined	combined-with-id	isolate	country	collection_year
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MW945533.1_2013	MW945533.1_2013	4	4I	4I_A	4I_A.2	-	4/4I/4I_A/4I_A.2/-	MW945533.1_2013/4/4I/4I_A/4I_A.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MW945553.1_2006	MW945553.1_2006	4	4I	4I_A	4I_A.2	-	4/4I/4I_A/4I_A.2/-	MW945553.1_2006/4/4I/4I_A/4I_A.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MW945619.1_1996	MW945619.1_1996	4	4III	-	-	-	4/4III/-/-/-	MW945619.1_1996/4/4III/-/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MW945621.1_2001	MW945621.1_2001	4	4III	-	-	-	4/4III/-/-/-	MW945621.1_2001/4/4III/-/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MW945648.1_2005	MW945648.1_2005	4	4I	4I_A	4I_A.3	-	4/4I/4I_A/4I_A.3/-	MW945648.1_2005/4/4I/4I_A/4I_A.3	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MW945653.1_2008	MW945653.1_2008	4	4I	4I_A	4I_A.2	-	4/4I/4I_A/4I_A.2/-	MW945653.1_2008/4/4I/4I_A/4I_A.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MW945727.1_2005	MW945727.1_2005	4	4III	-	-	-	4/4III/-/-/-	MW945727.1_2005/4/4III/-/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MZ976860.1_2020-08-03	MZ976860.1_2020-08-03	4	4I	4I_A	4I_A.1	4I_A.1.1	4/4I/4I_A/4I_A.1/4I_A.1.1	MZ976860.1_2020-08-03/4/4I/4I_A/4I_A.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/ncbi-master-refseqs/NC_002640	NC_002640	4	4II	-	-	-	4/4II/-/-/-	NC_002640/4/4II/-/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OK469358.1_1976	OK469358.1_1976	4	4I	4I_A	-	-	4/4I/4I_A/-/-	OK469358.1_1976/4/4I/4I_A/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OK469362.1_1995	OK469362.1_1995	4	4II	4II_B	-	-	4/4II/4II_B/-/-	OK469362.1_1995/4/4II/4II_B/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OK605769.1_1983	OK605769.1_1983	4	4I	4I_B	-	-	4/4I/4I_B/-/-	OK605769.1_1983/4/4I/4I_B/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OL314740.1_2019-05-30	OL314740.1_2019-05-30	4	4II	4II_A	-	-	4/4II/4II_A/-/-	OL314740.1_2019-05-30/4/4II/4II_A/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OL314741.1_2019-06-20	OL314741.1_2019-06-20	4	4II	4II_A	4II_A.1	-	4/4II/4II_A/4II_A.1/-	OL314741.1_2019-06-20/4/4II/4II_A/4II_A.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OL314744.1_2019-06-26	OL314744.1_2019-06-26	4	4II	4II_A	4II_A.1	-	4/4II/4II_A/4II_A.1/-	OL314744.1_2019-06-26/4/4II/4II_A/4II_A.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OM639995.1_2021-11-16	OM639995.1_2021-11-16	4	4I	4I_B	4I_B.1	-	4/4I/4I_B/4I_B.1/-	OM639995.1_2021-11-16/4/4I/4I_B/4I_B.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OP600478.1_2020-08	OP600478.1_2020-08	4	4II	4II_A	4II_A.1	-	4/4II/4II_A/4II_A.1/-	OP600478.1_2020-08/4/4II/4II_A/4II_A.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OP600507.1_2020-10	OP600507.1_2020-10	4	4II	4II_A	4II_A.1	-	4/4II/4II_A/4II_A.1/-	OP600507.1_2020-10/4/4II/4II_A/4II_A.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OP600509.1_2022-07	OP600509.1_2022-07	4	4II	4II_A	4II_A.1	-	4/4II/4II_A/4II_A.1/-	OP600509.1_2022-07/4/4II/4II_A/4II_A.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OP600512.1_2022-07	OP600512.1_2022-07	4	4II	4II_A	-	-	4/4II/4II_A/-/-	OP600512.1_2022-07/4/4II/4II_A/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OP984198.1_2018	OP984198.1_2018	4	4I	4I_B	4I_B.1	-	4/4I/4I_B/4I_B.1/-	OP984198.1_2018/4/4I/4I_B/4I_B.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OQ426982.1_2018-12-18	OQ426982.1_2018-12-18	4	4I	4I_A	4I_A.1	4I_A.1.1	4/4I/4I_A/4I_A.1/4I_A.1.1	OQ426982.1_2018-12-18/4/4I/4I_A/4I_A.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OQ427041.1_2019-01-07	OQ427041.1_2019-01-07	4	4I	4I_A	4I_A.1	4I_A.1.2	4/4I/4I_A/4I_A.1/4I_A.1.2	OQ427041.1_2019-01-07/4/4I/4I_A/4I_A.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OQ427042.1_2019-01-08	OQ427042.1_2019-01-08	4	4I	4I_A	4I_A.1	4I_A.1.1	4/4I/4I_A/4I_A.1/4I_A.1.1	OQ427042.1_2019-01-08/4/4I/4I_A/4I_A.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OQ427046.1_2019-01-15	OQ427046.1_2019-01-15	4	4I	4I_A	4I_A.1	4I_A.1.2	4/4I/4I_A/4I_A.1/4I_A.1.2	OQ427046.1_2019-01-15/4/4I/4I_A/4I_A.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OQ427047.1_2019-01-15	OQ427047.1_2019-01-15	4	4I	4I_A	4I_A.1	4I_A.1.2	4/4I/4I_A/4I_A.1/4I_A.1.2	OQ427047.1_2019-01-15/4/4I/4I_A/4I_A.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OQ427048.1_2019-01-15	OQ427048.1_2019-01-15	4	4I	4I_A	4I_A.1	4I_A.1.1	4/4I/4I_A/4I_A.1/4I_A.1.1	OQ427048.1_2019-01-15/4/4I/4I_A/4I_A.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OQ427061.1_2018-12-24	OQ427061.1_2018-12-24	4	4I	4I_A	4I_A.1	4I_A.1.1	4/4I/4I_A/4I_A.1/4I_A.1.1	OQ427061.1_2018-12-24/4/4I/4I_A/4I_A.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OQ427062.1_2018-12-25	OQ427062.1_2018-12-25	4	4I	4I_A	4I_A.1	4I_A.1.2	4/4I/4I_A/4I_A.1/4I_A.1.2	OQ427062.1_2018-12-25/4/4I/4I_A/4I_A.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/OQ603316.1_2013-09-18	OQ603316.1_2013-09-18	4	4II	4II_B	-	-	4/4II/4II_B/-/-	OQ603316.1_2013-09-18/4/4II/4II_B/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/US-DB409-2022_2022-10-26	US-DB409-2022_2022-10-26	4	4II	4II_B	-	-	4/4II/4II_B/-/-	US-DB409-2022_2022-10-26/4/4II/4II_B/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/Yale-DN00839_2022-09-10	Yale-DN00839_2022-09-10	4	4II	4II_B	-	-	4/4II/4II_B/-/-	Yale-DN00839_2022-09-10/4/4II/4II_B/-	-	-	-
