taxon	sequenceID	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	combined	combined-with-id	isolate	country	collection_year
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/FJ850069.1_2003	FJ850069.1_2003	1	1I	1I_D	-	-	1/1I/1I_D/-/-	FJ850069.1_2003/1/1I/1I_D/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/FJ882549.1_2007	FJ882549.1_2007	1	1I	1I_D	-	-	1/1I/1I_D/-/-	FJ882549.1_2007/1/1I/1I_D/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/GQ199775.1_2007	GQ199775.1_2007	1	1I	1I_D	-	-	1/1I/1I_D/-/-	GQ199775.1_2007/1/1I/1I_D/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/GQ199805.1_2007	GQ199805.1_2007	1	1I	1I_C	-	-	1/1I/1I_C/-/-	GQ199805.1_2007/1/1I/1I_C/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/GQ868564.1_2006	GQ868564.1_2006	1	1V	1V_G	-	-	1/1V/1V_G/-/-	GQ868564.1_2006/1/1V/1V_G/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/GQ868568.1_2007	GQ868568.1_2007	1	1V	1V_G	-	-	1/1V/1V_G/-/-	GQ868568.1_2007/1/1V/1V_G/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/GQ868570.1_2008	GQ868570.1_2008	1	1V	1V_D	-	-	1/1V/1V_D/-/-	GQ868570.1_2008/1/1V/1V_D/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/GQ868601.1_1985	GQ868601.1_1985	1	1V	1V_A	-	-	1/1V/1V_A/-/-	GQ868601.1_1985/1/1V/1V_A/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/GU056032.1_1998	GU056032.1_1998	1	1V	1V_C	-	-	1/1V/1V_C/-/-	GU056032.1_1998/1/1V/1V_C/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/GU131678.1_2008	GU131678.1_2008	1	1I	1I_H	1I_H.2	-	1/1I/1I_H/1I_H.2/-	GU131678.1_2008/1/1I/1I_H/1I_H.2	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/GU131749.1_2008	GU131749.1_2008	1	1I	1I_H	1I_H.2	-	1/1I/1I_H/1I_H.2/-	GU131749.1_2008/1/1I/1I_H/1I_H.2	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/GU131752.1_2008	GU131752.1_2008	1	1I	1I_K	-	-	1/1I/1I_K/-/-	GU131752.1_2008/1/1I/1I_K/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/GU131753.1_2008	GU131753.1_2008	1	1I	1I_C	-	-	1/1I/1I_C/-/-	GU131753.1_2008/1/1I/1I_C/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/GU131792.1_2008	GU131792.1_2008	1	1I	1I_C	-	-	1/1I/1I_C/-/-	GU131792.1_2008/1/1I/1I_C/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/GU131801.1_2008	GU131801.1_2008	1	1I	1I_H	1I_H.2	-	1/1I/1I_H/1I_H.2/-	GU131801.1_2008/1/1I/1I_H/1I_H.2	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/GU131805.1_2008	GU131805.1_2008	1	1I	1I_G	-	-	1/1I/1I_G/-/-	GU131805.1_2008/1/1I/1I_G/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/GU131811.1_2008	GU131811.1_2008	1	1I	1I_G	-	-	1/1I/1I_G/-/-	GU131811.1_2008/1/1I/1I_G/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/GU131835.1_2004	GU131835.1_2004	1	1V	-	-	-	1/1V/-/-/-	GU131835.1_2004/1/1V/-/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/HM181952.1_2007	HM181952.1_2007	1	1I	1I_H	1I_H.2	-	1/1I/1I_H/1I_H.2/-	HM181952.1_2007/1/1I/1I_H/1I_H.2	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/HQ624983.1_2007	HQ624983.1_2007	1	1I	1I_G	-	-	1/1I/1I_G/-/-	HQ624983.1_2007/1/1I/1I_G/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/JF459993.1_2002	JF459993.1_2002	1	1I	1I_J	-	-	1/1I/1I_J/-/-	JF459993.1_2002/1/1I/1I_J/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/JN544410.2_2011-04	JN544410.2_2011-04	1	1IV	1IV_C	-	-	1/1IV/1IV_C/-/-	JN544410.2_2011-04/1/1IV/1IV_C/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/JN697056.1_2005-01-01	JN697056.1_2005-01-01	1	1IV	1IV_A	-	-	1/1IV/1IV_A/-/-	JN697056.1_2005-01-01/1/1IV/1IV_A/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/JN819415.1_2006	JN819415.1_2006	1	1V	1V_B	-	-	1/1V/1V_B/-/-	JN819415.1_2006/1/1V/1V_B/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/JN903578.1_2007-07-26	JN903578.1_2007-07-26	1	1V	1V_A	-	-	1/1V/1V_A/-/-	JN903578.1_2007-07-26/1/1V/1V_A/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/JQ287664.1_2004	JQ287664.1_2004	1	1I	1I_D	-	-	1/1I/1I_D/-/-	JQ287664.1_2004/1/1I/1I_D/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/JQ915076.1_2009-06-09	JQ915076.1_2009-06-09	1	1IV	1IV_A	-	-	1/1IV/1IV_A/-/-	JQ915076.1_2009-06-09/1/1IV/1IV_A/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/JQ922544.1_1963	JQ922544.1_1963	1	1V	-	-	-	1/1V/-/-/-	JQ922544.1_1963/1/1V/-/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/JQ922545.1_1982	JQ922545.1_1982	1	1III	-	-	-	1/1III/-/-/-	JQ922545.1_1982/1/1III/-/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/JQ922546.1_1971	JQ922546.1_1971	1	1VI	-	-	-	1/1VI/-/-/-	JQ922546.1_1971/1/1VI/-/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/JQ922548.1_2005	JQ922548.1_2005	1	1III	1III_A	-	-	1/1III/1III_A/-/-	JQ922548.1_2005/1/1III/1III_A/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KC692517.1_2010-12-29	KC692517.1_2010-12-29	1	1V	1V_F	-	-	1/1V/1V_F/-/-	KC692517.1_2010-12-29/1/1V/1V_F/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KC759167.1_2012-01-09	KC759167.1_2012-01-09	1	1I	1I_E	-	-	1/1I/1I_E/-/-	KC759167.1_2012-01-09/1/1I/1I_E/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KC762620.1_2007-12-13	KC762620.1_2007-12-13	1	1IV	1IV_C	-	-	1/1IV/1IV_C/-/-	KC762620.1_2007-12-13/1/1IV/1IV_C/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KC762630.1_2008-02-06	KC762630.1_2008-02-06	1	1IV	1IV_C	-	-	1/1IV/1IV_C/-/-	KC762630.1_2008-02-06/1/1IV/1IV_C/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KC762651.1_2007-12-11	KC762651.1_2007-12-11	1	1IV	1IV_C	-	-	1/1IV/1IV_C/-/-	KC762651.1_2007-12-11/1/1IV/1IV_C/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KF184975.1_2013-04	KF184975.1_2013-04	1	1VI	1VI_A	-	-	1/1VI/1VI_A/-/-	KF184975.1_2013-04/1/1VI/1VI_A/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KF289073.1_1956	KF289073.1_1956	1	1V	-	-	-	1/1V/-/-/-	KF289073.1_1956/1/1V/-/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KF955424.1_2007	KF955424.1_2007	1	1V	1V_C	-	-	1/1V/1V_C/-/-	KF955424.1_2007/1/1V/1V_C/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KF971870.1_2013-08-23	KF971870.1_2013-08-23	1	1I	1I_K	1I_K.3	-	1/1I/1I_K/1I_K.3/-	KF971870.1_2013-08-23/1/1I/1I_K/1I_K.3	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KJ189303.1_1998	KJ189303.1_1998	1	1V	1V_G	-	-	1/1V/1V_G/-/-	KJ189303.1_1998/1/1V/1V_G/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KJ189304.1_2005	KJ189304.1_2005	1	1V	1V_G	-	-	1/1V/1V_G/-/-	KJ189304.1_2005/1/1V/1V_G/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KJ649286.1_2011-12-31	KJ649286.1_2011-12-31	1	1I	1I_B	-	-	1/1I/1I_B/-/-	KJ649286.1_2011-12-31/1/1I/1I_B/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KJ755855.1_2013-07	KJ755855.1_2013-07	1	1I	1I_H	1I_H.1	-	1/1I/1I_H/1I_H.1/-	KJ755855.1_2013-07/1/1I/1I_H/1I_H.1	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KJ806950.2_2013	KJ806950.2_2013	1	1III	1III_B	-	-	1/1III/1III_B/-/-	KJ806950.2_2013/1/1III/1III_B/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KP406801.1_2004	KP406801.1_2004	1	1III	1III_B	-	-	1/1III/1III_B/-/-	KP406801.1_2004/1/1III/1III_B/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KP406803.1_2006	KP406803.1_2006	1	1IV	1IV_B	1IV_B.1	-	1/1IV/1IV_B/1IV_B.1/-	KP406803.1_2006/1/1IV/1IV_B/1IV_B.1	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KT827364.1_2002	KT827364.1_2002	1	1IV	1IV_C	-	-	1/1IV/1IV_C/-/-	KT827364.1_2002/1/1IV/1IV_C/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KT827369.1_2011	KT827369.1_2011	1	1I	1I_G	-	-	1/1I/1I_G/-/-	KT827369.1_2011/1/1I/1I_G/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KU509249.1_2012	KU509249.1_2012	1	1V	1V_E	-	-	1/1V/1V_E/-/-	KU509249.1_2012/1/1V/1V_E/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KU509252.1_2010	KU509252.1_2010	1	1V	1V_E	-	-	1/1V/1V_E/-/-	KU509252.1_2010/1/1V/1V_E/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KU509254.1_2011	KU509254.1_2011	1	1V	1V_F	-	-	1/1V/1V_F/-/-	KU509254.1_2011/1/1V/1V_F/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KU509258.1_2010	KU509258.1_2010	1	1I	1I_B	-	-	1/1I/1I_B/-/-	KU509258.1_2010/1/1I/1I_B/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KU509260.1_2008	KU509260.1_2008	1	1I	1I_F	-	-	1/1I/1I_F/-/-	KU509260.1_2008/1/1I/1I_F/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KU509261.1_2010	KU509261.1_2010	1	1IV	1IV_C	-	-	1/1IV/1IV_C/-/-	KU509261.1_2010/1/1IV/1IV_C/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KX618705.1_2014	KX618705.1_2014	1	1III	1III_B	-	-	1/1III/1III_B/-/-	KX618705.1_2014/1/1III/1III_B/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KX618706.1_2014	KX618706.1_2014	1	1III	1III_B	-	-	1/1III/1III_B/-/-	KX618706.1_2014/1/1III/1III_B/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KY474306.1_2014	KY474306.1_2014	1	1V	1V_F	-	-	1/1V/1V_F/-/-	KY474306.1_2014/1/1V/1V_F/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KY586516.1_1998	KY586516.1_1998	1	1I	-	-	-	1/1I/-/-/-	KY586516.1_1998/1/1I/-/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KY586528.1_2002	KY586528.1_2002	1	1I	1I_G	-	-	1/1I/1I_G/-/-	KY586528.1_2002/1/1I/1I_G/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KY586530.1_2002	KY586530.1_2002	1	1I	1I_E	-	-	1/1I/1I_E/-/-	KY586530.1_2002/1/1I/1I_E/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/KY586545.1_2004	KY586545.1_2004	1	1I	1I_A	-	-	1/1I/1I_A/-/-	KY586545.1_2004/1/1I/1I_A/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/LC707382.1_2021-06-30	LC707382.1_2021-06-30	1	1VI	1VI_B	-	-	1/1VI/1VI_B/-/-	LC707382.1_2021-06-30/1/1VI/1VI_B/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MF033230.1_2015-02	MF033230.1_2015-02	1	1I	1I_K	1I_K.2	-	1/1I/1I_K/1I_K.2/-	MF033230.1_2015-02/1/1I/1I_K/1I_K.2	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MF033231.1_2015-03	MF033231.1_2015-03	1	1IV	1IV_B	-	-	1/1IV/1IV_B/-/-	MF033231.1_2015-03/1/1IV/1IV_B/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MG840548.1_2015	MG840548.1_2015	1	1I	1I_J	-	-	1/1I/1I_J/-/-	MG840548.1_2015/1/1I/1I_J/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MG840570.1_2016	MG840570.1_2016	1	1I	1I_E	1I_E.1	-	1/1I/1I_E/1I_E.1/-	MG840570.1_2016/1/1I/1I_E/1I_E.1	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MG840578.1_2017	MG840578.1_2017	1	1I	1I_E	1I_E.1	-	1/1I/1I_E/1I_E.1/-	MG840578.1_2017/1/1I/1I_E/1I_E.1	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MG877557.1_2012	MG877557.1_2012	1	1VI	1VI_B	-	-	1/1VI/1VI_B/-/-	MG877557.1_2012/1/1VI/1VI_B/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MH921567.1_2016	MH921567.1_2016	1	1IV	1IV_A	-	-	1/1IV/1IV_A/-/-	MH921567.1_2016/1/1IV/1IV_A/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MK858130.1_2016-10-25	MK858130.1_2016-10-25	1	1III	1III_B	-	-	1/1III/1III_B/-/-	MK858130.1_2016-10-25/1/1III/1III_B/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MN018297.1_2017-05-08	MN018297.1_2017-05-08	1	1IV	1IV_B	1IV_B.1	-	1/1IV/1IV_B/1IV_B.1/-	MN018297.1_2017-05-08/1/1IV/1IV_B/1IV_B.1	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MN018326.1_2017-09-19	MN018326.1_2017-09-19	1	1I	1I_E	1I_E.1	-	1/1I/1I_E/1I_E.1/-	MN018326.1_2017-09-19/1/1I/1I_E/1I_E.1	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MN556094.1_2019-09-01	MN556094.1_2019-09-01	1	1I	1I_K	1I_K.2	-	1/1I/1I_K/1I_K.2/-	MN556094.1_2019-09-01/1/1I/1I_K/1I_K.2	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MN577472.1_2019-07	MN577472.1_2019-07	1	1VI	1VI_A	-	-	1/1VI/1VI_A/-/-	MN577472.1_2019-07/1/1VI/1VI_A/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MN639764.1_2018-10	MN639764.1_2018-10	1	1I	1I_K	1I_K.1	-	1/1I/1I_K/1I_K.1/-	MN639764.1_2018-10/1/1I/1I_K/1I_K.1	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MN639766.1_2018-10	MN639766.1_2018-10	1	1I	1I_K	1I_K.1	-	1/1I/1I_K/1I_K.1/-	MN639766.1_2018-10/1/1I/1I_K/1I_K.1	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MN923105.1_2019-08-26	MN923105.1_2019-08-26	1	1IV	1IV_B	1IV_B.1	-	1/1IV/1IV_B/1IV_B.1/-	MN923105.1_2019-08-26/1/1IV/1IV_B/1IV_B.1	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MN933654.1_2014-07-24	MN933654.1_2014-07-24	1	1I	1I_K	1I_K.3	-	1/1I/1I_K/1I_K.3/-	MN933654.1_2014-07-24/1/1I/1I_K/1I_K.3	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MN933656.1_2014-09-23	MN933656.1_2014-09-23	1	1I	1I_J	-	-	1/1I/1I_J/-/-	MN933656.1_2014-09-23/1/1I/1I_J/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MN933659.1_2015-04-21	MN933659.1_2015-04-21	1	1I	1I_K	1I_K.3	-	1/1I/1I_K/1I_K.3/-	MN933659.1_2015-04-21/1/1I/1I_K/1I_K.3	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MN933660.1_2016-04-28	MN933660.1_2016-04-28	1	1I	1I_K	1I_K.2	-	1/1I/1I_K/1I_K.2/-	MN933660.1_2016-04-28/1/1I/1I_K/1I_K.2	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MN933665.1_2017-07-31	MN933665.1_2017-07-31	1	1I	1I_K	1I_K.2	-	1/1I/1I_K/1I_K.2/-	MN933665.1_2017-07-31/1/1I/1I_K/1I_K.2	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MN933667.1_2018-08-09	MN933667.1_2018-08-09	1	1I	1I_K	1I_K.1	-	1/1I/1I_K/1I_K.1/-	MN933667.1_2018-08-09/1/1I/1I_K/1I_K.1	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MN933669.1_2018-10-16	MN933669.1_2018-10-16	1	1I	1I_E	1I_E.1	-	1/1I/1I_E/1I_E.1/-	MN933669.1_2018-10-16/1/1I/1I_E/1I_E.1	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MN960676.1_2019-11-16	MN960676.1_2019-11-16	1	1I	1I_H	1I_H.1	-	1/1I/1I_H/1I_H.1/-	MN960676.1_2019-11-16/1/1I/1I_H/1I_H.1	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MT397276.1_2015-11	MT397276.1_2015-11	1	1I	1I_J	-	-	1/1I/1I_J/-/-	MT397276.1_2015-11/1/1I/1I_J/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MT832033.1_2015	MT832033.1_2015	1	1IV	1IV_B	1IV_B.2	-	1/1IV/1IV_B/1IV_B.2/-	MT832033.1_2015/1/1IV/1IV_B/1IV_B.2	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MT832037.1_2012	MT832037.1_2012	1	1IV	1IV_B	1IV_B.2	-	1/1IV/1IV_B/1IV_B.2/-	MT832037.1_2012/1/1IV/1IV_B/1IV_B.2	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MT832040.1_2012	MT832040.1_2012	1	1IV	1IV_B	1IV_B.2	-	1/1IV/1IV_B/1IV_B.2/-	MT832040.1_2012/1/1IV/1IV_B/1IV_B.2	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MT832048.1_2013	MT832048.1_2013	1	1IV	1IV_B	1IV_B.1	-	1/1IV/1IV_B/1IV_B.1/-	MT832048.1_2013/1/1IV/1IV_B/1IV_B.1	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MT862857.1_2019-05-13	MT862857.1_2019-05-13	1	1V	1V_E	-	-	1/1V/1V_E/-/-	MT862857.1_2019-05-13/1/1V/1V_E/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/MT929160.1_2019-10-07	MT929160.1_2019-10-07	1	1V	1V_B	-	-	1/1V/1V_B/-/-	MT929160.1_2019-10-07/1/1V/1V_B/-	-	-	-
