taxon	sequenceID	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	combined	combined-with-id	isolate	country	collection_year
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KU509279.1_2008	KU509279.1_2008	3	3I	3I_C	-	-	3/3I/3I_C/-/-	KU509279.1_2008/3/3I/3I_C/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KU509280.1_2011	KU509280.1_2011	3	3II	3II_A	3II_A.3	-	3/3II/3II_A/3II_A.3/-	KU509280.1_2011/3/3II/3II_A/3II_A.3	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KU509282.1_2009	KU509282.1_2009	3	3III	3III_B	3III_B.2	-	3/3III/3III_B/3III_B.2/-	KU509282.1_2009/3/3III/3III_B/3III_B.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KU509283.1_2006	KU509283.1_2006	3	3III	3III_A	3III_A.1	-	3/3III/3III_A/3III_A.1/-	KU509283.1_2006/3/3III/3III_A/3III_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KY586702.1_2008	KY586702.1_2008	3	3II	3II_A	-	-	3/3II/3II_A/-/-	KY586702.1_2008/3/3II/3II_A/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KY586721.1_2000	KY586721.1_2000	3	3II	3II_A	3II_A.2	-	3/3II/3II_A/3II_A.2/-	KY586721.1_2000/3/3II/3II_A/3II_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KY586724.1_2000	KY586724.1_2000	3	3II	3II_A	3II_A.2	-	3/3II/3II_A/3II_A.2/-	KY586724.1_2000/3/3II/3II_A/3II_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KY586777.1_1999	KY586777.1_1999	3	3II	3II_A	3II_A.3	-	3/3II/3II_A/3II_A.3/-	KY586777.1_1999/3/3II/3II_A/3II_A.3	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KY586818.1_2007	KY586818.1_2007	3	3II	-	-	-	3/3II/-/-/-	KY586818.1_2007/3/3II/-/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KY921906.1_2015-06	KY921906.1_2015-06	3	3I	3I_A	3I_A.1	-	3/3I/3I_A/3I_A.1/-	KY921906.1_2015-06/3/3I/3I_A/3I_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/LC379197.1_2017-04-15	LC379197.1_2017-04-15	3	3III	3III_B	3III_B.2	-	3/3III/3III_B/3III_B.2/-	LC379197.1_2017-04-15/3/3III/3III_B/3III_B.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/LT996904.1_2007	LT996904.1_2007	3	3III	3III_A	3III_A.2	-	3/3III/3III_A/3III_A.2/-	LT996904.1_2007/3/3III/3III_A/3III_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MF004386.1_2012-10-04	MF004386.1_2012-10-04	3	3I	3I_A	-	-	3/3I/3I_A/-/-	MF004386.1_2012-10-04/3/3I/3I_A/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MF682968.1_2016-09-10	MF682968.1_2016-09-10	3	3I	3I_A	3I_A.1	-	3/3I/3I_A/3I_A.1/-	MF682968.1_2016-09-10/3/3I/3I_A/3I_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MF682971.1_2013-07-22	MF682971.1_2013-07-22	3	3II	3II_B	-	-	3/3II/3II_B/-/-	MF682971.1_2013-07-22/3/3II/3II_B/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MG721059.2_2016	MG721059.2_2016	3	3III	3III_A	3III_A.2	-	3/3III/3III_A/3III_A.2/-	MG721059.2_2016/3/3III/3III_A/3III_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MG721064.1_2016	MG721064.1_2016	3	3III	3III_B	3III_B.1	-	3/3III/3III_B/3III_B.1/-	MG721064.1_2016/3/3III/3III_B/3III_B.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MH048677.1_2014-12	MH048677.1_2014-12	3	3III	3III_A	3III_A.2	-	3/3III/3III_A/3III_A.2/-	MH048677.1_2014-12/3/3III/3III_A/3III_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MK894338.1_2018-02-05	MK894338.1_2018-02-05	3	3I	3I_A	3I_A.1	-	3/3I/3I_A/3I_A.1/-	MK894338.1_2018-02-05/3/3I/3I_A/3I_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN018370.1_2015-07-24	MN018370.1_2015-07-24	3	3I	3I_A	-	-	3/3I/3I_A/-/-	MN018370.1_2015-07-24/3/3I/3I_A/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN018374.1_2015-09-28	MN018374.1_2015-09-28	3	3I	3I_A	-	-	3/3I/3I_A/-/-	MN018374.1_2015-09-28/3/3I/3I_A/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN018375.1_2015-10-23	MN018375.1_2015-10-23	3	3III	3III_B	3III_B.1	-	3/3III/3III_B/3III_B.1/-	MN018375.1_2015-10-23/3/3III/3III_B/3III_B.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN018377.1_2015-12-22	MN018377.1_2015-12-22	3	3I	3I_A	3I_A.2	-	3/3I/3I_A/3I_A.2/-	MN018377.1_2015-12-22/3/3I/3I_A/3I_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN018378.1_2015-09-30	MN018378.1_2015-09-30	3	3III	3III_B	3III_B.1	-	3/3III/3III_B/3III_B.1/-	MN018378.1_2015-09-30/3/3III/3III_B/3III_B.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN018379.1_2015-10-03	MN018379.1_2015-10-03	3	3I	3I_C	-	-	3/3I/3I_C/-/-	MN018379.1_2015-10-03/3/3I/3I_C/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN018380.1_2015-09-16	MN018380.1_2015-09-16	3	3I	3I_C	-	-	3/3I/3I_C/-/-	MN018380.1_2015-09-16/3/3I/3I_C/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN018389.1_2017-02-15	MN018389.1_2017-02-15	3	3I	3I_C	-	-	3/3I/3I_C/-/-	MN018389.1_2017-02-15/3/3I/3I_C/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN448977.1_2010-05-18	MN448977.1_2010-05-18	3	3II	3II_A	3II_A.3	-	3/3II/3II_A/3II_A.3/-	MN448977.1_2010-05-18/3/3II/3II_A/3II_A.3	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN448990.1_2011-12-27	MN448990.1_2011-12-27	3	3II	3II_A	3II_A.3	-	3/3II/3II_A/3II_A.3/-	MN448990.1_2011-12-27/3/3II/3II_A/3II_A.3	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN922035.1_2019-06-23	MN922035.1_2019-06-23	3	3I	3I_A	3I_A.2	-	3/3I/3I_A/3I_A.2/-	MN922035.1_2019-06-23/3/3I/3I_A/3I_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN922037.1_2019-08-02	MN922037.1_2019-08-02	3	3I	3I_C	-	-	3/3I/3I_C/-/-	MN922037.1_2019-08-02/3/3I/3I_C/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN964273.1_2019-11-09	MN964273.1_2019-11-09	3	3III	3III_B	3III_B.2	-	3/3III/3III_B/3III_B.2/-	MN964273.1_2019-11-09/3/3III/3III_B/3III_B.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MT006158.1_2018-06-19	MT006158.1_2018-06-19	3	3I	3I_A	3I_A.1	-	3/3I/3I_A/3I_A.1/-	MT006158.1_2018-06-19/3/3I/3I_A/3I_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MT261977.1_2017-10-12	MT261977.1_2017-10-12	3	3III	3III_B	3III_B.2	-	3/3III/3III_B/3III_B.2/-	MT261977.1_2017-10-12/3/3III/3III_B/3III_B.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MT921575.1_2016	MT921575.1_2016	3	3I	3I_A	-	-	3/3I/3I_A/-/-	MT921575.1_2016/3/3I/3I_A/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW288031.1_2018-11	MW288031.1_2018-11	3	3III	3III_B	3III_B.2	-	3/3III/3III_B/3III_B.2/-	MW288031.1_2018-11/3/3III/3III_B/3III_B.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW396463.1_2019-07-02	MW396463.1_2019-07-02	3	3I	3I_A	3I_A.2	-	3/3I/3I_A/3I_A.2/-	MW396463.1_2019-07-02/3/3I/3I_A/3I_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW946651.1_1997	MW946651.1_1997	3	3II	3II_A	3II_A.2	-	3/3II/3II_A/3II_A.2/-	MW946651.1_1997/3/3II/3II_A/3II_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW946664.1_2011	MW946664.1_2011	3	3II	3II_B	-	-	3/3II/3II_B/-/-	MW946664.1_2011/3/3II/3II_B/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW946691.1_1992	MW946691.1_1992	3	3I	3I_B	-	-	3/3I/3I_B/-/-	MW946691.1_1992/3/3I/3I_B/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW946718.1_2001	MW946718.1_2001	3	3II	3II_A	3II_A.2	-	3/3II/3II_A/3II_A.2/-	MW946718.1_2001/3/3II/3II_A/3II_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW946819.1_1999	MW946819.1_1999	3	3II	3II_A	3II_A.2	-	3/3II/3II_A/3II_A.2/-	MW946819.1_1999/3/3II/3II_A/3II_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW946863.1_2003	MW946863.1_2003	3	3II	3II_A	3II_A.2	-	3/3II/3II_A/3II_A.2/-	MW946863.1_2003/3/3II/3II_A/3II_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW946876.1_2003	MW946876.1_2003	3	3II	3II_A	-	-	3/3II/3II_A/-/-	MW946876.1_2003/3/3II/3II_A/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW946926.1_1999	MW946926.1_1999	3	3II	3II_A	3II_A.3	-	3/3II/3II_A/3II_A.3/-	MW946926.1_1999/3/3II/3II_A/3II_A.3	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW946934.1_2011	MW946934.1_2011	3	3II	3II_A	3II_A.3	-	3/3II/3II_A/3II_A.3/-	MW946934.1_2011/3/3II/3II_A/3II_A.3	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW946955.1_1978	MW946955.1_1978	3	3I	3I_B	-	-	3/3I/3I_B/-/-	MW946955.1_1978/3/3I/3I_B/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MZ008472.1_2013	MZ008472.1_2013	3	3III	3III_C	3III_C.2	-	3/3III/3III_C/3III_C.2/-	MZ008472.1_2013/3/3III/3III_C/3III_C.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MZ008474.1_2013	MZ008474.1_2013	3	3III	3III_C	3III_C.2	-	3/3III/3III_C/3III_C.2/-	MZ008474.1_2013/3/3III/3III_C/3III_C.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MZ008476.1_2014	MZ008476.1_2014	3	3III	3III_C	3III_C.2	-	3/3III/3III_C/3III_C.2/-	MZ008476.1_2014/3/3III/3III_C/3III_C.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MZ544587.1_2019-03	MZ544587.1_2019-03	3	3III	3III_B	-	-	3/3III/3III_B/-/-	MZ544587.1_2019-03/3/3III/3III_B/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MZ857226.1_1991-09-17	MZ857226.1_1991-09-17	3	3II	3II_A	-	-	3/3II/3II_A/-/-	MZ857226.1_1991-09-17/3/3II/3II_A/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/ncbi-master-refseqs/NC_001475	NC_001475	3	3III	3III_A	-	-	3/3III/3III_A/-/-	NC_001475/3/3III/3III_A/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/OK605763.1_1985	OK605763.1_1985	3	3I	3I_A	-	-	3/3I/3I_A/-/-	OK605763.1_1985/3/3I/3I_A/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/ON116130.1_2021-08	ON116130.1_2021-08	3	3I	3I_A	3I_A.2	-	3/3I/3I_A/3I_A.2/-	ON116130.1_2021-08/3/3I/3I_A/3I_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/ON123655.1_2020	ON123655.1_2020	3	3III	3III_B	3III_B.3	-	3/3III/3III_B/3III_B.3/-	ON123655.1_2020/3/3III/3III_B/3III_B.3	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/ON127534.1_2021-08	ON127534.1_2021-08	3	3I	3I_A	3I_A.2	-	3/3I/3I_A/3I_A.2/-	ON127534.1_2021-08/3/3I/3I_A/3I_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/ON900159.1_2019-06-01	ON900159.1_2019-06-01	3	3III	3III_B	3III_B.3	-	3/3III/3III_B/3III_B.3/-	ON900159.1_2019-06-01/3/3III/3III_B/3III_B.3	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/OP410993.1_2008-09	OP410993.1_2008-09	3	3III	3III_A	3III_A.2	-	3/3III/3III_A/3III_A.2/-	OP410993.1_2008-09/3/3III/3III_A/3III_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/OP410996.1_2019-11	OP410996.1_2019-11	3	3I	3I_A	3I_A.1	-	3/3I/3I_A/3I_A.1/-	OP410996.1_2019-11/3/3I/3I_A/3I_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/OP895705.1_2018	OP895705.1_2018	3	3III	3III_B	3III_B.3	-	3/3III/3III_B/3III_B.3/-	OP895705.1_2018/3/3III/3III_B/3III_B.3	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/OQ103317.1_2022-05-20	OQ103317.1_2022-05-20	3	3I	3I_A	3I_A.1	-	3/3I/3I_A/3I_A.1/-	OQ103317.1_2022-05-20/3/3I/3I_A/3I_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/OQ603309.1_2015-09-15	OQ603309.1_2015-09-15	3	3III	3III_C	3III_C.1	-	3/3III/3III_C/3III_C.1/-	OQ603309.1_2015-09-15/3/3III/3III_C/3III_C.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/OQ603310.1_2015	OQ603310.1_2015	3	3III	3III_C	-	-	3/3III/3III_C/-/-	OQ603310.1_2015/3/3III/3III_C/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/OQ603311.1_2015	OQ603311.1_2015	3	3III	3III_C	3III_C.1	-	3/3III/3III_C/3III_C.1/-	OQ603311.1_2015/3/3III/3III_C/3III_C.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/OQ721955.1_2022	OQ721955.1_2022	3	3III	3III_B	3III_B.3	-	3/3III/3III_B/3III_B.3/-	OQ721955.1_2022/3/3III/3III_B/3III_B.3	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/OQ948474.1_2019-09	OQ948474.1_2019-09	3	3III	3III_B	3III_B.3	-	3/3III/3III_B/3III_B.3/-	OQ948474.1_2019-09/3/3III/3III_B/3III_B.3	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/Yale-DN00994_2021-08-12	Yale-DN00994_2021-08-12	3	3III	3III_C	3III_C.1	-	3/3III/3III_C/3III_C.1/-	Yale-DN00994_2021-08-12/3/3III/3III_C/3III_C.1	-	-	-
