taxon	sequenceID	genotype	isolate	country	collection_year
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/GQ398290	GQ398290	2III	DENV-2/PR/31DN/1994	Puerto Rico	1994
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/GQ868540	GQ868540	2III	DENV-2/VE/BID-V3496/1990	Venezuela: Maracay	1990
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/GQ868545	GQ868545	2V	DENV-2/TH/BID-V3500/1996	Thailand: Bangkok	1996
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/GQ868578	GQ868578	3III	DENV-3/CO/BID-V3405/2007	Colombia: Santander	2007
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/GQ868594	GQ868594	4I	DENV-4/PH/BID-V3361/1956	Philippines	1956
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/GQ868602	GQ868602	1IV	DENV-1/PH/BID-V2940/2004	Philippines	2004
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/GQ868637	GQ868637	1I	DENV-1/IPC/BID-V3919/2000	Cambodia: TAK	2000
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/GU131895	GU131895	1I	DENV-1/IPC/BID-V3787/2009	Cambodia: TAK	2009
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/GU131896	GU131896	2V	DENV-2/IPC/BID-V3788/2007	Cambodia: KCH	2007
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/GU289913	GU289913	4II	341750	Colombia	1982
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/HQ166037	HQ166037	1V	DENV-1/MX/BID-V3757/2008	Mexico: Yucatan	2008
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/HQ891023	HQ891023	2IV	DENV-2/TW/BID-V5054/2008	Taiwan	2008
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/HQ891316	HQ891316	1I	DV1_SL_2009d	Sri Lanka	2009
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/HQ999999	HQ999999	2III	DENV-2/GU/FDA-GUA09/2009	Guatemala: Guatemala City	2009
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/JF262780	JF262780	4IV	P73-1120	Malaysia	1973
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/JF262781	JF262781	4II	INH6412	Venezuela	1995
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/JF262782	JF262782	4II	Haiti73	Haiti	1994
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/JN697056	JN697056	1IV	DH/S1/05/04	Malaysia	2005
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/JN983813	JN983813	4II	Br246RR/10	Brazil: Boa Vista, Roraima State	2010
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/JQ411814	JQ411814	3III	UNC3001	Sri Lanka	1989
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/JQ513345	JQ513345	4I	DENV-4/BHI3581	Brazil: Bahia-BA	2011
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KC762660	KC762660	2II	MKS-0084	Indonesia: Makassar	2007
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KC762669	KC762669	2II	MKS-0071	Indonesia: Makassar	2007
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KC762680	KC762680	2II	MKS-WS80	Indonesia: Makassar	2010
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KC762681	KC762681	3I	MKS-0057	Indonesia: Makassar	2007
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KC762682	KC762682	3I	MKS-0076	Indonesia: Makassar	2007
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KC762684	KC762684	3I	MKS-0098	Indonesia: Makassar	2007
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KC762685	KC762685	3I	MKS-0388	Indonesia: Makassar	2008
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KC762686	KC762686	3I	MKS-0172	Indonesia: Makassar	2007
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KC762687	KC762687	3I	MKS-0396	Indonesia: Makassar	2008
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KC762688	KC762688	3I	MKS-2006	Indonesia: Makassar	2008
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KC762689	KC762689	3I	MKS-2065	Indonesia: Makassar	2008
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KC762690	KC762690	3I	MKS-3000	Indonesia: Makassar	2008
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KC762691	KC762691	3I	MKS-IF058	Indonesia: Makassar	2008
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KF041233	KF041233	2II	D2/Pakistan/2011-3/2011	Pakistan: Muridke	2011
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KF041260	KF041260	4I	D4/Pakistan/150/2009	Pakistan: Karachi	2009
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KF744406	KF744406	2IV	95-SLMC-148	Philippines	1995
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KF744407	KF744407	2IV	96-CSMC-007	Philippines	1996
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KJ189351	KJ189351	1V	DENV-1/PR/BID-V7705/2012	Puerto Rico	2012
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KJ830750	KJ830750	2II	Jeddah-2014	Saudi Arabia	2014
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/KM279597	KM279597	2II	DC719Y12	Singapore	2012
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/M20558	M20558	2III	Jamaica/N.1409	Jamaica	1983
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/NC_001474	NC_001474	2V	16681	Thailand	1964
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/NC_001475	NC_001475	3III	D3/H/IMTSSA-SRI/2000/1266	Sri Lanka	-
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/NC_001477	NC_001477	1IV	-	Western Pacific	1974
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/NC_002640	NC_002640	4II	-	-	-
alignment/AL_UNC_REFSEQS_Dengue/member/ncbi-refseqs/U88535	U88535	1IV	Nauru Island, Western Pacific	Western Pacific	1974
