taxon	sequenceID	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	combined	combined-with-id	isolate	country	collection_year
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EPI_ISL_17983090_2023-05-02	EPI_ISL_17983090_2023-05-02	2	2III	2III_C	2III_C.1	2III_C.1.1	2/2III/2III_C/2III_C.1/2III_C.1.1	EPI_ISL_17983090_2023-05-02/2/2III/2III_C/2III_C.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU179859.1_2006	EU179859.1_2006	2	2II	2II_D	-	-	2/2II/2II_D/-/-	EU179859.1_2006/2/2II/2II_D/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU482449.1_2006	EU482449.1_2006	2	2III	2III_A	2III_A.2	-	2/2III/2III_A/2III_A.2/-	EU482449.1_2006/2/2III/2III_A/2III_A.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU482635.1_2005	EU482635.1_2005	2	2III	2III_D	2III_D.1	2III_D.1.3	2/2III/2III_D/2III_D.1/2III_D.1.3	EU482635.1_2005/2/2III/2III_D/2III_D.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU482639.1_2006	EU482639.1_2006	2	2III	2III_D	2III_D.1	2III_D.1.3	2/2III/2III_D/2III_D.1/2III_D.1.3	EU482639.1_2006/2/2III/2III_D/2III_D.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU482721.1_2006	EU482721.1_2006	2	2III	2III_B	-	-	2/2III/2III_B/-/-	EU482721.1_2006/2/2III/2III_B/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU482726.1_2006	EU482726.1_2006	2	2III	2III_C	-	-	2/2III/2III_C/-/-	EU482726.1_2006/2/2III/2III_C/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU529706.1_2006	EU529706.1_2006	2	2III	2III_B	-	-	2/2III/2III_B/-/-	EU529706.1_2006/2/2III/2III_B/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU596500.1_2007	EU596500.1_2007	2	2III	2III_D	2III_D.1	2III_D.1.1	2/2III/2III_D/2III_D.1/2III_D.1.1	EU596500.1_2007/2/2III/2III_D/2III_D.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU687212.1_1998	EU687212.1_1998	2	2III	2III_C	-	-	2/2III/2III_C/-/-	EU687212.1_1998/2/2III/2III_C/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU726775.1_1996	EU726775.1_1996	2	2III	2III_D	-	-	2/2III/2III_D/-/-	EU726775.1_1996/2/2III/2III_D/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/FJ467493.1_2008	FJ467493.1_2008	2	2VI	-	-	-	2/2VI/-/-/-	FJ467493.1_2008/2/2VI/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/FJ639699.1_2002	FJ639699.1_2002	2	2III	2III_A	-	-	2/2III/2III_A/-/-	FJ639699.1_2002/2/2III/2III_A/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/FJ639828.1_2001	FJ639828.1_2001	2	2V	2V_E	-	-	2/2V/2V_E/-/-	FJ639828.1_2001/2/2V/2V_E/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/FJ687436.1_2001	FJ687436.1_2001	2	2V	2V_E	-	-	2/2V/2V_E/-/-	FJ687436.1_2001/2/2V/2V_E/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/FJ882594.1_2007	FJ882594.1_2007	2	2III	2III_D	2III_D.1	2III_D.1.3	2/2III/2III_D/2III_D.1/2III_D.1.3	FJ882594.1_2007/2/2III/2III_D/2III_D.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/FJ898450.1_1990	FJ898450.1_1990	2	2III	2III_B	-	-	2/2III/2III_B/-/-	FJ898450.1_1990/2/2III/2III_B/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/FJ906956.1_2005	FJ906956.1_2005	2	2III	2III_D	2III_D.1	2III_D.1.3	2/2III/2III_D/2III_D.1/2III_D.1.3	FJ906956.1_2005/2/2III/2III_D/2III_D.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/FM210202.1_2004	FM210202.1_2004	2	2III	2III_A	2III_A.2	-	2/2III/2III_A/2III_A.2/-	FM210202.1_2004/2/2III/2III_A/2III_A.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/FM210204.1_2003	FM210204.1_2003	2	2III	2III_A	2III_A.2	-	2/2III/2III_A/2III_A.2/-	FM210204.1_2003/2/2III/2III_A/2III_A.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/FM210217.1_1999	FM210217.1_1999	2	2III	2III_A	2III_A.1	-	2/2III/2III_A/2III_A.1/-	FM210217.1_1999/2/2III/2III_A/2III_A.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/FM210222.1_2004	FM210222.1_2004	2	2III	2III_A	2III_A.1	-	2/2III/2III_A/2III_A.1/-	FM210222.1_2004/2/2III/2III_A/2III_A.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/FM210227.1_2002	FM210227.1_2002	2	2III	2III_A	2III_A.2	-	2/2III/2III_A/2III_A.2/-	FM210227.1_2002/2/2III/2III_A/2III_A.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/FM210235.2_2005	FM210235.2_2005	2	2III	2III_A	2III_A.1	-	2/2III/2III_A/2III_A.1/-	FM210235.2_2005/2/2III/2III_A/2III_A.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/FM210236.2_2004	FM210236.2_2004	2	2III	2III_A	2III_A.1	-	2/2III/2III_A/2III_A.1/-	FM210236.2_2004/2/2III/2III_A/2III_A.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/FM210237.2_2003	FM210237.2_2003	2	2III	2III_A	2III_A.1	-	2/2III/2III_A/2III_A.1/-	FM210237.2_2003/2/2III/2III_A/2III_A.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/FM210241.2_2004	FM210241.2_2004	2	2III	2III_A	2III_A.2	-	2/2III/2III_A/2III_A.2/-	FM210241.2_2004/2/2III/2III_A/2III_A.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/GQ398257.1_1977	GQ398257.1_1977	2	2I	-	-	-	2/2I/-/-/-	GQ398257.1_1977/2/2I/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/GQ398258.1_1975	GQ398258.1_1975	2	2II	2II_B	-	-	2/2II/2II_B/-/-	GQ398258.1_1975/2/2II/2II_B/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/GQ398259.1_1976	GQ398259.1_1976	2	2II	2II_B	-	-	2/2II/2II_B/-/-	GQ398259.1_1976/2/2II/2II_B/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/GQ398269.1_1994	GQ398269.1_1994	2	2III	2III_B	-	-	2/2III/2III_B/-/-	GQ398269.1_1994/2/2III/2III_B/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/GQ868558.1_2007	GQ868558.1_2007	2	2III	2III_D	2III_D.2	-	2/2III/2III_D/2III_D.2/-	GQ868558.1_2007/2/2III/2III_D/2III_D.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/GQ868591.1_1964	GQ868591.1_1964	2	2V	-	-	-	2/2V/-/-/-	GQ868591.1_1964/2/2V/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/GQ868604.1_2005	GQ868604.1_2005	2	2III	2III_D	2III_D.1	2III_D.1.1	2/2III/2III_D/2III_D.1/2III_D.1.1	GQ868604.1_2005/2/2III/2III_D/2III_D.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/HQ705624.1_2009	HQ705624.1_2009	2	2III	2III_D	2III_D.1	2III_D.1.3	2/2III/2III_D/2III_D.1/2III_D.1.3	HQ705624.1_2009/2/2III/2III_D/2III_D.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/JF260983.1_2009	JF260983.1_2009	2	2VI	-	-	-	2/2VI/-/-/-	JF260983.1_2009/2/2VI/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/JF327392.1_2009	JF327392.1_2009	2	2II	2II_F	-	-	2/2II/2II_F/-/-	JF327392.1_2009/2/2II/2II_F/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/JN368476.1_2007	JN368476.1_2007	2	2V	2V_A	-	-	2/2V/2V_A/-/-	JN368476.1_2007/2/2V/2V_A/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/JN851130.1_2005	JN851130.1_2005	2	2II	2II_D	2II_D.3	-	2/2II/2II_D/2II_D.3/-	JN851130.1_2005/2/2II/2II_D/2II_D.3	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/JQ922550.1_1971	JQ922550.1_1971	2	2I	-	-	-	2/2I/-/-/-	JQ922550.1_1971/2/2I/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/JQ922551.1_2005	JQ922551.1_2005	2	2II	2II_A	-	-	2/2II/2II_A/-/-	JQ922551.1_2005/2/2II/2II_A/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/JQ922552.1_1960	JQ922552.1_1960	2	2I	-	-	-	2/2I/-/-/-	JQ922552.1_1960/2/2I/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/JQ922553.1_1980	JQ922553.1_1980	2	2I	-	-	-	2/2I/-/-/-	JQ922553.1_1980/2/2I/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/JX470186.1_2010	JX470186.1_2010	2	2II	2II_D	2II_D.2	-	2/2II/2II_D/2II_D.2/-	JX470186.1_2010/2/2II/2II_D/2II_D.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/JX966379.1_1994	JX966379.1_1994	2	2I	-	-	-	2/2I/-/-/-	JX966379.1_1994/2/2I/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KC294201.1_2009-02-13	KC294201.1_2009-02-13	2	2III	2III_B	-	-	2/2III/2III_B/-/-	KC294201.1_2009-02-13/2/2III/2III_B/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KC762673.1_2008-03-11	KC762673.1_2008-03-11	2	2II	2II_D	2II_D.3	-	2/2II/2II_D/2II_D.3/-	KC762673.1_2008-03-11/2/2II/2II_D/2II_D.3	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KC762675.1_2008-03-08	KC762675.1_2008-03-08	2	2II	2II_D	2II_D.3	-	2/2II/2II_D/2II_D.3/-	KC762675.1_2008-03-08/2/2II/2II_D/2II_D.3	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KC762680.1_2010-04-05	KC762680.1_2010-04-05	2	2II	2II_D	2II_D.2	-	2/2II/2II_D/2II_D.2/-	KC762680.1_2010-04-05/2/2II/2II_D/2II_D.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KC964095.1_1998	KC964095.1_1998	2	2V	2V_D	-	-	2/2V/2V_D/-/-	KC964095.1_1998/2/2V/2V_D/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KF041236.1_2008	KF041236.1_2008	2	2II	2II_A	2II_A.1	-	2/2II/2II_A/2II_A.1/-	KF041236.1_2008/2/2II/2II_A/2II_A.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KF744397.1_2001	KF744397.1_2001	2	2II	2II_C	-	-	2/2II/2II_C/-/-	KF744397.1_2001/2/2II/2II_C/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KF744398.1_2005	KF744398.1_2005	2	2II	2II_C	2II_C.2	-	2/2II/2II_C/2II_C.2/-	KF744398.1_2005/2/2II/2II_C/2II_C.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KF744399.1_1998	KF744399.1_1998	2	2IV	-	-	-	2/2IV/-/-/-	KF744399.1_1998/2/2IV/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KF744400.1_2000	KF744400.1_2000	2	2IV	-	-	-	2/2IV/-/-/-	KF744400.1_2000/2/2IV/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KF744402.1_2000	KF744402.1_2000	2	2IV	-	-	-	2/2IV/-/-/-	KF744402.1_2000/2/2IV/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KF744407.1_1996	KF744407.1_1996	2	2IV	-	-	-	2/2IV/-/-/-	KF744407.1_1996/2/2IV/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KF921931.1_2003	KF921931.1_2003	2	2III	2III_A	-	-	2/2III/2III_A/-/-	KF921931.1_2003/2/2III/2III_A/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KM279608.1_2010	KM279608.1_2010	2	2II	2II_E	2II_E.1	-	2/2II/2II_E/2II_E.1/-	KM279608.1_2010/2/2II/2II_E/2II_E.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KP012546.1_2014	KP012546.1_2014	2	2II	2II_D	2II_D.1	-	2/2II/2II_D/2II_D.1/-	KP012546.1_2014/2/2II/2II_D/2II_D.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KR779786.2_2013	KR779786.2_2013	2	2II	2II_E	2II_E.1	-	2/2II/2II_E/2II_E.1/-	KR779786.2_2013/2/2II/2II_E/2II_E.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KU509276.1_2008	KU509276.1_2008	2	2II	2II_C	2II_C.1	-	2/2II/2II_C/2II_C.1/-	KU509276.1_2008/2/2II/2II_C/2II_C.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KU509277.1_2010	KU509277.1_2010	2	2II	2II_C	2II_C.1	-	2/2II/2II_C/2II_C.1/-	KU509277.1_2010/2/2II/2II_C/2II_C.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KU517845.1_2013-04-23	KU517845.1_2013-04-23	2	2II	2II_E	2II_E.2	-	2/2II/2II_E/2II_E.2/-	KU517845.1_2013-04-23/2/2II/2II_E/2II_E.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KU517846.1_2014-05-07	KU517846.1_2014-05-07	2	2II	2II_F	2II_F.2	2II_F.2.1	2/2II/2II_F/2II_F.2/2II_F.2.1	KU517846.1_2014-05-07/2/2II/2II_F/2II_F.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KX380810.1_2012	KX380810.1_2012	2	2II	2II_F	2II_F.2	2II_F.2.2	2/2II/2II_F/2II_F.2/2II_F.2.2	KX380810.1_2012/2/2II/2II_F/2II_F.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KX380821.1_2012	KX380821.1_2012	2	2II	2II_E	2II_E.1	-	2/2II/2II_E/2II_E.1/-	KX380821.1_2012/2/2II/2II_E/2II_E.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KX380822.1_2012	KX380822.1_2012	2	2II	2II_F	2II_F.2	2II_F.2.2	2/2II/2II_F/2II_F.2/2II_F.2.2	KX380822.1_2012/2/2II/2II_F/2II_F.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KX380836.1_2013	KX380836.1_2013	2	2II	2II_F	2II_F.2	-	2/2II/2II_F/2II_F.2/-	KX380836.1_2013/2/2II/2II_F/2II_F.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KX452015.1_2014-01	KX452015.1_2014-01	2	2II	2II_E	-	-	2/2II/2II_E/-/-	KX452015.1_2014-01/2/2II/2II_E/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KY427084.1_2010-09-01	KY427084.1_2010-09-01	2	2II	2II_A	2II_A.2	2II_A.2.2	2/2II/2II_A/2II_A.2/2II_A.2.2	KY427084.1_2010-09-01/2/2II/2II_A/2II_A.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KY474310.1_2014	KY474310.1_2014	2	2III	2III_D	2III_D.3	-	2/2III/2III_D/2III_D.3/-	KY474310.1_2014/2/2III/2III_D/2III_D.3	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KY474316.1_2014	KY474316.1_2014	2	2III	2III_D	2III_D.3	-	2/2III/2III_D/2III_D.3/-	KY474316.1_2014/2/2III/2III_D/2III_D.3	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KY586595.1_2004	KY586595.1_2004	2	2V	2V_A	2V_A.3	-	2/2V/2V_A/2V_A.3/-	KY586595.1_2004/2/2V/2V_A/2V_A.3	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KY586667.1_2001	KY586667.1_2001	2	2V	2V_C	-	-	2/2V/2V_C/-/-	KY586667.1_2001/2/2V/2V_C/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KY586675.1_1995	KY586675.1_1995	2	2V	-	-	-	2/2V/-/-/-	KY586675.1_1995/2/2V/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KY586678.1_2002	KY586678.1_2002	2	2V	2V_D	-	-	2/2V/2V_D/-/-	KY586678.1_2002/2/2V/2V_D/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KY586686.1_2000	KY586686.1_2000	2	2V	2V_D	-	-	2/2V/2V_D/-/-	KY586686.1_2000/2/2V/2V_D/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KY586688.1_1998	KY586688.1_1998	2	2V	2V_D	-	-	2/2V/2V_D/-/-	KY586688.1_1998/2/2V/2V_D/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KY586690.1_1999	KY586690.1_1999	2	2V	2V_B	-	-	2/2V/2V_B/-/-	KY586690.1_1999/2/2V/2V_B/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KY586692.1_2001	KY586692.1_2001	2	2V	2V_B	-	-	2/2V/2V_B/-/-	KY586692.1_2001/2/2V/2V_B/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KY586700.1_2009	KY586700.1_2009	2	2II	2II_E	2II_E.1	-	2/2II/2II_E/2II_E.1/-	KY586700.1_2009/2/2II/2II_E/2II_E.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KY670633.1_1995-09	KY670633.1_1995-09	2	2III	2III_A	2III_A.2	-	2/2III/2III_A/2III_A.2/-	KY670633.1_1995-09/2/2III/2III_A/2III_A.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KY794785.1_2010-05-11	KY794785.1_2010-05-11	2	2II	2II_E	2II_E.2	-	2/2II/2II_E/2II_E.2/-	KY794785.1_2010-05-11/2/2II/2II_E/2II_E.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KY849765.1_2009-11-06	KY849765.1_2009-11-06	2	2V	2V_A	2V_A.3	-	2/2V/2V_A/2V_A.3/-	KY849765.1_2009-11-06/2/2V/2V_A/2V_A.3	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KY849768.1_2010-08-13	KY849768.1_2010-08-13	2	2V	2V_A	2V_A.3	-	2/2V/2V_A/2V_A.3/-	KY849768.1_2010-08-13/2/2V/2V_A/2V_A.3	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KY921904.1_2014-03	KY921904.1_2014-03	2	2II	2II_F	2II_F.2	2II_F.2.2	2/2II/2II_F/2II_F.2/2II_F.2.2	KY921904.1_2014-03/2/2II/2II_F/2II_F.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KY937187.1_2015	KY937187.1_2015	2	2II	2II_A	2II_A.1	-	2/2II/2II_A/2II_A.1/-	KY937187.1_2015/2/2II/2II_A/2II_A.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/KY937189.1_2015	KY937189.1_2015	2	2II	2II_A	2II_A.1	-	2/2II/2II_A/2II_A.1/-	KY937189.1_2015/2/2II/2II_A/2II_A.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/LC436675.1_2017-12	LC436675.1_2017-12	2	2II	2II_F	2II_F.1	2II_F.1.2	2/2II/2II_F/2II_F.1/2II_F.1.2	LC436675.1_2017-12/2/2II/2II_F/2II_F.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/MF043956.1_2016	MF043956.1_2016	2	2II	2II_D	2II_D.2	-	2/2II/2II_D/2II_D.2/-	MF043956.1_2016/2/2II/2II_D/2II_D.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/MG560144.1_2014	MG560144.1_2014	2	2II	2II_A	2II_A.2	2II_A.2.1	2/2II/2II_A/2II_A.2/2II_A.2.1	MG560144.1_2014/2/2II/2II_A/2II_A.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/MG599592.1_2001	MG599592.1_2001	2	2II	2II_C	2II_C.2	-	2/2II/2II_C/2II_C.2/-	MG599592.1_2001/2/2II/2II_C/2II_C.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/MG599621.1_2002	MG599621.1_2002	2	2II	2II_C	2II_C.2	-	2/2II/2II_C/2II_C.2/-	MG599621.1_2002/2/2II/2II_C/2II_C.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/MG599628.1_2002	MG599628.1_2002	2	2II	2II_C	2II_C.2	-	2/2II/2II_C/2II_C.2/-	MG599628.1_2002/2/2II/2II_C/2II_C.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/MG599631.1_2002	MG599631.1_2002	2	2II	2II_C	2II_C.2	-	2/2II/2II_C/2II_C.2/-	MG599631.1_2002/2/2II/2II_C/2II_C.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/MH069499.1_2015-09-22	MH069499.1_2015-09-22	2	2III	2III_D	2III_D.2	-	2/2III/2III_D/2III_D.2/-	MH069499.1_2015-09-22/2/2III/2III_D/2III_D.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/MH781013.1_2012	MH781013.1_2012	2	2III	2III_D	2III_D.1	-	2/2III/2III_D/2III_D.1/-	MH781013.1_2012/2/2III/2III_D/2III_D.1	-	-	-
