sequenceID	serotype	genotype	major_lineage	minor_lineage	minor_sublineage
KY586724.1_2000	3	3II	3II_A	3II_A.2	-
MW946651.1_1997	3	3II	3II_A	3II_A.2	-
MW946718.1_2001	3	3II	3II_A	3II_A.2	-
MW946819.1_1999	3	3II	3II_A	3II_A.2	-
MW946863.1_2003	3	3II	3II_A	3II_A.2	-
KY586777.1_1999	3	3II	3II_A	3II_A.3	-
MN448977.1_2010-05-18	3	3II	3II_A	3II_A.3	-
MN448990.1_2011-12-27	3	3II	3II_A	3II_A.3	-
MW946926.1_1999	3	3II	3II_A	3II_A.3	-
KU509280.1_2011	3	3II	3II_A	3II_A.3	-
MW946934.1_2011	3	3II	3II_A	3II_A.3	-
EU081210.1_2005	3	3III	3III_A	3III_A.1	-
EU081214.1_2005	3	3III	3III_A	3III_A.1	-
EU081217.1_2005	3	3III	3III_A	3III_A.1	-
EU081225.1_2005	3	3III	3III_A	3III_A.1	-
KU509283.1_2006	3	3III	3III_A	3III_A.1	-
LT996904.1_2007	3	3III	3III_A	3III_A.2	-
OP410993.1_2008-09	3	3III	3III_A	3III_A.2	-
KJ830751.1_2014-01-26	3	3III	3III_A	3III_A.2	-
MH048677.1_2014-12	3	3III	3III_A	3III_A.2	-
MG721059.2_2016	3	3III	3III_A	3III_A.2	-
JQ922556.1_2005	3	3III	3III_B	3III_B.1	-
JQ922557.1_2005	3	3III	3III_B	3III_B.1	-
MG721064.1_2016	3	3III	3III_B	3III_B.1	-
MN018375.1_2015-10-23	3	3III	3III_B	3III_B.1	-
MN018378.1_2015-09-30	3	3III	3III_B	3III_B.1	-
EHIE21409Y22_2022	3	3III	3III_B	3III_B.1	-
KU509282.1_2009	3	3III	3III_B	3III_B.2	-
LC379197.1_2017-04-15	3	3III	3III_B	3III_B.2	-
MN964273.1_2019-11-09	3	3III	3III_B	3III_B.2	-
MW288031.1_2018-11	3	3III	3III_B	3III_B.2	-
MT261977.1_2017-10-12	3	3III	3III_B	3III_B.2	-
ON123655.1_2020	3	3III	3III_B	3III_B.3	-
ON900159.1_2019-06-01	3	3III	3III_B	3III_B.3	-
OQ721955.1_2022	3	3III	3III_B	3III_B.3	-
OP895705.1_2018	3	3III	3III_B	3III_B.3	-
OQ948474.1_2019-09	3	3III	3III_B	3III_B.3	-
EU596494.1_2007	3	3III	3III_C	3III_C.1	-
FJ547081.1_2001	3	3III	3III_C	3III_C.1	-
GQ868578.1_2007	3	3III	3III_C	3III_C.1	-
OQ603309.1_2015-09-15	3	3III	3III_C	3III_C.1	-
OQ603311.1_2015	3	3III	3III_C	3III_C.1	-
Yale-DN00994_2021-08-12	3	3III	3III_C	3III_C.1	-
MZ008472.1_2013	3	3III	3III_C	3III_C.2	-
MZ008474.1_2013	3	3III	3III_C	3III_C.2	-
MZ008476.1_2014	3	3III	3III_C	3III_C.2	-
EPI_ISL_17689862_2022-08-25	3	3III	3III_C	3III_C.2	-
EPI_ISL_17689864_2022-09-02	3	3III	3III_C	3III_C.2	-
