sequenceID	reference_seq_name	serotype	genotype	major_lineage	minor_lineage
MG560265	REF_DENV1I_K.3_MG560265	1	1I	1I_K	1I_K.3
MN886889	REF_DENV1I_K.3_MN886889	1	1I	1I_K	1I_K.3
MW793684	REF_DENV1I_H.1_MW793684	1	1I	1I_H	1I_H.1
MW793687	REF_DENV1I_H.1_MW793687	1	1I	1I_H	1I_H.1
MW793683	REF_DENV1I_H.1_MW793683	1	1I	1I_H	1I_H.1
MW793685	REF_DENV1I_H.1_MW793685	1	1I	1I_H	1I_H.1
MW793688	REF_DENV1I_H.1_MW793688	1	1I	1I_H	1I_H.1
GU131829	REF_DENV1I_H.2_GU131829	1	1I	1I_H	1I_H.2
FJ461307	REF_DENV1I_H.2_FJ461307	1	1I	1I_H	1I_H.2
GU131736	REF_DENV1I_H.2_GU131736	1	1I	1I_H	1I_H.2
GU131712	REF_DENV1I_H.2_GU131712	1	1I	1I_H	1I_H.2
GU131802	REF_DENV1I_H.2_GU131802	1	1I	1I_H	1I_H.2
OR029754	REF_DENV1I_E.1_OR029754	1	1I	1I_E	1I_E.1
OR029765	REF_DENV1I_E.1_OR029765	1	1I	1I_E	1I_E.1
OR029961	REF_DENV1I_E.1_OR029961	1	1I	1I_E	1I_E.1
OR029928	REF_DENV1I_E.1_OR029928	1	1I	1I_E	1I_E.1
OR029809	REF_DENV1I_E.1_OR029809	1	1I	1I_E	1I_E.1
MW315183	REF_DENV1I_E.2_MW315183	1	1I	1I_E	1I_E.2
MW315195	REF_DENV1I_E.2_MW315195	1	1I	1I_E	1I_E.2
MW315194	REF_DENV1I_E.2_MW315194	1	1I	1I_E	1I_E.2
MW315188	REF_DENV1I_E.2_MW315188	1	1I	1I_E	1I_E.2
MW265714	REF_DENV1I_E.2_MW265714	1	1I	1I_E	1I_E.2
MN923080	REF_DENV1IV_B.1_MN923080	1	1IV	1IV_B	1IV_B.1
ON881244	REF_DENV1IV_B.1_ON881244	1	1IV	1IV_B	1IV_B.1
ON907578	REF_DENV1IV_B.1_ON907578	1	1IV	1IV_B	1IV_B.1
ON908215	REF_DENV1IV_B.1_ON908215	1	1IV	1IV_B	1IV_B.1
OM281597	REF_DENV1IV_B.1_OM281597	1	1IV	1IV_B	1IV_B.1
MT832033	REF_DENV1IV_B.2_MT832033	1	1IV	1IV_B	1IV_B.2
MT832034	REF_DENV1IV_B.2_MT832034	1	1IV	1IV_B	1IV_B.2
MT832046	REF_DENV1IV_B.2_MT832046	1	1IV	1IV_B	1IV_B.2
MT832045	REF_DENV1IV_B.2_MT832045	1	1IV	1IV_B	1IV_B.2
MT832049	REF_DENV1IV_B.2_MT832049	1	1IV	1IV_B	1IV_B.2
OR025653	REF_DENV1V_D.1_OR025653	1	1V	1V_D	1V_D.1
EPI_ISL_17699753	REF_DENV1V_D.1_EPI_ISL_17699753	1	1V	1V_D	1V_D.1
OQ786036	REF_DENV1V_D.1_OQ786036	1	1V	1V_D	1V_D.1
EPI_ISL_17673530	REF_DENV1V_D.1_EPI_ISL_17673530	1	1V	1V_D	1V_D.1
OR025645	REF_DENV1V_D.1_OR025645	1	1V	1V_D	1V_D.1
OR025611	REF_DENV1V_D.2_OR025611	1	1V	1V_D	1V_D.2
EPI_ISL_17699804	REF_DENV1V_D.2_EPI_ISL_17699804	1	1V	1V_D	1V_D.2
OR025613	REF_DENV1V_D.2_OR025613	1	1V	1V_D	1V_D.2
EPI_ISL_17699806	REF_DENV1V_D.2_EPI_ISL_17699806	1	1V	1V_D	1V_D.2
OR025607	REF_DENV1V_D.2_OR025607	1	1V	1V_D	1V_D.2
KF744402	REF_DENV2IV_KF744402	2	2IV	2IV	2IV
KF744399	REF_DENV2IV_KF744399	2	2IV	2IV	2IV
KF744407	REF_DENV2IV_KF744407	2	2IV	2IV	2IV
KF744408	REF_DENV2IV_KF744408	2	2IV	2IV	2IV
KF744406	REF_DENV2IV_KF744406	2	2IV	2IV	2IV
HM582114	REF_DENV2I_HM582114	2	2I	2I	2I
HM582115	REF_DENV2I_HM582115	2	2I	2I	2I
HM582113	REF_DENV2I_HM582113	2	2I	2I	2I
HM582111	REF_DENV2I_HM582111	2	2I	2I	2I
HM582112	REF_DENV2I_HM582112	2	2I	2I	2I
EF105380	REF_DENV2VI_EF105380	2	2VI	2VI	2VI
EF105381	REF_DENV2VI_EF105381	2	2VI	2VI	2VI
EF105383	REF_DENV2VI_EF105383	2	2VI	2VI	2VI
EF105382	REF_DENV2VI_EF105382	2	2VI	2VI	2VI
EF105386	REF_DENV2VI_EF105386	2	2VI	2VI	2VI
KM190937	REF_DENV3V_KM190937	3	3V	3V	3V
KU050695	REF_DENV3V_KU050695	3	3V	3V	3V
JQ922554	REF_DENV3V_JQ922554	3	3V	3V	3V
JF262779	REF_DENV4IV_JF262779	4	4IV	4IV	4IV
AP011	REF_DENV4IV_AP011	4	4IV	4IV	4IV
JF262780	REF_DENV4IV_JF262780	4	4IV	4IV	4IV
MW945552	REF_DENV4IV_MW945552	4	4IV	4IV	4IV
AP009	REF_DENV4IV_AP009	4	4IV	4IV	4IV
MW945493	REF_DENV4III_MW945493	4	4III	4III	4III
KY586946	REF_DENV4III_KY586946	4	4III	4III	4III
KY586945	REF_DENV4III_KY586945	4	4III	4III	4III
MW945619	REF_DENV4III_MW945619	4	4III	4III	4III
KY586944	REF_DENV4III_KY586944	4	4III	4III	4III
MW946279	REF_DENV2V_C_MW946279	2	2V	2V_C	2V_C
KY586668	REF_DENV2V_C_KY586668	2	2V	2V_C	2V_C
MW946529	REF_DENV2V_C_MW946529	2	2V	2V_C	2V_C
MW946436	REF_DENV2V_C_MW946436	2	2V	2V_C	2V_C
MW946457	REF_DENV2V_C_MW946457	2	2V	2V_C	2V_C
KY586677	REF_DENV2V_D_KY586677	2	2V	2V_D	2V_D
KY586678	REF_DENV2V_D_KY586678	2	2V	2V_D	2V_D
KY586679	REF_DENV2V_D_KY586679	2	2V	2V_D	2V_D
MW946483	REF_DENV2V_D_MW946483	2	2V	2V_D	2V_D
MW946492	REF_DENV2V_D_MW946492	2	2V	2V_D	2V_D
MW946257	REF_DENV2V_B_MW946257	2	2V	2V_B	2V_B
KY586690	REF_DENV2V_B_KY586690	2	2V	2V_B	2V_B
MW946592	REF_DENV2V_B_MW946592	2	2V	2V_B	2V_B
KY586691	REF_DENV2V_B_KY586691	2	2V	2V_B	2V_B
KY586692	REF_DENV2V_B_KY586692	2	2V	2V_B	2V_B
FJ744719	REF_DENV2V_E_FJ744719	2	2V	2V_E	2V_E
FJ744720	REF_DENV2V_E_FJ744720	2	2V	2V_E	2V_E
FJ744723	REF_DENV2V_E_FJ744723	2	2V	2V_E	2V_E
FJ744722	REF_DENV2V_E_FJ744722	2	2V	2V_E	2V_E
FJ744721	REF_DENV2V_E_FJ744721	2	2V	2V_E	2V_E
EU482549	REF_DENV2III_B_EU482549	2	2III	2III_B	2III_B
EU482719	REF_DENV2III_B_EU482719	2	2III	2III_B	2III_B
EU596490	REF_DENV2III_B_EU596490	2	2III	2III_B	2III_B
EU482548	REF_DENV2III_B_EU482548	2	2III	2III_B	2III_B
EU596488	REF_DENV2III_B_EU596488	2	2III	2III_B	2III_B
ON231304	REF_DENV2II_B_ON231304	2	2II	2II_B	2II_B
ON231308	REF_DENV2II_B_ON231308	2	2II	2II_B	2II_B
ON231306	REF_DENV2II_B_ON231306	2	2II	2II_B	2II_B
ON231307	REF_DENV2II_B_ON231307	2	2II	2II_B	2II_B
MT981011	REF_DENV2II_B_MT981011	2	2II	2II_B	2II_B
MW946691	REF_DENV3I_B_MW946691	3	3I	3I_B	3I_B
FJ898456	REF_DENV3I_B_FJ898456	3	3I	3I_B	3I_B
JQ920476	REF_DENV3I_B_JQ920476	3	3I	3I_B	3I_B
JQ920477	REF_DENV3I_B_JQ920477	3	3I	3I_B	3I_B
JQ920478	REF_DENV3I_B_JQ920478	3	3I	3I_B	3I_B
MT921574	REF_DENV3I_C_MT921574	3	3I	3I_C	3I_C
MN018379	REF_DENV3I_C_MN018379	3	3I	3I_C	3I_C
MN018389	REF_DENV3I_C_MN018389	3	3I	3I_C	3I_C
MN922037	REF_DENV3I_C_MN922037	3	3I	3I_C	3I_C
MW720891	REF_DENV3I_C_MW720891	3	3I	3I_C	3I_C
MW946618	REF_DENV3II_B_MW946618	3	3II	3II_B	3II_B
MW946933	REF_DENV3II_B_MW946933	3	3II	3II_B	3II_B
MW946639	REF_DENV3II_B_MW946639	3	3II	3II_B	3II_B
MW946849	REF_DENV3II_B_MW946849	3	3II	3II_B	3II_B
MW946771	REF_DENV3II_B_MW946771	3	3II	3II_B	3II_B
OK469361	REF_DENV4II_B_OK469361	4	4II	4II_B	4II_B
OK469362	REF_DENV4II_B_OK469362	4	4II	4II_B	4II_B
OK605767	REF_DENV4II_B_OK605767	4	4II	4II_B	4II_B
KX812530	REF_DENV4II_B_KX812530	4	4II	4II_B	4II_B
OK469360	REF_DENV4II_B_OK469360	4	4II	4II_B	4II_B
OQ426776	REF_DENV2V_A.1_OQ426776	2	2V	2V_A	2V_A.1
OQ426824	REF_DENV2V_A.1_OQ426824	2	2V	2V_A	2V_A.1
OQ426780	REF_DENV2V_A.1_OQ426780	2	2V	2V_A	2V_A.1
OQ426836	REF_DENV2V_A.1_OQ426836	2	2V	2V_A	2V_A.1
OQ426834	REF_DENV2V_A.1_OQ426834	2	2V	2V_A	2V_A.1
OL414719	REF_DENV2V_A.2_OL414719	2	2V	2V_A	2V_A.2
OL414744	REF_DENV2V_A.2_OL414744	2	2V	2V_A	2V_A.2
OL414721	REF_DENV2V_A.2_OL414721	2	2V	2V_A	2V_A.2
OL414720	REF_DENV2V_A.2_OL414720	2	2V	2V_A	2V_A.2
OL414743	REF_DENV2V_A.2_OL414743	2	2V	2V_A	2V_A.2
MN448856	REF_DENV2V_A.3_MN448856	2	2V	2V_A	2V_A.3
MN448887	REF_DENV2V_A.3_MN448887	2	2V	2V_A	2V_A.3
MN448866	REF_DENV2V_A.3_MN448866	2	2V	2V_A	2V_A.3
MN448870	REF_DENV2V_A.3_MN448870	2	2V	2V_A	2V_A.3
MN448920	REF_DENV2V_A.3_MN448920	2	2V	2V_A	2V_A.3
MN448851	REF_DENV2V_A.4_MN448851	2	2V	2V_A	2V_A.4
MN448850	REF_DENV2V_A.4_MN448850	2	2V	2V_A	2V_A.4
MN448874	REF_DENV2V_A.4_MN448874	2	2V	2V_A	2V_A.4
MN448883	REF_DENV2V_A.4_MN448883	2	2V	2V_A	2V_A.4
MN448857	REF_DENV2V_A.4_MN448857	2	2V	2V_A	2V_A.4
ON634705	REF_DENV2III_C.1.1_ON634705	2	2III	2III_C	2III_C.1.1
ON634716	REF_DENV2III_C.1.1_ON634716	2	2III	2III_C	2III_C.1.1
ON634734	REF_DENV2III_C.1.1_ON634734	2	2III	2III_C	2III_C.1.1
ON634733	REF_DENV2III_C.1.1_ON634733	2	2III	2III_C	2III_C.1.1
ON634700	REF_DENV2III_C.1.1_ON634700	2	2III	2III_C	2III_C.1.1
Yale-DN00446	REF_DENV2III_C.1.2_Yale-DN00446	2	2III	2III_C	2III_C.1.2
US/DB328/2022	REF_DENV2III_C.1.2_US/DB328/2022	2	2III	2III_C	2III_C.1.2
Yale-DN00400	REF_DENV2III_C.1.2_Yale-DN00400	2	2III	2III_C	2III_C.1.2
Yale-DN00443	REF_DENV2III_C.1.2_Yale-DN00443	2	2III	2III_C	2III_C.1.2
Yale-DN00190	REF_DENV2III_C.1.2_Yale-DN00190	2	2III	2III_C	2III_C.1.2
Yale-DN00323	REF_DENV2III_C.1_Yale-DN00323	2	2III	2III_C	2III_C.1
Yale-DN00789	REF_DENV2III_C.2_Yale-DN00789	2	2III	2III_C	2III_C.2
US/DB337/2022	REF_DENV2III_C.2_US/DB337/2022	2	2III	2III_C	2III_C.2
US/DB331/2022	REF_DENV2III_C.2_US/DB331/2022	2	2III	2III_C	2III_C.2
Yale-DN00477	REF_DENV2III_C.2_Yale-DN00477	2	2III	2III_C	2III_C.2
Yale-DN00387	REF_DENV2III_C.2_Yale-DN00387	2	2III	2III_C	2III_C.2
EU660406	REF_DENV2III_D.1.1_EU660406	2	2III	2III_D	2III_D.1.1
EU569700	REF_DENV2III_D.1.1_EU569700	2	2III	2III_D	2III_D.1.1
EU596498	REF_DENV2III_D.1.1_EU596498	2	2III	2III_D	2III_D.1.1
EU569698	REF_DENV2III_D.1.1_EU569698	2	2III	2III_D	2III_D.1.1
KF955366	REF_DENV2III_D.1.1_KF955366	2	2III	2III_D	2III_D.1.1
OQ144239	REF_DENV2III_D.1.2_OQ144239	2	2III	2III_D	2III_D.1.2
OQ144252	REF_DENV2III_D.1.2_OQ144252	2	2III	2III_D	2III_D.1.2
OQ144223	REF_DENV2III_D.1.2_OQ144223	2	2III	2III_D	2III_D.1.2
OQ144231	REF_DENV2III_D.1.2_OQ144231	2	2III	2III_D	2III_D.1.2
OQ144244	REF_DENV2III_D.1.2_OQ144244	2	2III	2III_D	2III_D.1.2
EU482634	REF_DENV2III_D.1_EU482634	2	2III	2III_D	2III_D.1
EU482689	REF_DENV2III_D.1_EU482689	2	2III	2III_D	2III_D.1
EU482757	REF_DENV2III_D.1_EU482757	2	2III	2III_D	2III_D.1
EU482603	REF_DENV2III_D.1_EU482603	2	2III	2III_D	2III_D.1
EU482748	REF_DENV2III_D.1_EU482748	2	2III	2III_D	2III_D.1
FJ898435	REF_DENV2III_D.1.3_FJ898435	2	2III	2III_D	2III_D.1.3
EU482637	REF_DENV2III_D.1.3_EU482637	2	2III	2III_D	2III_D.1.3
EU482633	REF_DENV2III_D.1.3_EU482633	2	2III	2III_D	2III_D.1.3
EU482597	REF_DENV2III_D.1.3_EU482597	2	2III	2III_D	2III_D.1.3
EU482636	REF_DENV2III_D.1.3_EU482636	2	2III	2III_D	2III_D.1.3
MH069495	REF_DENV2III_D.2_MH069495	2	2III	2III_D	2III_D.2
MH069498	REF_DENV2III_D.2_MH069498	2	2III	2III_D	2III_D.2
MH069496	REF_DENV2III_D.2_MH069496	2	2III	2III_D	2III_D.2
MZ773408	REF_DENV2III_D.2_MZ773408	2	2III	2III_D	2III_D.2
Yale-DN00061	REF_DENV2III_D.2_Yale-DN00061	2	2III	2III_D	2III_D.2
KY474326	REF_DENV2III_D.3_KY474326	2	2III	2III_D	2III_D.3
KY474329	REF_DENV2III_D.3_KY474329	2	2III	2III_D	2III_D.3
KY474308	REF_DENV2III_D.3_KY474308	2	2III	2III_D	2III_D.3
MN462635	REF_DENV2III_D.3_MN462635	2	2III	2III_D	2III_D.3
KY474315	REF_DENV2III_D.3_KY474315	2	2III	2III_D	2III_D.3
FM210209	REF_DENV2III_A.1_FM210209	2	2III	2III_A	2III_A.1
EU482787	REF_DENV2III_A.1_EU482787	2	2III	2III_A	2III_A.1
FM210236	REF_DENV2III_A.1_FM210236.2	2	2III	2III_A	2III_A.1
MW945434	REF_DENV2III_A.1_MW945434	2	2III	2III_A	2III_A.1
FM210239	REF_DENV2III_A.1_FM210239.2	2	2III	2III_A	2III_A.1
EU482648	REF_DENV2III_A.2_EU482648	2	2III	2III_A	2III_A.2
EU482662	REF_DENV2III_A.2_EU482662	2	2III	2III_A	2III_A.2
EU482660	REF_DENV2III_A.2_EU482660	2	2III	2III_A	2III_A.2
EU482666	REF_DENV2III_A.2_EU482666	2	2III	2III_A	2III_A.2
EU482449	REF_DENV2III_A.2_EU482449	2	2III	2III_A	2III_A.2
MH110571	REF_DENV2II_F.1_MH110571	2	2II	2II_F	2II_F.1
OP684150	REF_DENV2II_F.1_OP684150	2	2II	2II_F	2II_F.1
OP684172	REF_DENV2II_F.1_OP684172	2	2II	2II_F	2II_F.1
OP684146	REF_DENV2II_F.1_OP684146	2	2II	2II_F	2II_F.1
OP684178	REF_DENV2II_F.1_OP684178	2	2II	2II_F	2II_F.1
OL414752	REF_DENV2II_F.1.1_OL414752	2	2II	2II_F	2II_F.1.1
OL414753	REF_DENV2II_F.1.1_OL414753	2	2II	2II_F	2II_F.1.1
OL414733	REF_DENV2II_F.1.1_OL414733	2	2II	2II_F	2II_F.1.1
OL414756	REF_DENV2II_F.1.1_OL414756	2	2II	2II_F	2II_F.1.1
OL414758	REF_DENV2II_F.1.1_OL414758	2	2II	2II_F	2II_F.1.1
ON634742	REF_DENV2II_F.1.2_ON634742	2	2II	2II_F	2II_F.1.2
ON634755	REF_DENV2II_F.1.2_ON634755	2	2II	2II_F	2II_F.1.2
ON634745	REF_DENV2II_F.1.2_ON634745	2	2II	2II_F	2II_F.1.2
ON634756	REF_DENV2II_F.1.2_ON634756	2	2II	2II_F	2II_F.1.2
ON634743	REF_DENV2II_F.1.2_ON634743	2	2II	2II_F	2II_F.1.2
MW730820	REF_DENV2II_F.2.1_MW730820	2	2II	2II_F	2II_F.2.1
MW730827	REF_DENV2II_F.2.1_MW730827	2	2II	2II_F	2II_F.2.1
MW730831	REF_DENV2II_F.2.1_MW730831	2	2II	2II_F	2II_F.2.1
MW730825	REF_DENV2II_F.2.1_MW730825	2	2II	2II_F	2II_F.2.1
MW730826	REF_DENV2II_F.2.1_MW730826	2	2II	2II_F	2II_F.2.1
ON908229	REF_DENV2II_F.2_ON908229	2	2II	2II_F	2II_F.2
ON890422	REF_DENV2II_F.2_ON890422	2	2II	2II_F	2II_F.2
OM368351	REF_DENV2II_F.2_OM368351	2	2II	2II_F	2II_F.2
MN923112	REF_DENV2II_F.2_MN923112	2	2II	2II_F	2II_F.2
MN018357	REF_DENV2II_F.2_MN018357	2	2II	2II_F	2II_F.2
KX380822	REF_DENV2II_F.2.2_KX380822	2	2II	2II_F	2II_F.2.2
KX380832	REF_DENV2II_F.2.2_KX380832	2	2II	2II_F	2II_F.2.2
KX380810	REF_DENV2II_F.2.2_KX380810	2	2II	2II_F	2II_F.2.2
KX380830	REF_DENV2II_F.2.2_KX380830	2	2II	2II_F	2II_F.2.2
KX380833	REF_DENV2II_F.2.2_KX380833	2	2II	2II_F	2II_F.2.2
KM279530	REF_DENV2II_E.1_KM279530	2	2II	2II_E	2II_E.1
KM279554	REF_DENV2II_E.1_KM279554	2	2II	2II_E	2II_E.1
KM279545	REF_DENV2II_E.1_KM279545	2	2II	2II_E	2II_E.1
KM279534	REF_DENV2II_E.1_KM279534	2	2II	2II_E	2II_E.1
KM279541	REF_DENV2II_E.1_KM279541	2	2II	2II_E	2II_E.1
MT921571	REF_DENV2II_E.2_MT921571	2	2II	2II_E	2II_E.2
MN018363	REF_DENV2II_E.2_MN018363	2	2II	2II_E	2II_E.2
MH827544	REF_DENV2II_E.2_MH827544	2	2II	2II_E	2II_E.2
MN018351	REF_DENV2II_E.2_MN018351	2	2II	2II_E	2II_E.2
MH827526	REF_DENV2II_E.2_MH827526	2	2II	2II_E	2II_E.2
KX655787	REF_DENV2II_D.1_KX655787	2	2II	2II_D	2II_D.1
MW721464	REF_DENV2II_D.1_MW721464	2	2II	2II_D	2II_D.1
KT187556	REF_DENV2II_D.1_KT187556	2	2II	2II_D	2II_D.1
KX225486	REF_DENV2II_D.1_KX225486	2	2II	2II_D	2II_D.1
MW721463	REF_DENV2II_D.1_MW721463	2	2II	2II_D	2II_D.1
MW721459	REF_DENV2II_D.2_MW721459	2	2II	2II_D	2II_D.2
