sequenceID	serotype	genotype	major_lineage	minor_lineage	minor_sublineage
MW946093.1_1996	1	1I	1I_F	-	-
ON038484.1_2009-12-14	1	1I	1I_F	-	-
GU131805.1_2008	1	1I	1I_G	-	-
GU131811.1_2008	1	1I	1I_G	-	-
HQ624983.1_2007	1	1I	1I_G	-	-
KT827369.1_2011	1	1I	1I_G	-	-
KY586528.1_2002	1	1I	1I_G	-	-
MW946158.1_1999	1	1I	1I_G	-	-
MW386867.1_2019-10	1	1I	1I_H	1I_H.1	-
OQ080034.1_2020-08-17	1	1I	1I_H	1I_H.1	-
EU482811.1_2006	1	1I	1I_H	1I_H.2	-
GU131749.1_2008	1	1I	1I_H	1I_H.2	-
GU131801.1_2008	1	1I	1I_H	1I_H.2	-
HM181952.1_2007	1	1I	1I_H	1I_H.2	-
MW945936.1_2011	1	1I	1I_H	-	-
MW946178.1_1997	1	1I	1I_H	-	-
KJ755855.1_2013-07	1	1I	1I_H	1I_H.1	-
MN960676.1_2019-11-16	1	1I	1I_H	1I_H.1	-
ON123666.1_2018	1	1I	1I_H	1I_H.1	-
GU131678.1_2008	1	1I	1I_H	1I_H.2	-
JF459993.1_2002	1	1I	1I_J	-	-
MG840548.1_2015	1	1I	1I_J	-	-
MN933656.1_2014-09-23	1	1I	1I_J	-	-
MT397276.1_2015-11	1	1I	1I_J	-	-
MW793709.1_2018-07	1	1I	1I_J	-	-
MW945782.1_2000	1	1I	1I_J	-	-
MN639764.1_2018-10	1	1I	1I_K	1I_K.1	-
MN933667.1_2018-08-09	1	1I	1I_K	1I_K.1	-
OM281593.1_2019-12	1	1I	1I_K	1I_K.1	-
OQ678061.1_2019-12-17	1	1I	1I_K	1I_K.1	-
MF033230.1_2015-02	1	1I	1I_K	1I_K.2	-
MN556094.1_2019-09-01	1	1I	1I_K	1I_K.2	-
MN933660.1_2016-04-28	1	1I	1I_K	1I_K.2	-
OM281571.1_2018-12	1	1I	1I_K	1I_K.2	-
KF971870.1_2013-08-23	1	1I	1I_K	1I_K.3	-
MN933654.1_2014-07-24	1	1I	1I_K	1I_K.3	-
MW945860.1_2013	1	1I	1I_K	1I_K.3	-
ON038487.1_2011-06-09	1	1I	1I_K	1I_K.3	-
GU131752.1_2008	1	1I	1I_K	-	-
MW945798.1_1999	1	1I	1I_K	-	-
MZ291446.1_2020-08	1	1I	1I_K	-	-
MN639766.1_2018-10	1	1I	1I_K	1I_K.1	-
MN933665.1_2017-07-31	1	1I	1I_K	1I_K.2	-
MN933659.1_2015-04-21	1	1I	1I_K	1I_K.3	-
EU179860.1_2005	1	1III	1III_A	-	-
JQ922548.1_2005	1	1III	1III_A	-	-
ON123656.1_2019	1	1III	1III_A	-	-
OP898558.1_2022-10	1	1III	1III_A	-	-
KJ806950.2_2013	1	1III	1III_B	-	-
KP406801.1_2004	1	1III	1III_B	-	-
KX618705.1_2014	1	1III	1III_B	-	-
KX618706.1_2014	1	1III	1III_B	-	-
MK858130.1_2016-10-25	1	1III	1III_B	-	-
JN697056.1_2005-01-01	1	1IV	1IV_A	-	-
JQ915076.1_2009-06-09	1	1IV	1IV_A	-	-
MH921567.1_2016	1	1IV	1IV_A	-	-
MW265693.1_2012-04-28	1	1IV	1IV_A	-	-
OK469341.1_1992	1	1IV	1IV_A	-	-
OL321180.1_2016-02-08	1	1IV	1IV_A	-	-
KP406803.1_2006	1	1IV	1IV_B	1IV_B.1	-
MN923105.1_2019-08-26	1	1IV	1IV_B	1IV_B.1	-
MT832048.1_2013	1	1IV	1IV_B	1IV_B.1	-
MT832033.1_2015	1	1IV	1IV_B	1IV_B.2	-
MT832037.1_2012	1	1IV	1IV_B	1IV_B.2	-
MT832040.1_2012	1	1IV	1IV_B	1IV_B.2	-
OP895913.1_2017-01	1	1IV	1IV_B	1IV_B.2	-
MF033231.1_2015-03	1	1IV	1IV_B	-	-
MW945952.1_1974	1	1IV	1IV_B	-	-
OK469344.1_1975	1	1IV	1IV_B	-	-
MN018297.1_2017-05-08	1	1IV	1IV_B	1IV_B.1	-
OM281599.1_2020-12	1	1IV	1IV_B	1IV_B.1	-
OM281589.1_2019-12	1	1IV	1IV_B	1IV_B.2	-
JN544410.2_2011-04	1	1IV	1IV_C	-	-
KC762620.1_2007-12-13	1	1IV	1IV_C	-	-
KC762630.1_2008-02-06	1	1IV	1IV_C	-	-
KC762651.1_2007-12-11	1	1IV	1IV_C	-	-
KT827364.1_2002	1	1IV	1IV_C	-	-
KU509261.1_2010	1	1IV	1IV_C	-	-
DQ285559.1_2004	1	1V	1V_A	-	-
EU081258.1_2005	1	1V	1V_A	-	-
GQ868601.1_1985	1	1V	1V_A	-	-
JN903578.1_2007-07-26	1	1V	1V_A	-	-
MT929552.1_2018-04-12	1	1V	1V_A	-	-
OQ605987.1_2022-03-31	1	1V	1V_A	-	-
FJ639735.1_1997	1	1V	1V_B	-	-
JN819415.1_2006	1	1V	1V_B	-	-
MT929160.1_2019-10-07	1	1V	1V_B	-	-
MZ008452.1_2014	1	1V	1V_B	-	-
MZ343259.1_2015-11	1	1V	1V_B	-	-
OQ445882.1_2022-08-15	1	1V	1V_B	-	-
EPI_ISL_17689860_2022-07-08	1	1V	1V_C	-	-
GU056032.1_1998	1	1V	1V_C	-	-
KF955424.1_2007	1	1V	1V_C	-	-
MZ008453.1_2013	1	1V	1V_C	-	-
ON426292.1_2020-01-22	1	1V	1V_C	-	-
Yale-DN00058_2016-03-15	1	1V	1V_C	-	-
EPI_ISL_17689871_2023-01-09	1	1V	1V_D	1V_D.1	-
Yale-DN01066_2022-12-07	1	1V	1V_D	1V_D.1	-
ON426300.1_2021-03-26	1	1V	1V_D	1V_D.2	-
OQ603261.1_2015-10-09	1	1V	1V_D	1V_D.2	-
OR025607.1_2023-03-29	1	1V	1V_D	1V_D.2	-
OR025611.1_2023-04-08	1	1V	1V_D	1V_D.2	-
EPI_ISL_17689873_2023-01-14	1	1V	1V_D	-	-
GQ868570.1_2008	1	1V	1V_D	-	-
ON123575.1_2021-08-03	1	1V	1V_D	1V_D.1	-
OR167130.1_2023-03-03	1	1V	1V_D	1V_D.1	-
Yale-DN00823-1_2022-08-28	1	1V	1V_D	1V_D.1	-
ON123596.1_2021-08-20	1	1V	1V_D	1V_D.2	-
FJ639819.1_2006	1	1V	1V_E	-	-
KU509249.1_2012	1	1V	1V_E	-	-
KU509252.1_2010	1	1V	1V_E	-	-
MT862857.1_2019-05-13	1	1V	1V_E	-	-
OQ445884.1_2022-10-01	1	1V	1V_E	-	-
OR167255.1_2023-03-23	1	1V	1V_E	-	-
FJ639794.1_2004	1	1V	1V_F	-	-
KC692517.1_2010-12-29	1	1V	1V_F	-	-
KU509254.1_2011	1	1V	1V_F	-	-
KY474306.1_2014	1	1V	1V_F	-	-
MW377899.1_2014-12-10	1	1V	1V_F	-	-
ON632090.1_2022-03-25	1	1V	1V_F	-	-
GQ868564.1_2006	1	1V	1V_G	-	-
GQ868568.1_2007	1	1V	1V_G	-	-
KJ189303.1_1998	1	1V	1V_G	-	-
KJ189304.1_2005	1	1V	1V_G	-	-
OA08_2011	1	1V	1V_G	-	-
OA10_2012	1	1V	1V_G	-	-
KF184975.1_2013-04	1	1VI	1VI_A	-	-
MN577472.1_2019-07	1	1VI	1VI_A	-	-
MW243006.1_2016-06-19	1	1VI	1VI_A	-	-
MZ130534.1_2019-05-28	1	1VI	1VI_A	-	-
MZ857205.1_2013	1	1VI	1VI_A	-	-
LC707382.1_2021-06-30	1	1VI	1VI_B	-	-
MG877557.1_2012	1	1VI	1VI_B	-	-
OQ593388.1_2017-06-24	1	1VI	1VI_B	-	-
OQ593389.1_2017-06-21	1	1VI	1VI_B	-	-
OQ593392.1_2017-04-13	1	1VI	1VI_B	-	-
