sequenceID	serotype	genotype	major_lineage	minor_lineage	minor_sublineage
KX380836.1_2013	2	2II	2II_F	2II_F.2	-
MW512377.1_2012	2	2II	2II_F	2II_F.2	-
MW512430.1_2014	2	2II	2II_F	2II_F.2	-
ON908229.1_2019-09-16	2	2II	2II_F	2II_F.2	-
OQ028230.1_2020-09-07	2	2II	2II_F	2II_F.2	-
MN018353.1_2016-06-15	2	2II	2II_F	2II_F.2	2II_F.2.1
KU517846.1_2014-05-07	2	2II	2II_F	2II_F.2	2II_F.2.1
MW512465.1_2016	2	2II	2II_F	2II_F.2	2II_F.2.1
MW730819.1_2017-07	2	2II	2II_F	2II_F.2	2II_F.2.1
MW730830.1_2017-07	2	2II	2II_F	2II_F.2	2II_F.2.1
KX380810.1_2012	2	2II	2II_F	2II_F.2	2II_F.2.2
KX380822.1_2012	2	2II	2II_F	2II_F.2	2II_F.2.2
KY921904.1_2014-03	2	2II	2II_F	2II_F.2	2II_F.2.2
MW512406.1_2013	2	2II	2II_F	2II_F.2	2II_F.2.2
OK469346.1_1981	2	2III	-	-	-
DQ181801.1_1990	2	2III	2III_A	-	-
FJ639699.1_2002	2	2III	2III_A	-	-
KF921931.1_2003	2	2III	2III_A	-	-
MW946461.1_1988	2	2III	2III_A	-	-
FM210222.1_2004	2	2III	2III_A	2III_A.1	-
FM210235.2_2005	2	2III	2III_A	2III_A.1	-
FM210236.2_2004	2	2III	2III_A	2III_A.1	-
FM210237.2_2003	2	2III	2III_A	2III_A.1	-
FM210217.1_1999	2	2III	2III_A	2III_A.1	-
FM210202.1_2004	2	2III	2III_A	2III_A.2	-
FM210204.1_2003	2	2III	2III_A	2III_A.2	-
FM210227.1_2002	2	2III	2III_A	2III_A.2	-
FM210241.2_2004	2	2III	2III_A	2III_A.2	-
KY670633.1_1995-09	2	2III	2III_A	2III_A.2	-
EU482449.1_2006	2	2III	2III_A	2III_A.2	-
EU529706.1_2006	2	2III	2III_B	-	-
FJ898450.1_1990	2	2III	2III_B	-	-
GQ398269.1_1994	2	2III	2III_B	-	-
KC294201.1_2009-02-13	2	2III	2III_B	-	-
MN589880.1_1999-04-09	2	2III	2III_B	-	-
EU482721.1_2006	2	2III	2III_B	-	-
EU482726.1_2006	2	2III	2III_C	-	-
EU687212.1_1998	2	2III	2III_C	-	-
ON123621.1_2021-02-15	2	2III	2III_C	-	-
ON634741.1_2022-04-25	2	2III	2III_C	2III_C.1	2III_C.1.1
ON634744.1_2022-03-11	2	2III	2III_C	2III_C.1	2III_C.1.1
EPI_ISL_17983090_2023-05-02	2	2III	2III_C	2III_C.1	2III_C.1.1
MK517773.1_2017-03-28	2	2III	2III_C	2III_C.1	2III_C.1.1
ON634740.1_2022-03-28	2	2III	2III_C	2III_C.1	2III_C.1.1
ON634752.1_2022-03-17	2	2III	2III_C	2III_C.1	2III_C.1.1
Yale-DN00417_2022-04-08	2	2III	2III_C	2III_C.1	2III_C.1.2
Yale-DN00429_2022-04-13	2	2III	2III_C	2III_C.1	2III_C.1.2
Yale-DN00190_2015-10-28	2	2III	2III_C	2III_C.1	2III_C.1.2
Yale-DN00400_2022-03-31	2	2III	2III_C	2III_C.1	2III_C.1.2
Yale-DN00443_2022-05-11	2	2III	2III_C	2III_C.1	2III_C.1.2
US-DB330-2022_2022-08-16	2	2III	2III_C	2III_C.2	-
US-DB337-2022_2022-10-27	2	2III	2III_C	2III_C.2	-
Yale-DN00316_2014-02-09	2	2III	2III_C	2III_C.2	-
Yale-DN00714_2019-11-13	2	2III	2III_C	2III_C.2	-
Yale-DN00800_2022-08-18	2	2III	2III_C	2III_C.2	-
US-DB329-2022_2022-08-17	2	2III	2III_C	2III_C.2	-
EU726775.1_1996	2	2III	2III_D	-	-
MH781013.1_2012	2	2III	2III_D	2III_D.1	-
Yale-DN00744_2022-06-28	2	2III	2III_D	2III_D.1	2III_D.1.1
US-DB335-2022_2022-09-27	2	2III	2III_D	2III_D.1	2III_D.1.1
EU596500.1_2007	2	2III	2III_D	2III_D.1	2III_D.1.1
GQ868604.1_2005	2	2III	2III_D	2III_D.1	2III_D.1.1
Yale-DN00730-1_2022-06-20	2	2III	2III_D	2III_D.1	2III_D.1.1
Yale-DN00586_2019-08-19	2	2III	2III_D	2III_D.1	2III_D.1.2
EPI_ISL_17689850_2022-09-10	2	2III	2III_D	2III_D.1	2III_D.1.2
EPI_ISL_17689858_2022-10-17	2	2III	2III_D	2III_D.1	2III_D.1.2
EPI_ISL_17689875_2022-12-12	2	2III	2III_D	2III_D.1	2III_D.1.2
Yale-DN00611_2019-08-29	2	2III	2III_D	2III_D.1	2III_D.1.2
EU482635.1_2005	2	2III	2III_D	2III_D.1	2III_D.1.3
EU482639.1_2006	2	2III	2III_D	2III_D.1	2III_D.1.3
FJ882594.1_2007	2	2III	2III_D	2III_D.1	2III_D.1.3
FJ906956.1_2005	2	2III	2III_D	2III_D.1	2III_D.1.3
HQ705624.1_2009	2	2III	2III_D	2III_D.1	2III_D.1.3
GQ868558.1_2007	2	2III	2III_D	2III_D.2	-
MH069499.1_2015-09-22	2	2III	2III_D	2III_D.2	-
MZ773408.1_2019-09	2	2III	2III_D	2III_D.2	-
ON510270.1_2021-05-10	2	2III	2III_D	2III_D.2	-
ON714337.1_2015-01-29	2	2III	2III_D	2III_D.2	-
KY474310.1_2014	2	2III	2III_D	2III_D.3	-
KY474316.1_2014	2	2III	2III_D	2III_D.3	-
MN462633.1_2015-04-28	2	2III	2III_D	2III_D.3	-
MN462636.1_2015-05-27	2	2III	2III_D	2III_D.3	-
MN462632.1_2015-10-04	2	2III	2III_D	2III_D.3	-
KF744399.1_1998	2	2IV	-	-	-
KF744400.1_2000	2	2IV	-	-	-
KF744402.1_2000	2	2IV	-	-	-
KF744407.1_1996	2	2IV	-	-	-
OK469347.1_1988	2	2IV	-	-	-
OK605760.1_1988	2	2IV	-	-	-
KY586675.1_1995	2	2V	-	-	-
DQ181803.1_1985	2	2V	-	-	-
MW946422.1_1994	2	2V	-	-	-
GQ868591.1_1964	2	2V	-	-	-
OK469345.1_1985	2	2V	-	-	-
JN368476.1_2007	2	2V	2V_A	-	-
MW946420.1_1996	2	2V	2V_A	-	-
OQ028229.1_2017-08-03	2	2V	2V_A	-	-
MZ453007.1_2019	2	2V	2V_A	-	-
MN018366.1_2015-12-30	2	2V	2V_A	2V_A.1	-
OQ028222.1_2019-06-25	2	2V	2V_A	2V_A.1	-
OQ028228.1_2019-06-26	2	2V	2V_A	2V_A.1	-
OP684189.1_2018-09-30	2	2V	2V_A	2V_A.1	-
OQ028221.1_2019-11-13	2	2V	2V_A	2V_A.1	-
MN923115.1_2019-05-31	2	2V	2V_A	2V_A.2	-
MN923122.1_2019-09-01	2	2V	2V_A	2V_A.2	-
OL414734.1_2020-06	2	2V	2V_A	2V_A.2	-
OL414761.1_2019-08	2	2V	2V_A	2V_A.2	-
OP684188.1_2018-09-20	2	2V	2V_A	2V_A.2	-
KY586595.1_2004	2	2V	2V_A	2V_A.3	-
KY849765.1_2009-11-06	2	2V	2V_A	2V_A.3	-
KY849768.1_2010-08-13	2	2V	2V_A	2V_A.3	-
MN448920.1_2011	2	2V	2V_A	2V_A.3	-
MW946510.1_2011	2	2V	2V_A	2V_A.3	-
MW946554.1_2011	2	2V	2V_A	2V_A.3	-
MN448874.1_2011-09-20	2	2V	2V_A	2V_A.4	-
MN448883.1_2011-09-23	2	2V	2V_A	2V_A.4	-
MN448904.1_2010-09-15	2	2V	2V_A	2V_A.4	-
MW946367.1_2010	2	2V	2V_A	2V_A.4	-
MW946602.1_2011	2	2V	2V_A	2V_A.4	-
KY586690.1_1999	2	2V	2V_B	-	-
KY586692.1_2001	2	2V	2V_B	-	-
MW946460.1_1997	2	2V	2V_B	-	-
MW946473.1_1999	2	2V	2V_B	-	-
MW946551.1_1997	2	2V	2V_B	-	-
KY586667.1_2001	2	2V	2V_C	-	-
MW946279.1_2001	2	2V	2V_C	-	-
MW946369.1_1994	2	2V	2V_C	-	-
MW946428.1_2001	2	2V	2V_C	-	-
MW946509.1_1998	2	2V	2V_C	-	-
MW946590.1_1997	2	2V	2V_C	-	-
KY586678.1_2002	2	2V	2V_D	-	-
KY586686.1_2000	2	2V	2V_D	-	-
KY586688.1_1998	2	2V	2V_D	-	-
MW946284.1_1995	2	2V	2V_D	-	-
KC964095.1_1998	2	2V	2V_D	-	-
FJ639828.1_2001	2	2V	2V_E	-	-
FJ687436.1_2001	2	2V	2V_E	-	-
MW946517.1_2005	2	2V	2V_E	-	-
MW946595.1_2005	2	2V	2V_E	-	-
MW946449.1_2014	2	2V	2V_E	-	-
EF105379.1_1970	2	2VI	-	-	-
EF105385.1_1974	2	2VI	-	-	-
EF105386.1_1980	2	2VI	-	-	-
EF105388.1_1966	2	2VI	-	-	-
FJ467493.1_2008	2	2VI	-	-	-
JF260983.1_2009	2	2VI	-	-	-
