sequenceID	designation	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	minor_subsublineage	outgroup
MW945798.1_1999	1I_K	1	1I	1I_K	1I_K	1I_K		
MZ291446.1_2020-08	1I_K	1	1I	1I_K	1I_K	1I_K		
MT397276.1_2015-11	1I_J	1	1I	1I_J	1I_J	1I_J		
MW945782.1_2000	1I_J	1	1I	1I_J	1I_J	1I_J		
MW793709.1_2018-07	1I_J	1	1I	1I_J	1I_J	1I_J		
MG840548.1_2015	1I_J	1	1I	1I_J	1I_J	1I_J		
JF459993.1_2002	1I_J	1	1I	1I_J	1I_J	1I_J		
MN933656.1_2014-09-23	1I_J	1	1I	1I_J	1I_J	1I_J		
ON123666.1_2018	1I_H	1	1I	1I_H	1I_H	1I_H		
MW945936.1_2011	1I_H	1	1I	1I_H	1I_H	1I_H		
KJ755855.1_2013-07	1I_H	1	1I	1I_H	1I_H	1I_H		
MW946178.1_1997	1I_H	1	1I	1I_H	1I_H	1I_H		
MN960676.1_2019-11-16	1I_H	1	1I	1I_H	1I_H	1I_H		
GU131678.1_2008	1I_H	1	1I	1I_H	1I_H	1I_H		
GU131805.1_2008	1I_G	1	1I	1I_G	1I_G	1I_G		
KT827369.1_2011	1I_G	1	1I	1I_G	1I_G	1I_G		
GU131811.1_2008	1I_G	1	1I	1I_G	1I_G	1I_G		
KY586528.1_2002	1I_G	1	1I	1I_G	1I_G	1I_G		
HQ624983.1_2007	1I_G	1	1I	1I_G	1I_G	1I_G		
MW946158.1_1999	1I_G	1	1I	1I_G	1I_G	1I_G		
FJ196848.1_1999	1I_F	1	1I	1I_F	1I_F	1I_F		
KU509260.1_2008	1I_F	1	1I	1I_F	1I_F	1I_F		
MW946075.1_2010	1I_F	1	1I	1I_F	1I_F	1I_F		
ON038484.1_2009-12-14	1I_F	1	1I	1I_F	1I_F	1I_F		
MW946093.1_1996	1I_F	1	1I	1I_F	1I_F	1I_F		
MW946055.1_2003	1I_F	1	1I	1I_F	1I_F	1I_F		
MG840570.1_2016	1I_E	1	1I	1I_E	1I_E	1I_E		
KC759167.1_2012-01-09	1I_E	1	1I	1I_E	1I_E	1I_E		
OQ832613.1_2020-09	1I_E	1	1I	1I_E	1I_E	1I_E		
MN018326.1_2017-09-19	1I_E	1	1I	1I_E	1I_E	1I_E		
KY586530.1_2002	1I_E	1	1I	1I_E	1I_E	1I_E		
MW265667.1_2016-02-09	1I_E	1	1I	1I_E	1I_E	1I_E		
GQ199775.1_2007	1I_D	1	1I	1I_D	1I_D	1I_D		
FJ639678.1_2003	1I_D	1	1I	1I_D	1I_D	1I_D		
FJ850069.1_2003	1I_D	1	1I	1I_D	1I_D	1I_D		
JQ287664.1_2004	1I_D	1	1I	1I_D	1I_D	1I_D		
FJ882549.1_2007	1I_D	1	1I	1I_D	1I_D	1I_D		
GQ199833.1_2004	1I_C	1	1I	1I_C	1I_C	1I_C		
GQ199837.1_2005	1I_C	1	1I	1I_C	1I_C	1I_C		
FJ898412.1_2006	1I_C	1	1I	1I_C	1I_C	1I_C		
EU677173.1_2007	1I_C	1	1I	1I_C	1I_C	1I_C		
GU131753.1_2008	1I_C	1	1I	1I_C	1I_C	1I_C		
EU482789.1_2003	1I_C	1	1I	1I_C	1I_C	1I_C		
FJ410269.1_2008	1I_C	1	1I	1I_C	1I_C	1I_C		
GU131792.1_2008	1I_C	1	1I	1I_C	1I_C	1I_C		
GQ199805.1_2007	1I_C	1	1I	1I_C	1I_C	1I_C		
KY586545.1_2004	1I_A	1	1I	1I_A	1I_A	1I_A		
MW946160.1_1998	1I_A	1	1I	1I_A	1I_A	1I_A		
MW945835.1_1997	1I_A	1	1I	1I_A	1I_A	1I_A		
MW946016.1_1995	1I_A	1	1I	1I_A	1I_A	1I_A		
FJ196847.1_1997	1I_A	1	1I	1I_A	1I_A	1I_A		
KU509258.1_2010	1I_B	1	1I	1I_B	1I_B	1I_B		
OK040060.1_2011	1I_B	1	1I	1I_B	1I_B	1I_B		
MW946065.1_1996	1I_B	1	1I	1I_B	1I_B	1I_B		
AY732483.1_1981	1I_B	1	1I	1I_B	1I_B	1I_B		
MW945829.1_1995	1I_B	1	1I	1I_B	1I_B	1I_B		
KJ649286.1_2011-12-31	1I_B	1	1I	1I_B	1I_B	1I_B		
MN018297.1_2017-05-08	1IV_B	1	1IV	1IV_B	1IV_B	1IV_B		
OK469344.1_1975	1IV_B	1	1IV	1IV_B	1IV_B	1IV_B		
MF033231.1_2015-03	1IV_B	1	1IV	1IV_B	1IV_B	1IV_B		
OM281599.1_2020-12	1IV_B	1	1IV	1IV_B	1IV_B	1IV_B		
MW945952.1_1974	1IV_B	1	1IV	1IV_B	1IV_B	1IV_B		
KC762630.1_2008-02-06	1IV_C	1	1IV	1IV_C	1IV_C	1IV_C		
KC762620.1_2007-12-13	1IV_C	1	1IV	1IV_C	1IV_C	1IV_C		
KT827364.1_2002	1IV_C	1	1IV	1IV_C	1IV_C	1IV_C		
KC762651.1_2007-12-11	1IV_C	1	1IV	1IV_C	1IV_C	1IV_C		
KU509261.1_2010	1IV_C	1	1IV	1IV_C	1IV_C	1IV_C		
JN544410.2_2011-04	1IV_C	1	1IV	1IV_C	1IV_C	1IV_C		
OR389288.1_1985	1V_A	1	1V	1V_A	1V_A	1V_A		
JQ915076.1_2009-06-09	1IV_A	1	1IV	1IV_A	1IV_A	1IV_A		
MW265693.1_2012-04-28	1IV_A	1	1IV	1IV_A	1IV_A	1IV_A		
JN697056.1_2005-01-01	1IV_A	1	1IV	1IV_A	1IV_A	1IV_A		
OK469341.1_1992	1IV_A	1	1IV	1IV_A	1IV_A	1IV_A		
OL321180.1_2016-02-08	1IV_A	1	1IV	1IV_A	1IV_A	1IV_A		
MH921567.1_2016	1IV_A	1	1IV	1IV_A	1IV_A	1IV_A		
KU509249.1_2012	1V_E	1	1V	1V_E	1V_E	1V_E		
OR167255.1_2023-03-23	1V_E	1	1V	1V_E	1V_E	1V_E		
MT862857.1_2019-05-13	1V_E	1	1V	1V_E	1V_E	1V_E		
OQ445884.1_2022-10-01	1V_E	1	1V	1V_E	1V_E	1V_E		
KU509252.1_2010	1V_E	1	1V	1V_E	1V_E	1V_E		
FJ639819.1_2006	1V_E	1	1V	1V_E	1V_E	1V_E		
OQ821348.1_2022-08-28	1V_D	1	1V	1V_D	1V_D	1V_D		
ON123575.1_2021-08-03	1V_D	1	1V	1V_D	1V_D	1V_D		
ON123596.1_2021-08-20	1V_D	1	1V	1V_D	1V_D	1V_D		
OQ603259.1_2013-06-01	1V_D	1	1V	1V_D	1V_D	1V_D		
GQ868570.1_2008	1V_D	1	1V	1V_D	1V_D	1V_D		
OR167130.1_2023-03-03	1V_D	1	1V	1V_D	1V_D	1V_D		
FJ639794.1_2004	1V_F	1	1V	1V_F	1V_F	1V_F		
KU509254.1_2011	1V_F	1	1V	1V_F	1V_F	1V_F		
KC692517.1_2010-12-29	1V_F	1	1V	1V_F	1V_F	1V_F		
KY474306.1_2014	1V_F	1	1V	1V_F	1V_F	1V_F		
ON632090.1_2022-03-25	1V_F	1	1V	1V_F	1V_F	1V_F		
MW377899.1_2014-12-10	1V_F	1	1V	1V_F	1V_F	1V_F		
GQ868568.1_2007	1V_G	1	1V	1V_G	1V_G	1V_G		
KJ189303.1_1998	1V_G	1	1V	1V_G	1V_G	1V_G		
GQ868564.1_2006	1V_G	1	1V	1V_G	1V_G	1V_G		
KJ189304.1_2005	1V_G	1	1V	1V_G	1V_G	1V_G		
OA10_2012	1V_G	1	1V	1V_G	1V_G	1V_G		
OA08_2011	1V_G	1	1V	1V_G	1V_G	1V_G		
MZ008453.1_2013	1V_C	1	1V	1V_C	1V_C	1V_C		
ON426292.1_2020-01-22	1V_C	1	1V	1V_C	1V_C	1V_C		
OQ821332.1_2016-03-15	1V_C	1	1V	1V_C	1V_C	1V_C		
GU056032.1_1998	1V_C	1	1V	1V_C	1V_C	1V_C		
KJ189368.1_2012	1V_C	1	1V	1V_C	1V_C	1V_C		
KF955424.1_2007	1V_C	1	1V	1V_C	1V_C	1V_C		
MZ008452.1_2014	1V_B	1	1V	1V_B	1V_B	1V_B		
JN819415.1_2006	1V_B	1	1V	1V_B	1V_B	1V_B		
FJ639735.1_1997	1V_B	1	1V	1V_B	1V_B	1V_B		
MT929160.1_2019-10-07	1V_B	1	1V	1V_B	1V_B	1V_B		
OQ445882.1_2022-08-15	1V_B	1	1V	1V_B	1V_B	1V_B		
MZ343259.1_2015-11	1V_B	1	1V	1V_B	1V_B	1V_B		
EU081258.1_2005	1V_A	1	1V	1V_A	1V_A	1V_A		
MT929552.1_2018-04-12	1V_A	1	1V	1V_A	1V_A	1V_A		
GQ868601.1_1985	1V_A	1	1V	1V_A	1V_A	1V_A		
OQ605987.1_2022-03-31	1V_A	1	1V	1V_A	1V_A	1V_A		
DQ285559.1_2004	1V_A	1	1V	1V_A	1V_A	1V_A		
JN903578.1_2007-07-26	1V_A	1	1V	1V_A	1V_A	1V_A		
EU179860.1_2005	1III_A	1	1III	1III_A	1III_A	1III_A		
ON123656.1_2019	1III_A	1	1III	1III_A	1III_A	1III_A		
JQ922548.1_2005	1III_A	1	1III	1III_A	1III_A	1III_A		
OP898558.1_2022-10	1III_A	1	1III	1III_A	1III_A	1III_A		
KJ806950.2_2013	1III_B	1	1III	1III_B	1III_B	1III_B		
KX618706.1_2014	1III_B	1	1III	1III_B	1III_B	1III_B		
MK858130.1_2016-10-25	1III_B	1	1III	1III_B	1III_B	1III_B		
KX618705.1_2014	1III_B	1	1III	1III_B	1III_B	1III_B		
KP406801.1_2004	1III_B	1	1III	1III_B	1III_B	1III_B		
MZ130532.1_2016-04-06	1VII_A	1	1VII	1VII_A	1VII_A	1VII_A		
MZ130535.1_2016-05-09	1VII_A	1	1VII	1VII_A	1VII_A	1VII_A		
MN577472.1_2019-07	1VII_A	1	1VII	1VII_A	1VII_A	1VII_A		
MW243006.1_2016-06-19	1VII_A	1	1VII	1VII_A	1VII_A	1VII_A		
MZ130534.1_2019-05-28	1VII_A	1	1VII	1VII_A	1VII_A	1VII_A		
MZ857205.1_2013	1VII_A	1	1VII	1VII_A	1VII_A	1VII_A		
MG877557.1_2012	1VII_B	1	1VII	1VII_B	1VII_B	1VII_B		
OQ593389.1_2017-06-21	1VII_B	1	1VII	1VII_B	1VII_B	1VII_B		
LC707382.1_2021-06-30	1VII_B	1	1VII	1VII_B	1VII_B	1VII_B		
OQ593388.1_2017-06-24	1VII_B	1	1VII	1VII_B	1VII_B	1VII_B		
OQ593392.1_2017-04-13	1VII_B	1	1VII	1VII_B	1VII_B	1VII_B		
MZ453007.1_2019	2V_A	2	2V	2V_A	2V_A	2V_A		
OQ028221.1_2019-11-13	2V_A	2	2V	2V_A	2V_A	2V_A		
OQ028229.1_2017-08-03	2V_A	2	2V	2V_A	2V_A	2V_A		
MW946420.1_1996	2V_A	2	2V	2V_A	2V_A	2V_A		
JN368476.1_2007	2V_A	2	2V	2V_A	2V_A	2V_A		
OP684189.1_2018-09-30	2V_A	2	2V	2V_A	2V_A	2V_A		
MW946428.1_2001	2V_C	2	2V	2V_C	2V_C	2V_C		
MW946279.1_2001	2V_C	2	2V	2V_C	2V_C	2V_C		
MW946369.1_1994	2V_C	2	2V	2V_C	2V_C	2V_C		
MW946590.1_1997	2V_C	2	2V	2V_C	2V_C	2V_C		
MW946509.1_1998	2V_C	2	2V	2V_C	2V_C	2V_C		
KY586667.1_2001	2V_C	2	2V	2V_C	2V_C	2V_C		
MW946284.1_1995	2V_D	2	2V	2V_D	2V_D	2V_D		
KY586678.1_2002	2V_D	2	2V	2V_D	2V_D	2V_D		
KC964095.1_1998	2V_D	2	2V	2V_D	2V_D	2V_D		
KY586688.1_1998	2V_D	2	2V	2V_D	2V_D	2V_D		
KY586686.1_2000	2V_D	2	2V	2V_D	2V_D	2V_D		
KY586692.1_2001	2V_B	2	2V	2V_B	2V_B	2V_B		
MW946460.1_1997	2V_B	2	2V	2V_B	2V_B	2V_B		
KY586690.1_1999	2V_B	2	2V	2V_B	2V_B	2V_B		
MW946551.1_1997	2V_B	2	2V	2V_B	2V_B	2V_B		
MW946473.1_1999	2V_B	2	2V	2V_B	2V_B	2V_B		
FJ639828.1_2001	2V_E	2	2V	2V_E	2V_E	2V_E		
MW946449.1_2014	2V_E	2	2V	2V_E	2V_E	2V_E		
MW946595.1_2005	2V_E	2	2V	2V_E	2V_E	2V_E		
MW946517.1_2005	2V_E	2	2V	2V_E	2V_E	2V_E		
FJ687436.1_2001	2V_E	2	2V	2V_E	2V_E	2V_E		
EU687212.1_1998	2III_C	2	2III	2III_C	2III_C	2III_C		
EU482726.1_2006	2III_C	2	2III	2III_C	2III_C	2III_C		
ON634744.1_2022-03-11	2III_C	2	2III	2III_C	2III_C	2III_C		
ON123621.1_2021-02-15	2III_C	2	2III	2III_C	2III_C	2III_C		
ON634720.1_2021-02-22	2III_C	2	2III	2III_C	2III_C	2III_C		
OQ445886.1_2022-08-17	2III_C	2	2III	2III_C	2III_C	2III_C		
EU726775.1_1996	2III_D	2	2III	2III_D	2III_D	2III_D		
ON714337.1_2015-01-29	2III_D	2	2III	2III_D	2III_D	2III_D		
ON510270.1_2021-05-10	2III_D	2	2III	2III_D	2III_D	2III_D		
MN462632.1_2015-10-04	2III_D	2	2III	2III_D	2III_D	2III_D		
OQ445892.1_2022-09-27	2III_D	2	2III	2III_D	2III_D	2III_D		
OQ821485.1_2022-07-06	2III_D	2	2III	2III_D	2III_D	2III_D		
FJ898450.1_1990	2III_B	2	2III	2III_B	2III_B	2III_B		
EU482721.1_2006	2III_B	2	2III	2III_B	2III_B	2III_B		
MN589880.1_1999-04-09	2III_B	2	2III	2III_B	2III_B	2III_B		
KC294201.1_2009-02-13	2III_B	2	2III	2III_B	2III_B	2III_B		
EU529706.1_2006	2III_B	2	2III	2III_B	2III_B	2III_B		
GQ398269.1_1994	2III_B	2	2III	2III_B	2III_B	2III_B		
MW946461.1_1988	2III_A	2	2III	2III_A	2III_A	2III_A		
FM210217.1_1999	2III_A	2	2III	2III_A	2III_A	2III_A		
KF921931.1_2003	2III_A	2	2III	2III_A	2III_A	2III_A		
FJ639699.1_2002	2III_A	2	2III	2III_A	2III_A	2III_A		
DQ181801.1_1990	2III_A	2	2III	2III_A	2III_A	2III_A		
JN851126.1_2005	2II_F	2	2II	2II_F	2II_F	2II_F		
OP921000.1_2022-07-29	2II_F	2	2II	2II_F	2II_F	2II_F		
OP684201.1_2019-08-16	2II_F	2	2II	2II_F	2II_F	2II_F		
OQ028230.1_2020-09-07	2II_F	2	2II	2II_F	2II_F	2II_F		
JF327392.1_2009	2II_F	2	2II	2II_F	2II_F	2II_F		
ON634755.1_2022-03-06	2II_F	2	2II	2II_F	2II_F	2II_F		
MK578532.1_2016-04-01	2II_F	2	2II	2II_F	2II_F	2II_F		
MN018351.1_2015-05-17	2II_E	2	2II	2II_E	2II_E	2II_E		
KX380821.1_2012	2II_E	2	2II	2II_E	2II_E	2II_E		
MT921573.1_2004	2II_E	2	2II	2II_E	2II_E	2II_E		
MW512414.1_2014	2II_E	2	2II	2II_E	2II_E	2II_E		
KX452015.1_2014-01	2II_E	2	2II	2II_E	2II_E	2II_E		
OP684198.1_2019-01-20	2II_E	2	2II	2II_E	2II_E	2II_E		
MK564478.1_2016-04-22	2II_D	2	2II	2II_D	2II_D	2II_D		
MN018349.1_2015-05-09	2II_D	2	2II	2II_D	2II_D	2II_D		
EU179859.1_2006	2II_D	2	2II	2II_D	2II_D	2II_D		
JN851130.1_2005	2II_D	2	2II	2II_D	2II_D	2II_D		
MN923111.1_2019-08-24	2II_D	2	2II	2II_D	2II_D	2II_D		
ON890351.1_2017-08-07	2II_D	2	2II	2II_D	2II_D	2II_D		
MW881533.1_2021-02-02	2II_C	2	2II	2II_C	2II_C	2II_C		
MW512409.1_2013	2II_C	2	2II	2II_C	2II_C	2II_C		
MK783205.1_2018	2II_C	2	2II	2II_C	2II_C	2II_C		
MW512467.1_2016	2II_C	2	2II	2II_C	2II_C	2II_C		
KF744397.1_2001	2II_C	2	2II	2II_C	2II_C	2II_C		
KU509276.1_2008	2II_C	2	2II	2II_C	2II_C	2II_C		
MN577564.1_2014-06	2II_B	2	2II	2II_B	2II_B	2II_B		
GQ398258.1_1975	2II_B	2	2II	2II_B	2II_B	2II_B		
OM317565.1_2020-06-24	2II_B	2	2II	2II_B	2II_B	2II_B		
MN577562.1_2013-05	2II_B	2	2II	2II_B	2II_B	2II_B		
GQ398259.1_1976	2II_B	2	2II	2II_B	2II_B	2II_B		
OL469512.1_2017-04-30	2II_B	2	2II	2II_B	2II_B	2II_B		
OP684211.1_2019-10-19	2II_A	2	2II	2II_A	2II_A	2II_A		
AP002_1969	2II_A	2	2II	2II_A	2II_A	2II_A		
MK783209.1_2018	2II_A	2	2II	2II_A	2II_A	2II_A		
OM681318.1_2021-11-16	2II_A	2	2II	2II_A	2II_A	2II_A		
JQ922551.1_2005	2II_A	2	2II	2II_A	2II_A	2II_A		
KY937189.1_2015	2II_A	2	2II	2II_A	2II_A	2II_A		
OK605763.1_1985	3I_A	3	3I	3I_A	3I_A	3I_A		
MT921575.1_2016	3I_A	3	3I	3I_A	3I_A	3I_A		
MF004386.1_2012-10-04	3I_A	3	3I	3I_A	3I_A	3I_A		
MN018370.1_2015-07-24	3I_A	3	3I	3I_A	3I_A	3I_A		
MN018374.1_2015-09-28	3I_A	3	3I	3I_A	3I_A	3I_A		
MW946691.1_1992	3I_B	3	3I	3I_B	3I_B	3I_B		
JQ920485.1_1996-10-21	3I_B	3	3I	3I_B	3I_B	3I_B		
JQ920480.1_1996-09-04	3I_B	3	3I	3I_B	3I_B	3I_B		
MW946955.1_1978	3I_B	3	3I	3I_B	3I_B	3I_B		
FJ898456.1_1995	3I_B	3	3I	3I_B	3I_B	3I_B		
MN922037.1_2019-08-02	3I_C	3	3I	3I_C	3I_C	3I_C		
MN018389.1_2017-02-15	3I_C	3	3I	3I_C	3I_C	3I_C		
KU509279.1_2008	3I_C	3	3I	3I_C	3I_C	3I_C		
MN018380.1_2015-09-16	3I_C	3	3I	3I_C	3I_C	3I_C		
MN018379.1_2015-10-03	3I_C	3	3I	3I_C	3I_C	3I_C		
KY586787.1_2002	3II_A	3	3II	3II_A	3II_A	3II_A		
MW946675.1_1994	3II_A	3	3II	3II_A	3II_A	3II_A		
KY586754.1_2001	3II_A	3	3II	3II_A	3II_A	3II_A		
MW946876.1_2003	3II_A	3	3II	3II_A	3II_A	3II_A		
MW946934.1_2011	3II_A	3	3II	3II_A	3II_A	3II_A		
KY586702.1_2008	3II_A	3	3II	3II_A	3II_A	3II_A		
HM631854.1_2008	3II_A	3	3II	3II_A	3II_A	3II_A		
KU509280.1_2011	3II_A	3	3II	3II_A	3II_A	3II_A		
MZ857226.1_1991-09-17	3II_A	3	3II	3II_A	3II_A	3II_A		
MW946664.1_2011	3II_B	3	3II	3II_B	3II_B	3II_B		
KT424097.1_2014-08-28	3II_B	3	3II	3II_B	3II_B	3II_B		
AY496871.2_2002	3II_B	3	3II	3II_B	3II_B	3II_B		
MF682971.1_2013-07-22	3II_B	3	3II	3II_B	3II_B	3II_B		
KY586818.1_2007	3II_B	3	3II	3II_B	3II_B	3II_B		
MH048677.1_2014-12	3III_A	3	3III	3III_A	3III_A	3III_A		
FJ882573.1_1993	3III_A	3	3III	3III_A	3III_A	3III_A		
KJ830751.1_2014-01-26	3III_A	3	3III	3III_A	3III_A	3III_A		
KU509283.1_2006	3III_A	3	3III	3III_A	3III_A	3III_A		
MG721059.2_2016	3III_A	3	3III	3III_A	3III_A	3III_A		
FJ882576.1_1994	3III_C	3	3III	3III_C	3III_C	3III_C		
OQ603311.1_2015	3III_C	3	3III	3III_C	3III_C	3III_C		
