sequenceID	fasta_name	Country	collection_date	serotype	old_genotype	genotype	major_lineage	minor_lineage	trimmed_coverage	source
MZ857206	MZ857206.1|2013	Kenya	2013	DENV1	1I	1I	1I_B		1	genbank
OK040060	OK040060.1|2011	Somalia	2011	DENV1	1I	1I	1I_B		0.93	genbank
KU509258	KU509258.1|2010	Eritrea	2010	DENV1	1I	1I	1I_B		1	genbank
KJ649286	KJ649286.1|2011-12-31	Saudi_Arabia	31/12/2011	DENV1	1I	1I	1I_B		1	genbank
AB608788	AB608788.1|1994	Taiwan	1994	DENV1	1I	1I	1I_B		1	genbank
MW945829	MW945829.1|1995	Thailand	1995	DENV1	1I	1I	1I_B		1	genbank
MW945961	MW945961.1|1994	Thailand	1994	DENV1	1I	1I	1I_B		1	genbank
MW945871	MW945871.1|1994	Thailand	1994	DENV1	1I	1I	1I_B		1	genbank
MW945878	MW945878.1|1994	Thailand	1994	DENV1	1I	1I	1I_B		1	genbank
MW945850	MW945850.1|1994	Thailand	1994	DENV1	1I	1I	1I_B		1	genbank
MZ857224	MZ857224.1|1990-05-23	Thailand	23/05/1990	DENV1	1I	1I	1I_B		1	genbank
MZ857227	MZ857227.1|1992-02-12	Thailand	12/02/1992	DENV1	1I	1I	1I_B		1	genbank
MZ857223	MZ857223.1|2006	Indonesia	2006	DENV1	1I	1I	1I_B		1	genbank
MW946007	MW946007.1|1994	Thailand	1994	DENV1	1I	1I	1I_B		1	genbank
JN638342	JN638342.1|1990	Thailand	1990	DENV1	1I	1I	1I_B		1	genbank
JN638341	JN638341.1|1987	Thailand	1987	DENV1	1I	1I	1I_B		1	genbank
MW946120	MW946120.1|1982	Thailand	1982	DENV1	1I	1I	1I_B		1	genbank
AY732481	AY732481.1|1982	Thailand	1982	DENV1	1I	1I	1I_B		1	genbank
AY732483	AY732483.1|1981	Thailand	1981	DENV1	1I	1I	1I_B		1	genbank
GU131731	GU131731.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GU131737	GU131737.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GU131769	GU131769.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
JF937613	JF937613.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GU131757	GU131757.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GU131705	GU131705.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GU131696	GU131696.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
JF937616	JF937616.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GU131798	GU131798.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GU131775	GU131775.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
FJ410251	FJ410251.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GQ199822	GQ199822.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
GU131738	GU131738.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
FJ410264	FJ410264.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GU131768	GU131768.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
FJ432742	FJ432742.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
FJ410260	FJ410260.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
KF921950	KF921950.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		0.98	genbank
GU131819	GU131819.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GU131792	GU131792.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
FJ410213	FJ410213.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
FJ410214	FJ410214.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GU131715	GU131715.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GU131727	GU131727.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
HM181968	HM181968.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GU131726	GU131726.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GU131720	GU131720.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
FJ882550	FJ882550.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
GQ868609	GQ868609.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
GQ199783	GQ199783.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
EU482481	EU482481.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
EU482710	EU482710.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
FJ182003	FJ182003.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
GQ199782	GQ199782.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
FJ461320	FJ461320.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
GQ199852	GQ199852.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ898427	FJ898427.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
GQ199850	GQ199850.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
EU482794	EU482794.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
JQ287660	JQ287660.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ898409	FJ898409.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ882518	FJ882518.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ882542	FJ882542.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ898396	FJ898396.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ898404	FJ898404.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ898416	FJ898416.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
GQ199844	GQ199844.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
GQ199848	GQ199848.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ898393	FJ898393.1|2005	Vietnam	2005	DENV1	1I	1I	1I_C		1	genbank
KF921937	KF921937.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		0.98	genbank
GQ199846	GQ199846.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
GU131718	GU131718.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GU131766	GU131766.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
FJ882561	FJ882561.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
EU482796	EU482796.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
EU482535	EU482535.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
EU482825	EU482825.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
JQ287661	JQ287661.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ882543	FJ882543.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
EU482822	EU482822.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
GU131753	GU131753.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
FJ882515	FJ882515.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ898425	FJ898425.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ898428	FJ898428.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
GU131681	GU131681.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
EU482526	EU482526.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ410218	FJ410218.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
FJ898385	FJ898385.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
FJ882524	FJ882524.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ882523	FJ882523.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ882533	FJ882533.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ547060	FJ547060.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
EU482806	EU482806.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ898414	FJ898414.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ898406	FJ898406.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ898405	FJ898405.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ898415	FJ898415.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
EU249494	EU249494.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
GQ199830	GQ199830.1|2003	Vietnam	2003	DENV1	1I	1I	1I_C		1	genbank
FJ882565	FJ882565.1|2003	Vietnam	2003	DENV1	1I	1I	1I_C		1	genbank
MW945425	MW945425.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
FJ461335	FJ461335.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
FJ410269	FJ410269.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GQ868614	GQ868614.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GQ199809	GQ199809.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
FJ898374	FJ898374.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
GQ199787	GQ199787.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
FJ410284	FJ410284.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
EU249495	EU249495.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
EU482518	EU482518.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
EU482537	EU482537.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
EU482827	EU482827.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ024456	FJ024456.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
EU482531	EU482531.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
EU482824	EU482824.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
JF937596	JF937596.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
GQ199781	GQ199781.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
EU482519	EU482519.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
GQ868605	GQ868605.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
GQ868607	GQ868607.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
FJ898390	FJ898390.1|2005	Vietnam	2005	DENV1	1I	1I	1I_C		1	genbank
KF921946	KF921946.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		0.98	genbank
GU131782	GU131782.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GU131820	GU131820.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GU131763	GU131763.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GQ868636	GQ868636.1|2008	Cambodia	2008	DENV1	1I	1I	1I_C		1	genbank
GQ199791	GQ199791.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
FJ432749	FJ432749.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
FJ898386	FJ898386.1|2005	Vietnam	2005	DENV1	1I	1I	1I_C		1	genbank
FJ898394	FJ898394.1|2005	Vietnam	2005	DENV1	1I	1I	1I_C		1	genbank
EU482789	EU482789.1|2003	Vietnam	2003	DENV1	1I	1I	1I_C		1	genbank
FJ432723	FJ432723.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
FJ410266	FJ410266.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GQ868610	GQ868610.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
HM181966	HM181966.1|2008	Vietnam	2008	DENV1	1I	1I	1I_C		1	genbank
GQ199835	GQ199835.1|2005	Vietnam	2005	DENV1	1I	1I	1I_C		1	genbank
FJ898389	FJ898389.1|2005	Vietnam	2005	DENV1	1I	1I	1I_C		1	genbank
FJ898412	FJ898412.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
GQ199793	GQ199793.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
EU677173	EU677173.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
GQ199831	GQ199831.1|2003	Vietnam	2003	DENV1	1I	1I	1I_C		1	genbank
EU482792	EU482792.1|2003	Vietnam	2003	DENV1	1I	1I	1I_C		1	genbank
GQ199784	GQ199784.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
GQ199805	GQ199805.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
GQ199790	GQ199790.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
FJ432729	FJ432729.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
FJ432733	FJ432733.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
FJ898376	FJ898376.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
FJ898371	FJ898371.1|2007	Vietnam	2007	DENV1	1I	1I	1I_C		1	genbank
FJ898392	FJ898392.1|2005	Vietnam	2005	DENV1	1I	1I	1I_C		1	genbank
FJ898408	FJ898408.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
GQ199836	GQ199836.1|2005	Vietnam	2005	DENV1	1I	1I	1I_C		1	genbank
GQ199838	GQ199838.1|2005	Vietnam	2005	DENV1	1I	1I	1I_C		1	genbank
GQ199837	GQ199837.1|2005	Vietnam	2005	DENV1	1I	1I	1I_C		1	genbank
FJ882568	FJ882568.1|2003	Vietnam	2003	DENV1	1I	1I	1I_C		1	genbank
GQ199832	GQ199832.1|2003	Vietnam	2003	DENV1	1I	1I	1I_C		1	genbank
GQ199839	GQ199839.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
GQ199849	GQ199849.1|2006	Vietnam	2006	DENV1	1I	1I	1I_C		1	genbank
FJ882570	FJ882570.1|2005	Vietnam	2005	DENV1	1I	1I	1I_C		1	genbank
EU482476	EU482476.1|2003	Vietnam	2003	DENV1	1I	1I	1I_C		1	genbank
FJ882567	FJ882567.1|2003	Vietnam	2003	DENV1	1I	1I	1I_C		1	genbank
FJ882566	FJ882566.1|2003	Vietnam	2003	DENV1	1I	1I	1I_C		1	genbank
FJ882569	FJ882569.1|2004	Vietnam	2004	DENV1	1I	1I	1I_C		1	genbank
FJ882564	FJ882564.1|2003	Vietnam	2003	DENV1	1I	1I	1I_C		1	genbank
EU482791	EU482791.1|2003	Vietnam	2003	DENV1	1I	1I	1I_C		1	genbank
GQ199833	GQ199833.1|2004	Vietnam	2004	DENV1	1I	1I	1I_C		1	genbank
GQ199834	GQ199834.1|2005	Vietnam	2005	DENV1	1I	1I	1I_C		1	genbank
JF937598	JF937598.1|2006	Vietnam	2006	DENV1	1I	1I	1I_D		1	genbank
FJ898424	FJ898424.1|2006	Vietnam	2006	DENV1	1I	1I	1I_D		1	genbank
FJ882520	FJ882520.1|2006	Vietnam	2006	DENV1	1I	1I	1I_D		1	genbank
FJ898429	FJ898429.1|2006	Vietnam	2006	DENV1	1I	1I	1I_D		1	genbank
GQ199843	GQ199843.1|2006	Vietnam	2006	DENV1	1I	1I	1I_D		1	genbank
EU677151	EU677151.1|2007	Vietnam	2007	DENV1	1I	1I	1I_D		1	genbank
EU677169	EU677169.1|2007	Vietnam	2007	DENV1	1I	1I	1I_D		1	genbank
FJ882541	FJ882541.1|2006	Vietnam	2006	DENV1	1I	1I	1I_D		1	genbank
FJ898407	FJ898407.1|2006	Vietnam	2006	DENV1	1I	1I	1I_D		1	genbank
FJ373297	FJ373297.1|2007	Vietnam	2007	DENV1	1I	1I	1I_D		1	genbank
EU660395	EU660395.1|2007	Vietnam	2007	DENV1	1I	1I	1I_D		1	genbank
EU482486	EU482486.1|2007	Vietnam	2007	DENV1	1I	1I	1I_D		1	genbank
EU677176	EU677176.1|2007	Vietnam	2007	DENV1	1I	1I	1I_D		1	genbank
EU482495	EU482495.1|2007	Vietnam	2007	DENV1	1I	1I	1I_D		1	genbank
FJ882549	FJ882549.1|2007	Vietnam	2007	DENV1	1I	1I	1I_D		1	genbank
FJ410231	FJ410231.1|2007	Vietnam	2007	DENV1	1I	1I	1I_D		1	genbank
GQ199785	GQ199785.1|2007	Vietnam	2007	DENV1	1I	1I	1I_D		1	genbank
JF937649	JF937649.1|2007	Vietnam	2007	DENV1	1I	1I	1I_D		1	genbank
FJ461318	FJ461318.1|2007	Vietnam	2007	DENV1	1I	1I	1I_D		1	genbank
FJ182033	FJ182033.1|2007	Vietnam	2007	DENV1	1I	1I	1I_D		1	genbank
EU482510	EU482510.1|2007	Vietnam	2007	DENV1	1I	1I	1I_D		1	genbank
GQ199775	GQ199775.1|2007	Vietnam	2007	DENV1	1I	1I	1I_D		1	genbank
GQ199774	GQ199774.1|2007	Vietnam	2007	DENV1	1I	1I	1I_D		1	genbank
FJ882537	FJ882537.1|2006	Vietnam	2006	DENV1	1I	1I	1I_D		1	genbank
FJ898423	FJ898423.1|2006	Vietnam	2006	DENV1	1I	1I	1I_D		1	genbank
FJ898373	FJ898373.1|2007	Vietnam	2007	DENV1	1I	1I	1I_D		1	genbank
FJ639673	FJ639673.1|2001	Cambodia	2001	DENV1	1I	1I	1I_D		1	genbank
KF955405	KF955405.1|2002	Cambodia	2002	DENV1	1I	1I	1I_D		0.88	genbank
JN819423	JN819423.1|2001	Cambodia	2001	DENV1	1I	1I	1I_D		1	genbank
FJ639671	FJ639671.1|2001	Cambodia	2001	DENV1	1I	1I	1I_D		1	genbank
KF955406	KF955406.1|2001	Cambodia	2001	DENV1	1I	1I	1I_D		1	genbank
FJ639676	FJ639676.1|2003	Cambodia	2003	DENV1	1I	1I	1I_D		1	genbank
JQ287664	JQ287664.1|2004	Cambodia	2004	DENV1	1I	1I	1I_D		1	genbank
FJ850069	FJ850069.1|2003	Cambodia	2003	DENV1	1I	1I	1I_D		1	genbank
GQ868637	GQ868637.1|2000	Cambodia	2000	DENV1	1I	1I	1I_D		1	genbank
FJ639678	FJ639678.1|2003	Cambodia	2003	DENV1	1I	1I	1I_D		1	genbank
OR029754	OR029754.1|2019-08-16	China	16/08/2019	DENV1	1I	1I	1I_E	1I_E.1	1	genbank
OR029765	OR029765.1|2019-08-18	China	18/08/2019	DENV1	1I	1I	1I_E	1I_E.1	1	genbank
OR029961	OR029961.1|2019-08-15	China	15/08/2019	DENV1	1I	1I	1I_E	1I_E.1	1	genbank
OR029928	OR029928.1|2019-08-13	China	13/08/2019	DENV1	1I	1I	1I_E	1I_E.1	1	genbank
OR029809	OR029809.1|2019-08-20	China	20/08/2019	DENV1	1I	1I	1I_E	1I_E.1	1	genbank
OR029959	OR029959.1|2019-08-15	China	15/08/2019	DENV1	1I	1I	1I_E	1I_E.1	1	genbank
OR029958	OR029958.1|2019-08-15	China	15/08/2019	DENV1	1I	1I	1I_E	1I_E.1	1	genbank
OR029962	OR029962.1|2019-08-15	China	15/08/2019	DENV1	1I	1I	1I_E	1I_E.1	1	genbank
OR029965	OR029965.1|2019-08-17	China	17/08/2019	DENV1	1I	1I	1I_E	1I_E.1	1	genbank
OR029901	OR029901.1|2019-08-12	China	12/08/2019	DENV1	1I	1I	1I_E	1I_E.1	1	genbank
OR029934	OR029934.1|2019-08-13	China	13/08/2019	DENV1	1I	1I	1I_E	1I_E.1	1	genbank
OR029943	OR029943.1|2019-08-14	China	14/08/2019	DENV1	1I	1I	1I_E	1I_E.1	1	genbank
OR029937	OR029937.1|2019-08-14	China	14/08/2019	DENV1	1I	1I	1I_E	1I_E.1	1	genbank
OR029963	OR029963.1|2019-08-15	China	15/08/2019	DENV1	1I	1I	1I_E	1I_E.1	1	genbank
