id	Refseq_name	serotype	genotype	isolate	country	place_sampled	collection_year	collection_month	collection_month_day	sampled_host_sci_name	Publications
AB189121	1IV_AB189121	1	1IV	98901530 DF DV-1	Indonesia	Sumatra	1998			Homo sapiens	
AB204803	1IV_AB204803	1	1IV	D1/hu/Yap/NIID27/2004	Japan	-	2004			Homo sapiens	
DQ672561	1IV_DQ672561	1	1IV	HawM3430	USA	Hawaii	2001			-	
DQ672564	1IV_DQ672564	1	1IV	HawO3663	USA	Hawaii	2001			-	
EF032590	1IV_EF032590	1	1IV	GZ01/95	China	Guangzhou	1995			-	
FJ196842	1IV_FJ196842	1	1IV	GD66/03	China	Guangzhou, Guangdong Province	2003			-	
GQ868602	1IV_GQ868602	1	1IV	DENV-1/PH/BID-V2940/2004	Philippines	-	2004			Homo sapiens	
JN697056	1IV_JN697056	1	1IV	DH/S1/05/04	Malaysia	-	2005	JAN	1	Homo sapiens (NPHL Mol B04)	
NC_001477	1IV_NC_001477	1	1IV	45AZ5	Western Pacific	Nauru	1974			-	
U88535	1IV_U88535	1	1IV	Nauru Island, Western Pacific	Western Pacific	Nauru	1974			-	
AB519681	1V_AB519681	1	1V	SB 01057805 (DF02)	Brazil	Brasilia, DF	2001			-	
AF311956	1V_AF311956	1	1V	BR/97-111	Brazil	-	1997			Homo sapiens	https://www.sciencedirect.com/science/article/pii/S0168170202001806?via%3Dihub
AY206457	1V_AY206457	1	1V	293arg00	Argentina	-	2000			-	https://link.springer.com/article/10.1007/s00705-002-0886-3
AY277665	1V_AY277665	1	1V	ARG0028	Argentina	-	2000			-	
AY277666	1V_AY277666	1	1V	ARG0048	Argentina	-	2000			-	
DQ285559	1V_DQ285559	1	1V	Reunion 191/04	Reunion	-	2004			Homo sapiens	
DQ285562	1V_DQ285562	1	1VI	Comoros 04.329/93	Comoros	-	1993			Homo sapiens	
EU179860	1V_EU179860	1	1VI	DS06-210505	Brunei	-	2005			-	
EU482567	1V_EU482567	1	1V	DENV-1/US/BID-V1162/1998	USA	Puerto Rico	1998			Homo sapiens	
FJ205875	1V_FJ205875	1	1V	DENV-1/US/BID-V1744/1995	USA	Puerto Rico	1995			Homo sapiens	
HQ166037	1V_HQ166037	1	1V	DENV-1/MX/BID-V3757/2008	Mexico	Yucatan	2008			Aedes aegypti	
KJ189351	1V_KJ189351	1	1V	DENV-1/PR/BID-V7705/2012	Puerto Rico	-	2012			Homo sapiens	
AF100469	2I_AF100469	2	2I	131	Mexico	-	1992			-	
EU056811	2I_EU056811	2	2I	IQT-1950	Peru	-	1995			Homo sapiens	
EU056812	2I_EU056812	2	2I	1328	Puerto Rico	-	1977			Homo sapiens	
EU056810	2II_EU056810	2	2II	1349	Burkina Faso	-	1983			Homo sapiens	
EU081177	2II_EU081177	2	2II	D2/SG/05K3295DK1/2005	Singapore	-	2005			-	
EU081179	2II_EU081179	2	2II	D2/SG/05K4137DK1/2005	Singapore	-	2005			-	
EU081180	2II_EU081180	2	2II	D2/SG/05K4155DK1/2005	Singapore	-	2005			-	
EU179859	2II_EU179859	2	2II	DS09-280106	Brunei	-	2006			-	
FJ898454	2II_FJ898454	2	2II	DENV-2/IN/BID-V2961/2006	India	-	2006			Homo sapiens	
KC762660	2II_KC762660	2	2II	MKS-0084	Indonesia	Makassar	2007	NOV	21	Homo sapiens	
KC762669	2II_KC762669	2	2II	MKS-0071	Indonesia	Makassar	2007	JUL	17	Homo sapiens	
KC762680	2II_KC762680	2	2II	MKS-WS80	Indonesia	Makassar	2010	APR	5	Homo sapiens	
KF041233	2II_KF041233	2	2II	D2/Pakistan/2011-3/2011	Pakistan	Muridke	2011			Homo sapiens	
KJ830750	2II_KJ830750	2	2II	Jeddah-2014	Saudi Arabia	-	2014	JAN	13	Homo sapiens	
KM279597	2II_KM279597	2	2II	DC719Y12	Singapore	-	2012			Homo sapiens	
AB122020	2III_AB122020	2	2III	DR23/01	Dominican Republic	-	2001			Homo sapiens	
AF489932	2III_AF489932	2	2III	BR64022	Brazil	-	1998			-	https://figshare.com/articles/dataset/_Strains_representative_of_the_different_DENV_2_genotypes_and_strains_used_as_outgroup_for_comparison_purposes_/667889/1
AY702036	2III_AY702036	2	2III	Cuba115/97	Cuba	-	1997			-	
EU482582	2III_EU482582	2	2III	DENV-2/US/BID-V1179/1989	USA	Puerto Rico	1989			Homo sapiens	
EU687216	2III_EU687216	2	2III	DENV-2/US/BID-V1439/2005	USA	Puerto Rico	2005			Homo sapiens	
EU687217	2III_EU687217	2	2III	DENV-2/US/BID-V1441/2005	USA	Puerto Rico	2005			Homo sapiens	
FJ898461	2III_FJ898461	2	2III	DENV-2/BZ/BID-V2952/2002	Belize	-	2002			Homo sapiens	
GQ199868	2III_GQ199868	2	2III	DENV-2/NI/BID-V2996/2007	Nicaragua	Managua	2007			Homo sapiens	
GQ398290	2III_GQ398290	2	2III	DENV-2/PR/31DN/1994	Puerto Rico	-	1994			Homo sapiens	
GQ868540	2III_GQ868540	2	2III	DENV-2/VE/BID-V3496/1990	Venezuela	Maracay	1990			Homo sapiens	
HQ999999	2III_HQ999999	2	2III	DENV-2/GU/FDA-GUA09/2009	Guatemala	Guatemala City	2009			Homo sapiens	
M20558	2III_M20558	2	2III	Jamaica/N.1409	Jamaica	-	1983			-	https://pdf.sciencedirectassets.com/272412/1-s2.0-S0042682200X06642/1-s2.0-0042682288906770/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjELz%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIQCtAFxM5eX%2BjWW4nOtFW6pbwLvLCzM%2FHkdBRGYwyMpVowIgWM1owZ2yR%2Fa4%2Bk08JmJjesBNcuywcgb7OZsP36nJD%2B8qvAUIpP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDN3wueQhbbYmuzv5%2FyqQBaTybFG%2FQAFWXtFW4zPLm9Y57WlRmDODZE63f%2BP0Bw8%2FDWzL8ViHhRWnw96eQ1ItUZXDADbQPbipQEdQP9wibWApAfMIUsd%2FgYRWyW1JSvfSTQWcOpLJQW7cH65O%2B45PKUIt%2Bo2cD%2BnTvwDWYW5vqqfitGx6o3%2Bu%2BqXE4t6Z3RcohbBZrBe6BbZPsrpt9ZNu7p0rFugZRUrI8al0v%2BtXdOplcbEjI0moDWL8j0IeMyffFsZ46nXrpRFP6WVu7p2AHxvSW051D3O%2BlEv%2FGmD5%2FgAPMgk424BW%2FqpNY8TmFexKbWhreaQVBnGSNO9QEW9vm5kKhOPGjdqtMw4XYz5QuEopsZpgu8MjxRVqcDB%2FMW7KN6gDmOoHqotVK2E8tHWdoImChwaQOljf2oF4J20HgMIBI4yRS86yT20%2BZftpgGAWwcMwvxpCIFRM4z3D%2BeR3CxSP0EkowJ7rvbFVt8rPOQV%2B735btZ2UJBFsSmPkZv27MR2StOKaIbAIGVcn7BESify5flWDOnPjPCDSEY8NZ5zn3ycKzaT4L0JDhIMNTAudwNs5iSNQSYK9%2BLQc1e8BTvBRx9hfirsxNc6gRkoa3%2FFwix4CIaY2n1%2BrbqYjRh1O2JXlVmk9BW4YKXb3%2BsPXV4Wx8S6f92lw4X3mAvbvfrXYbxkVJiaEHUwckw%2FCj8eTCh8HpwQNR9DVnzRTQYrNE0Nqd6FQsIwQ7%2BVhp8jS7O%2Fmb2dCiFqn7X61lBpnN%2BCwQVMI5dN3%2BQ0sG8fcHrX0p3cvmcxqXyd82jQE8bskPnyyIk7yqzRpNyBQNYh%2BGYmXV%2Fz541i2y4PKn30DyB8fhqqTQ9hTS4vZQNIlTjC%2FGkP8M%2FNqVsCGOOYIAoU5Ub19MMPloKgGOrEB2Hr7aDDc5SvM7XJJFM8q5KUmLGlPLNXmj7MxSLtg36gYqB5QPGjPY2fYVpoN2OkmB8dCwbr3J5MfFfTETqityGSjC5vn7Bae3dEdZzLLxY9YKqAKrN9zjSKQYUMi9QJCPT5lqOUFhGmPh8OQ9JXrnchP1wE49w0EPS99sv3gOe94A2ClagYJP9CcHkLTbSiOEyvIoH0WRTRw4R0GyVxfC19nK8K7tcZw%2BIvGAIow%2BelM&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230918T122139Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYUJQ3MUOT%2F20230918%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=1f587c533baaf94aeab4c18208f80bf272bec2728681cb50edec77ee7f88080f&hash=1ea0071a73eac98c04bd68467ad88b95d0cfed6378d6ac5951f8b650a63ae3e3&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=0042682288906770&tid=spdf-73b70a10-b1fe-42eb-be04-49875cef16e4&sid=aec28e1f4826754c617819e64e9d19450696gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=00025b515e5656070754&rr=80898cc689370720&cc=za
AF038403	2IV_AF038403	2	2IV	New Guinea C	New Guinea	-				-	https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-79-3-437#tab2
AF204177	2IV_AF204177	2	2IV	44	China	Hainan province	1989			-	
HQ891023	2IV_HQ891023	2	2IV	DENV-2/TW/BID-V5054/2008	Taiwan	-	2008			Homo sapiens	
KF744406	2IV_KF744406	2	2IV	95-SLMC-148	Philippines	-	1995			Homo sapiens	
KF744407	2IV_KF744407	2	2IV	96-CSMC-007	Philippines	-	1996			Homo sapiens	
DQ181797	2V_DQ181797	2	2V	ThD2_0078_01	Thailand	Bangkok	2001			-	
DQ181798	2V_DQ181798	2	2V	ThD2_0055_99	Thailand	Bangkok	1999			-	
DQ181802	2V_DQ181802	2	2V	ThD2_0026_88	Thailand	Bangkok	1988			-	
DQ181804	2V_DQ181804	2	2V	ThD2_0498_84	Thailand	Bangkok	1984			-	
DQ181805	2V_DQ181805	2	2V	ThD2_0168_79	Thailand	Bangkok	1979			-	
DQ181806	2V_DQ181806	2	2V	ThD2_0038_74	Thailand	Bangkok	1974			-	
FM210211	2V_FM210211	2	2V	DF907	Viet Nam	South	2003			-	
GQ868545	2V_GQ868545	2	2V	DENV-2/TH/BID-V3500/1996	Thailand	Bangkok	1996			Homo sapiens	
GU131896	2V_GU131896	2	2V	DENV-2/IPC/BID-V3788/2007	Cambodia	KCH	2007			Homo sapiens	
NC_001474	2V_NC_001474	2	2V	16681	Thailand	-	1964			-	
EF105379	2VI_EF105379	2	2VI	P8-1407	Malaysia	-	1970			-	
EF105382	2VI_EF105382	2	2VI	Dak Ar 2039	Burkina Faso	-	1980			-	
EF105387	2VI_EF105387	2	2VI	IBH11208	Nigeria	-	1966			-	
EF105389	2VI_EF105389	2	2VI	Dak Ar 141069	Senegal	-	1999			-	
FJ467493	2VI_FJ467493	2	2VI	DKD811	Malaysia	-	2008			-	
AY858037	3I_AY858037	3	3I	BA51	Indonesia	Jakarta	2004			Homo sapiens	
AY858039	3I_AY858039	3	3I	den3_98	Indonesia	Jakarta	1998			Homo sapiens	
KC762681	3I_KC762681	3	3I	MKS-0057	Indonesia	Makassar	2007	JUN	22	Homo sapiens	
KC762682	3I_KC762682	3	3I	MKS-0076	Indonesia	Makassar	2007	JUL	26	Homo sapiens	
KC762684	3I_KC762684	3	3I	MKS-0098	Indonesia	Makassar	2007	JUL	10	Homo sapiens	
KC762685	3I_KC762685	3	3I	MKS-0388	Indonesia	Makassar	2008	FEB	15	Homo sapiens	
KC762686	3I_KC762686	3	3I	MKS-0172	Indonesia	Makassar	2007	JUL	2	Homo sapiens	
KC762687	3I_KC762687	3	3I	MKS-0396	Indonesia	Makassar	2008	FEB	15	Homo sapiens	
KC762688	3I_KC762688	3	3I	MKS-2006	Indonesia	Makassar	2008	APR	30	Homo sapiens	
KC762689	3I_KC762689	3	3I	MKS-2065	Indonesia	Makassar	2008	FEB	15	Homo sapiens	
KC762690	3I_KC762690	3	3I	MKS-3000	Indonesia	Makassar	2008	AUG	26	Homo sapiens	
KC762691	3I_KC762691	3	3I	MKS-IF058	Indonesia	Makassar	2008	APR	10	Homo sapiens	
AY496871	3II_AY496871	3	3II	BDH02-1	Bangladesh	-	2002			-	
AY496873	3II_AY496873	3	3II	BDH02-3	Bangladesh	-	2002			-	
AY496874	3II_AY496874	3	3II	BDH02-4	Bangladesh	-	2002			-	
AY496877	3II_AY496877	3	3II	BDH02-7	Bangladesh	-	2002			-	
AY766104	3II_AY766104	3	3II	Singapore 8120/95	Singapore	-				-	
AY876494	3II_AY876494	3	3II	C0331/94	Thailand	-	1994			-	
AY923865	3II_AY923865	3	3II	C0360/94	Thailand	-	1994			-	
DQ675525	3II_DQ675525	3	3II	98TW368	Taiwan	-	1998			-	
DQ675528	3II_DQ675528	3	3II	98TW407	Taiwan	-	1998			-	
DQ675532	3II_DQ675532	3	3II	98TWmosq	Taiwan	-	1998			-	
AY099336	3III_AY099336	3	3III	D3/H/IMTSSA-SRI/2000/1266	Sri Lanka	-	2000			-	
AY099337	3III_AY099337	3	3III	D3/H/IMTSSA-MART/1999/1243	Martinique	-	2000			-	
AY679147	3III_AY679147	3	3III	BR74886/02	Brazil	-	2002			-	
AY770511	3III_AY770511	3	3III	GWL-25	India	Gwalior	2003	11	3	-	
EU529702	3III_EU529702	3	3III	DENV-3/US/BID-V1089/2003	USA	Puerto Rico	2003			Homo sapiens	
FJ547071	3III_FJ547071	3	3III	DENV-3/US/BID-V2103/2000	USA	Puerto Rico	2000			Homo sapiens	
FJ639747	3III_FJ639747	3	3III	DENV-3/VE/BID-V2175/2000	Venezuela	Aragua	2000			Homo sapiens	
FJ898442	3III_FJ898442	3	3III	DENV-3/MX/BID-V2989/2007	Mexico	Puebla	2007			Homo sapiens	
FJ898458	3III_FJ898458	3	3III	DENV-3/PE/BID-V2981/2002	Peru	-	2002			Homo sapiens	
GQ868578	3III_GQ868578	3	3III	DENV-3/CO/BID-V3405/2007	Colombia	Santander	2007			Homo sapiens	
JQ411814	3III_JQ411814	3	3III	UNC3001	Sri Lanka	-	1989			Homo sapiens	
NC_001475	3III_NC_001475	3	3III	D3/H/IMTSSA-SRI/2000/1266	Sri Lanka	-				-	
AF317645	3V_AF317645	3	3V	80-2	China	Guangxi				-	
EF629370	3V_EF629370	3	3V	BR DEN3 RO1-02	Brazil	-	2002			-	
AY618991	4I_AY618991	4	4I	ThD4_0087_77	Thailand	Bangkok	1977			-	
AY618992	4I_AY618992	4	4I	ThD4_0485_01	Thailand	Bangkok	2001			-	
FJ196850	4I_FJ196850	4	4I	GD09/90	China	Guangzhou, Guangdong Province	1990			-	
GQ868594	4I_GQ868594	4	4I	DENV-4/PH/BID-V3361/1956	Philippines	-	1956			Homo sapiens	
JQ513345	4I_JQ513345	4	4I	DENV-4/BHI3581	Brazil	Bahia-BA	2011	MAR	18	Homo sapiens	
KF041260	4I_KF041260	4	4I	D4/Pakistan/150/2009	Pakistan	Karachi	2009			Homo sapiens	
AF326573	4II_AF326573	4	4II	814669	Dominican Republic	-	1981			-	https://www.ajtmh.org/view/journals/tpmd/65/5/article-p405.xml
AY762085	4II_AY762085	4	4II	Singapore 8976/95	Singapore	-				-	
FJ024476	4II_FJ024476	4	4II	DENV-4/CO/BID-V1600/1997	Colombia	Santander	1997			Homo sapiens	
FJ882581	4II_FJ882581	4	4II	DENV-4/VE/BID-V2490/2007	Venezuela	Aragua	2007			Homo sapiens	
GQ252675	4II_GQ252675	4	4II	DENV-4/US/BID-V2432/1995	USA	Puerto Rico	1995			Homo sapiens	
GU289913	4II_GU289913	4	4II	341750	Colombia	-	1982			Homo sapiens	
JF262781	4II_JF262781	4	4II	INH6412	Venezuela	-	1995			Homo sapiens	
JF262782	4II_JF262782	4	4II	Haiti73	Haiti	-	1994			Homo sapiens	
JN983813	4II_JN983813	4	4II	Br246RR/10	Brazil	Boa Vista, Roraima State	2010	SEP	8	Homo sapiens	
NC_002640	4II_NC_002640	4	4II	rDEN4	-	-				-	
AY618988	4III_AY618988	4	4III	ThD4_0476_97	Thailand	Bangkok	1997			-	
AY618989	4III_AY618989	4	4III	ThD4_0017_97	Thailand	Bangkok	1997			-	
EF457906	4IV_EF457906	4	4IV	P75-215	Malaysia	-	1975			-	
JF262780	4IV_JF262780	4	4IV	P73-1120	Malaysia	-	1973			sentinel monkey	
