taxon	sequenceID	source.name	genotype	major_lineage	minor_lineage	isolate	country	collection_year
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU482634	EU482634	ncbi-refseqs-extended	2III	2III_D	2III_D.1	DENV-2/NI/BID-V633/2006	Nicaragua: Managua	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU482636	EU482636	ncbi-refseqs-extended	2III	2III_D	2III_D.1.3	DENV-2/NI/BID-V654/2005	Nicaragua: Managua	2005
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU482637	EU482637	ncbi-refseqs-extended	2III	2III_D	2III_D.1.3	DENV-2/NI/BID-V658/2005	Nicaragua: Managua	2005
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU482648	EU482648	ncbi-refseqs-extended	2III	2III_A	2III_A.2	DENV-2/VN/BID-V711/2006	Viet Nam: south	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU482660	EU482660	ncbi-refseqs-extended	2III	2III_A	2III_A.2	DENV-2/VN/BID-V723/2006	Viet Nam: south	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU482662	EU482662	ncbi-refseqs-extended	2III	2III_A	2III_A.2	DENV-2/VN/BID-V725/2006	Viet Nam: south	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU482666	EU482666	ncbi-refseqs-extended	2III	2III_A	2III_A.2	DENV-2/VN/BID-V729/2006	Viet Nam: south	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU482689	EU482689	ncbi-refseqs-extended	2III	2III_D	2III_D.1	DENV-2/NI/BID-V576/2006	Nicaragua: Managua	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU482719	EU482719	ncbi-refseqs-extended	2III	2III_B	2III_B	DENV-2/US/BID-V587/2006	USA: Puerto Rico	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU482748	EU482748	ncbi-refseqs-extended	2III	2III_D	2III_D.1	DENV-2/NI/BID-V513/2005	Nicaragua: Managua	2005
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU482757	EU482757	ncbi-refseqs-extended	2III	2III_D	2III_D.1	DENV-2/NI/BID-V535/2005	Nicaragua: Managua	2005
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU482787	EU482787	ncbi-refseqs-extended	2III	2III_A	2III_A.1	DENV-2/VN/BID-V765/2003	Viet Nam: south	2003
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU569698	EU569698	ncbi-refseqs-extended	2III	2III_D	2III_D.1.1	DENV-2/NI/BID-V1212/2007	Nicaragua: Managua	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU569700	EU569700	ncbi-refseqs-extended	2III	2III_D	2III_D.1.1	DENV-2/NI/BID-V1219/2007	Nicaragua: Managua	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU596488	EU596488	ncbi-refseqs-extended	2III	2III_B	2III_B	DENV-2/US/BID-V1410/2007	USA: Puerto Rico	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU596490	EU596490	ncbi-refseqs-extended	2III	2III_B	2III_B	DENV-2/US/BID-V1412/2007	USA: Puerto Rico	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU596498	EU596498	ncbi-refseqs-extended	2III	2III_D	2III_D.1.1	DENV-2/NI/BID-V1211/2007	Nicaragua: Managua	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU660406	EU660406	ncbi-refseqs-extended	2III	2III_D	2III_D.1.1	DENV-2/NI/BID-V1207/2007	Nicaragua: Managua	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU687216	EU687216	ncbi-refseqs	2III	2III_C	-	DENV-2/US/BID-V1439/2005	USA	2005
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU687217	EU687217	ncbi-refseqs	2III	2III_C	-	DENV-2/US/BID-V1441/2005	USA	2005
alignment/AL_UNC_DENV2/member/ncbi-refseqs/FJ467493	FJ467493	ncbi-refseqs	2VI	-	-	DKD811	Malaysia	2008
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/FJ744719	FJ744719	ncbi-refseqs-extended	2V	2V_E	2V_E	DENV-2/TH/BID-V2305/2001	Thailand: Kampheange Phet	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/FJ744720	FJ744720	ncbi-refseqs-extended	2V	2V_E	2V_E	DENV-2/TH/BID-V2306/2001	Thailand: Kampheange Phet	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/FJ744721	FJ744721	ncbi-refseqs-extended	2V	2V_E	2V_E	DENV-2/TH/BID-V2307/2001	Thailand: Kampheange Phet	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/FJ744722	FJ744722	ncbi-refseqs-extended	2V	2V_E	2V_E	DENV-2/TH/BID-V2308/2001	Thailand: Kampheange Phet	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/FJ744723	FJ744723	ncbi-refseqs-extended	2V	2V_E	2V_E	DENV-2/TH/BID-V2309/2001	Thailand: Kampheange Phet	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/FJ898435	FJ898435	ncbi-refseqs-extended	2III	2III_D	2III_D.1.3	DENV-2/NI/BID-V648/2005	Nicaragua: Managua	2005
alignment/AL_UNC_DENV2/member/ncbi-refseqs/FJ898454	FJ898454	ncbi-refseqs	2II	2II_A	2II_A.1	DENV-2/IN/BID-V2961/2006	India	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs/FJ898461	FJ898461	ncbi-refseqs	2III	2III_D	2III_D.1	DENV-2/BZ/BID-V2952/2002	Belize	2002
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/FM210209	FM210209	ncbi-refseqs-extended	2III	2III_A	2III_A.1	DF726	Viet Nam:South	2003
alignment/AL_UNC_DENV2/member/ncbi-refseqs/FM210211	FM210211	ncbi-refseqs	2V	2V_A	-	DF907	Viet Nam	2003
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/FM210236	FM210236	ncbi-refseqs-extended	2III	2III_A	2III_A.1	CSF381	Viet Nam:South	2004
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/FM210239	FM210239	ncbi-refseqs-extended	2III	2III_A	2III_A.1	MD1244	Viet Nam:South	2004
alignment/AL_UNC_DENV2/member/ncbi-refseqs/GQ199868	GQ199868	ncbi-refseqs	2III	2III_D	2III_D.1.1	DENV-2/NI/BID-V2996/2007	Nicaragua	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs/GQ398290	GQ398290	ncbi-refseqs	2III	-	-	DENV-2/PR/31DN/1994	Puerto Rico	1994
alignment/AL_UNC_DENV2/member/ncbi-refseqs/GQ868540	GQ868540	ncbi-refseqs	2III	2III_B	-	DENV-2/VE/BID-V3496/1990	Venezuela	1990
alignment/AL_UNC_DENV2/member/ncbi-refseqs/GQ868545	GQ868545	ncbi-refseqs	2V	2V_D	-	DENV-2/TH/BID-V3500/1996	Thailand	1996
alignment/AL_UNC_DENV2/member/ncbi-refseqs/GU131896	GU131896	ncbi-refseqs	2V	2V_A	-	DENV-2/IPC/BID-V3788/2007	Cambodia	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/HM582111	HM582111	ncbi-refseqs-extended	2I	2I	2I	D2/TO/UH16/1974	Tonga	1974
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/HM582112	HM582112	ncbi-refseqs-extended	2I	2I	2I	D2/TO/UH19/1974	Tonga	1974
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/HM582113	HM582113	ncbi-refseqs-extended	2I	2I	2I	D2/TO/UH20/1974	Tonga	1974
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/HM582114	HM582114	ncbi-refseqs-extended	2I	2I	2I	D2/TO/UH39/1974	Tonga	1974
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/HM582115	HM582115	ncbi-refseqs-extended	2I	2I	2I	D2/TO/UH44/1974	Tonga	1974
alignment/AL_UNC_DENV2/member/ncbi-refseqs/HQ891023	HQ891023	ncbi-refseqs	2IV	2IV	2IV	DENV-2/TW/BID-V5054/2008	Taiwan	2008
alignment/AL_UNC_DENV2/member/ncbi-refseqs/HQ999999	HQ999999	ncbi-refseqs	2III	2III_D	2III_D.1.2	DENV-2/GU/FDA-GUA09/2009	Guatemala	2009
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KC762660	KC762660	ncbi-refseqs	2II	2II_E	-	MKS-0084	Indonesia	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KC762669	KC762669	ncbi-refseqs	2II	2II_G	-	MKS-0071	Indonesia	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KC762680	KC762680	ncbi-refseqs	2II	2II_D	2II_D.2	MKS-WS80	Indonesia	2010
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KF041233	KF041233	ncbi-refseqs	2II	2II_A	2II_A.1	D2/Pakistan/2011-3/2011	Pakistan	2011
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KF744399	KF744399	ncbi-refseqs-extended	2IV	2IV	2IV	98-CI-15	Philippines	1998
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KF744402	KF744402	ncbi-refseqs-extended	2IV	2IV	2IV	00-St-68B	Philippines	2000
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KF744406	KF744406	ncbi-refseqs	2IV	2IV	2IV	95-SLMC-148	Philippines	1995
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KF744407	KF744407	ncbi-refseqs	2IV	2IV	2IV	96-CSMC-007	Philippines	1996
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KF744408	KF744408	ncbi-refseqs-extended	2IV	2IV	2IV	05-RBD-204	Philippines	2005
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KF955366	KF955366	ncbi-refseqs-extended	2III	2III_D	2III_D.1.1	DENV-2/NI/BID-V1218/2007	Nicaragua	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KJ830750	KJ830750	ncbi-refseqs	2II	2II_A	2II_A.1	Jeddah-2014	Saudi Arabia	2014
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KM279530	KM279530	ncbi-refseqs-extended	2II	2II_E	2II_E.1	DC597Y12	Singapore	2012
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KM279534	KM279534	ncbi-refseqs-extended	2II	2II_E	2II_E.1	DC620Y12	Singapore	2012
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KM279541	KM279541	ncbi-refseqs-extended	2II	2II_E	2II_E.1	DC643Y12	Singapore	2012
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KM279545	KM279545	ncbi-refseqs-extended	2II	2II_E	2II_E.1	DC652Y12	Singapore	2012
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KM279554	KM279554	ncbi-refseqs-extended	2II	2II_E	2II_E.1	DC687Y12	Singapore	2012
alignment/AL_UNC_DENV2/member/ncbi-refseqs/KM279597	KM279597	ncbi-refseqs	2II	2II_E	2II_E.1	DC719Y12	Singapore	2012
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KT187556	KT187556	ncbi-refseqs-extended	2II	2II_D	2II_D.1	DENV2/CN/GZDF595/2014	China: Guangdong	2014
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KU365903	KU365903	ncbi-refseqs-extended	2II	2II_D	2II_D.3	D2/Taiwan/700TN1509a	Taiwan	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KX225486	KX225486	ncbi-refseqs-extended	2II	2II_D	2II_D.1	GZ8_19/S/Haizhu/2014/DEV2	China	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KX380810	KX380810	ncbi-refseqs-extended	2II	2II_F	2II_F.2.2	D2/SG/CT12/2012	Singapore	2012
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KX380822	KX380822	ncbi-refseqs-extended	2II	2II_F	2II_F.2.2	D2/SG/CT28/2012	Singapore	2012
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KX380830	KX380830	ncbi-refseqs-extended	2II	2II_F	2II_F.2.2	D2/SG/CT38/2013	Singapore	2013
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KX380832	KX380832	ncbi-refseqs-extended	2II	2II_F	2II_F.2.2	D2/SG/CT40/2013	Singapore	2013
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KX380833	KX380833	ncbi-refseqs-extended	2II	2II_F	2II_F.2.2	D2/SG/CT41/2013	Singapore	2013
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KX655787	KX655787	ncbi-refseqs-extended	2II	2II_D	2II_D.1	GZ8_15/S/GZ/2014/DEV2	China	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KY474308	KY474308	ncbi-refseqs-extended	2III	2III_D	2III_D.3	TD-00048-S	Ecuador: Machala	2014
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KY474315	KY474315	ncbi-refseqs-extended	2III	2III_D	2III_D.3	00147-P	Ecuador: Machala	2014
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KY474326	KY474326	ncbi-refseqs-extended	2III	2III_D	2III_D.3	TD-00078-P	Ecuador: Machala	2014
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KY474329	KY474329	ncbi-refseqs-extended	2III	2III_D	2III_D.3	00149-P	Ecuador: Machala	2014
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KY586668	KY586668	ncbi-refseqs-extended	2V	2V_C	2V_C	Ser2_Thailand_nonBKK_Seq46	Thailand	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KY586677	KY586677	ncbi-refseqs-extended	2V	2V_D	2V_D	Ser2_Thailand_nonBKK_Seq47	Thailand	2002
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KY586678	KY586678	ncbi-refseqs-extended	2V	2V_D	2V_D	Ser2_Thailand_nonBKK_Seq48	Thailand	2002
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KY586679	KY586679	ncbi-refseqs-extended	2V	2V_D	2V_D	Ser2_Thailand_Bangkok_Seq85	Thailand	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KY586690	KY586690	ncbi-refseqs-extended	2V	2V_B	2V_B	Ser2_Thailand_nonBKK_Seq49	Thailand	1999
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KY586691	KY586691	ncbi-refseqs-extended	2V	2V_B	2V_B	Ser2_Thailand_Bangkok_Seq96	Thailand	1998
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/KY586692	KY586692	ncbi-refseqs-extended	2V	2V_B	2V_B	Ser2_Thailand_Bangkok_Seq97	Thailand	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs/M20558	M20558	ncbi-refseqs	2III	2III	2III	Jamaica/N.1409	Jamaica	1983
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MF156233	MF156233	ncbi-refseqs-extended	2II	2II_A	2II_A.1	XSBN01	China	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MF156234	MF156234	ncbi-refseqs-extended	2II	2II_A	2II_A.1	XSBN02	China	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MF156235	MF156235	ncbi-refseqs-extended	2II	2II_A	2II_A.1	XSBN03	China	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MF156242	MF156242	ncbi-refseqs-extended	2II	2II_A	2II_A.1	XSBN10	China	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MF156248	MF156248	ncbi-refseqs-extended	2II	2II_A	2II_A.1	XSBN16	China	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MG599616	MG599616	ncbi-refseqs-extended	2II	2II_C	2II_C.2	1421	Taiwan	2002
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MG599621	MG599621	ncbi-refseqs-extended	2II	2II_C	2II_C.2	1949	Taiwan	2002
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MG599623	MG599623	ncbi-refseqs-extended	2II	2II_C	2II_C.2	2132	Taiwan	2002
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MG599631	MG599631	ncbi-refseqs-extended	2II	2II_C	2II_C.2	2747	Taiwan	2002
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MG599632	MG599632	ncbi-refseqs-extended	2II	2II_C	2II_C.2	2784	Taiwan	2002
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MG779199	MG779199	ncbi-refseqs-extended	2II	2II_A	2II_A.2.2	Mal_014	Kenya	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MH069495	MH069495	ncbi-refseqs-extended	2III	2III_D	2III_D.2	DENV-2/VE/IDAMS/921099	Venezuela: Carabobo	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MH069496	MH069496	ncbi-refseqs-extended	2III	2III_D	2III_D.2	DENV-2/VE/IDAMS/921096	Venezuela: Carabobo	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MH069498	MH069498	ncbi-refseqs-extended	2III	2III_D	2III_D.2	DENV-2/VE/IDAMS/910121	Venezuela: Carabobo	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MH110571	MH110571	ncbi-refseqs-extended	2II	2II_F	2II_F.1	D2/CN/HZ-1536/2017	China: Hangzhou	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MH827526	MH827526	ncbi-refseqs-extended	2II	2II_E	2II_E.2	D2/China/GDsw/D15024/2015(New_Guinea)	China	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MH827527	MH827527	ncbi-refseqs-extended	2II	2II_D	2II_D.3	D2/China/GDsg/GD15023/2015(Indonesia)	China	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MH827534	MH827534	ncbi-refseqs-extended	2II	2II_D	2II_D.3	D2/China/GDsz/D15328/2015(Taiwan)	China	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MH827544	MH827544	ncbi-refseqs-extended	2II	2II_E	2II_E.2	D2/China/GDzs/GD16161/2016(New_Guinea)	China	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MK564487	MK564487	ncbi-refseqs-extended	2II	2II_D	2II_D.2	GZ18XN20984	China: Guangzhou	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MK783204	MK783204	ncbi-refseqs-extended	2II	2II_D	2II_D.2	GZ8H/162	China	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MK783206	MK783206	ncbi-refseqs-extended	2II	2II_A	2II_A.2.1	GZ8H/213	China	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MK783207	MK783207	ncbi-refseqs-extended	2II	2II_A	2II_A.2.1	GZ8H/279	China	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MK783208	MK783208	ncbi-refseqs-extended	2II	2II_A	2II_A.2.1	GZ8H/36	China	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MK783209	MK783209	ncbi-refseqs-extended	2II	2II_A	2II_A.2.1	GZ8H/21	China	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MK783210	MK783210	ncbi-refseqs-extended	2II	2II_A	2II_A.2.1	GZ8H/31	China	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN018349	MN018349	ncbi-refseqs-extended	2II	2II_D	2II_D.3	D15023	China: Guangdong Province	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN018351	MN018351	ncbi-refseqs-extended	2II	2II_E	2II_E.2	D15024	China: Guangdong Province	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN018352	MN018352	ncbi-refseqs-extended	2II	2II_D	2II_D.3	D15328	China: Guangdong Province	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN018357	MN018357	ncbi-refseqs-extended	2II	2II_F	2II_F.2	D14003	China: Guangdong Province	2014
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN018363	MN018363	ncbi-refseqs-extended	2II	2II_E	2II_E.2	D16161	China: Guangdong Province	2016
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN335244	MN335244	ncbi-refseqs-extended	2II	2II_A	2II_A.2.2	AFI_MDH_243	Kenya	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN335245	MN335245	ncbi-refseqs-extended	2II	2II_A	2II_A.2.2	AFI_MDH_240	Kenya	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN335246	MN335246	ncbi-refseqs-extended	2II	2II_A	2II_A.2.2	AFI_MDH_244	Kenya	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN335247	MN335247	ncbi-refseqs-extended	2II	2II_A	2II_A.2.2	AFI_MDH_232	Kenya	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN448850	MN448850	ncbi-refseqs-extended	2V	2V_A	2V_A.4	KDC0858A_TN_09/22/2011	Thailand	2011
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN448851	MN448851	ncbi-refseqs-extended	2V	2V_A	2V_A.4	KDC0860A2_TN_09/22/2011	Thailand	2011
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN448856	MN448856	ncbi-refseqs-extended	2V	2V_A	2V_A.3	KDC0684A2_KT_07/13/2011	Thailand	2011
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN448857	MN448857	ncbi-refseqs-extended	2V	2V_A	2V_A.4	KDH0178A_NC_08/30/2011	Thailand	2011
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN448866	MN448866	ncbi-refseqs-extended	2V	2V_A	2V_A.3	KDH0130A_ST_06/13/2011	Thailand	2011
